timestamp,Infrared to Red Signal Ratio
05/11/26 01:26:31,13
05/11/26 01:27:31,-6
05/11/26 01:28:31,30
05/11/26 01:29:31,-7
05/11/26 01:30:31,24
05/11/26 01:31:31,5
05/11/26 01:32:31,37
05/11/26 01:33:31,13
05/11/26 01:34:31,28
05/11/26 01:35:31,2
05/11/26 01:36:31,-1
05/11/26 01:37:31,1
05/11/26 01:38:31,8
05/11/26 01:39:31,17
05/11/26 01:40:31,0
05/11/26 01:41:31,77
05/11/26 01:42:31,30
05/11/26 01:43:31,4
05/11/26 01:44:31,-16
05/11/26 01:45:31,0
05/11/26 01:46:31,7
05/11/26 01:47:31,-17
05/11/26 01:48:31,-7
05/11/26 01:49:31,19
05/11/26 01:50:31,-27
05/11/26 01:51:31,47
05/11/26 01:52:31,-37
05/11/26 01:53:31,53
05/11/26 01:54:31,0
05/11/26 01:55:31,8
05/11/26 01:56:31,-9
05/11/26 01:57:31,-2
05/11/26 01:58:31,13
05/11/26 01:59:31,5
05/11/26 02:00:31,-3
05/11/26 02:01:31,0
05/11/26 02:02:31,7
05/11/26 02:03:31,23
05/11/26 02:04:31,-36
05/11/26 02:05:31,-10
05/11/26 02:06:31,0
05/11/26 02:07:31,4
05/11/26 02:08:31,-54
05/11/26 02:09:32,4
05/11/26 02:10:32,4
05/11/26 02:11:32,8
05/11/26 02:12:32,2
05/11/26 02:13:32,38
05/11/26 02:14:32,-4
05/11/26 02:15:32,14
05/11/26 02:16:32,17
05/11/26 02:17:32,-24
05/11/26 02:18:32,-40
05/11/26 02:19:32,4
05/11/26 02:20:32,-15
05/11/26 02:21:32,4
05/11/26 02:22:32,-4
05/11/26 02:23:32,7
05/11/26 02:24:32,0
05/11/26 02:25:32,-4
05/11/26 02:26:32,-8
05/11/26 02:27:32,19
05/11/26 02:28:32,-4
05/11/26 02:29:32,0
05/11/26 02:30:32,-21
05/11/26 02:31:32,-1
05/11/26 02:32:32,-22
05/11/26 02:33:32,0
05/11/26 02:34:32,3
05/11/26 02:35:32,-6
05/11/26 02:36:32,-31
