name,objectives,schedule,status,update_time,meta,title,subtitle,rationale,domain,progress_start_time,progress_end_time,progress
daily-active-minutes,"MEASURE: active-minutes, TARGET: AT_LEAST(30)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-azm,"MEASURE: active-zone-minutes, TARGET: AT_LEAST(22)",DAILY,ENABLED,1970-01-01 00:00:00+0000,,,,,GOALS,,,
daily-bedtime,"MEASURE: bedtime, TARGET: <UNKNOWN>",DAILY,DISABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-distance,"MEASURE: steps-distance, TARGET: AT_LEAST(8046720)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-energy-burned,"MEASURE: energy-burned, TARGET: AT_LEAST(2628)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-floors,"MEASURE: floors-count, TARGET: AT_LEAST(10)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-sleep-duration,"MEASURE: sleep-duration, TARGET: AT_LEAST(28800)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-steps,"MEASURE: steps-count, TARGET: AT_LEAST(10000)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-wake-time,"MEASURE: wake-time, TARGET: <UNKNOWN>",DAILY,DISABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-water-consumed,"MEASURE: water-consumed-ml, TARGET: AT_LEAST(1893)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 14)",2026-05-13 00:00:00 - 2026-05-14 00:00:00,ENABLED,2026-05-15 00:12:58+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(37, 54)",2026-05-14 00:00:00 - 2026-05-15 00:00:00,ENABLED,2026-05-15 00:12:58+0000,,,,,GOALS,,,
weekly-distance,"MEASURE: steps-distance, TARGET: AT_LEAST(56327040)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
weekly-energy-burned,"MEASURE: energy-burned, TARGET: AT_LEAST(18396)",WEEKLY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
weekly-exercise-days,"MEASURE: EXERCISE_DAYS, TARGET: AT_LEAST(3)",WEEKLY,ENABLED,1970-01-01 00:00:00+0000,,,,,GOALS,,,
weekly-floors,"MEASURE: floors-count, TARGET: AT_LEAST(70)",WEEKLY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
weekly-steps,"MEASURE: steps-count, TARGET: AT_LEAST(70000)",WEEKLY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
