timestamp,temperature celsius,data source
2026-04-06T10:07:00Z,24.6,Versa 4
2026-04-06T10:08:00Z,23.9,Versa 4
2026-04-06T10:09:00Z,23.5,Versa 4
2026-04-06T10:10:00Z,23.2,Versa 4
2026-04-06T10:11:00Z,22.9,Versa 4
2026-04-06T10:12:00Z,22.6,Versa 4
2026-04-06T10:13:00Z,25.3,Versa 4
2026-04-06T10:14:00Z,26.0,Versa 4
2026-04-06T10:15:00Z,26.2,Versa 4
2026-04-06T10:16:00Z,26.3,Versa 4
2026-04-06T10:17:00Z,26.3,Versa 4
2026-04-06T10:18:00Z,26.4,Versa 4
2026-04-06T10:19:00Z,26.5,Versa 4
2026-04-06T10:20:00Z,26.6,Versa 4
2026-04-06T10:21:00Z,26.6,Versa 4
