timestamp,beats per minute,data source
2026-05-08T10:56:04Z,152.0,Versa 4
2026-05-08T10:56:06Z,150.0,Versa 4
2026-05-08T10:56:08Z,136.0,Versa 4
2026-05-08T10:56:10Z,141.0,Versa 4
2026-05-08T10:56:12Z,142.0,Versa 4
2026-05-08T10:56:13Z,142.0,Versa 4
2026-05-08T10:56:15Z,146.0,Versa 4
2026-05-08T10:56:17Z,149.0,Versa 4
2026-05-08T10:56:19Z,148.0,Versa 4
2026-05-08T10:56:21Z,152.0,Versa 4
2026-05-08T10:56:24Z,152.0,Versa 4
2026-05-08T10:56:25Z,147.0,Versa 4
2026-05-08T10:56:27Z,149.0,Versa 4
2026-05-08T10:56:29Z,153.0,Versa 4
2026-05-08T10:56:31Z,150.0,Versa 4
2026-05-08T10:56:33Z,140.0,Versa 4
2026-05-08T10:56:35Z,141.0,Versa 4
2026-05-08T10:56:36Z,100.0,Versa 4
2026-05-08T10:56:38Z,75.0,Versa 4
2026-05-08T10:56:41Z,75.0,Versa 4
2026-05-08T10:56:44Z,75.0,Versa 4
2026-05-08T10:56:46Z,74.0,Versa 4
2026-05-08T10:56:49Z,74.0,Versa 4
2026-05-08T10:56:50Z,72.0,Versa 4
2026-05-08T10:56:53Z,72.0,Versa 4
2026-05-08T10:56:56Z,73.0,Versa 4
2026-05-08T10:56:58Z,74.0,Versa 4
2026-05-08T10:57:01Z,74.0,Versa 4
2026-05-08T10:57:04Z,74.0,Versa 4
2026-05-08T10:57:07Z,74.0,Versa 4
2026-05-08T10:57:10Z,74.0,Versa 4
2026-05-08T10:57:13Z,75.0,Versa 4
2026-05-08T10:57:16Z,75.0,Versa 4
2026-05-08T10:57:19Z,74.0,Versa 4
2026-05-08T10:57:21Z,79.0,Versa 4
2026-05-08T10:57:23Z,78.0,Versa 4
2026-05-08T10:57:24Z,77.0,Versa 4
2026-05-08T10:57:27Z,77.0,Versa 4
2026-05-08T10:57:28Z,76.0,Versa 4
2026-05-08T10:57:31Z,76.0,Versa 4
2026-05-08T10:57:34Z,75.0,Versa 4
2026-05-08T10:57:37Z,75.0,Versa 4
2026-05-08T10:57:38Z,76.0,Versa 4
2026-05-08T10:57:41Z,76.0,Versa 4
2026-05-08T10:57:42Z,77.0,Versa 4
2026-05-08T10:57:44Z,77.0,Versa 4
2026-05-08T10:57:46Z,75.0,Versa 4
2026-05-08T10:57:48Z,74.0,Versa 4
2026-05-08T10:57:49Z,73.0,Versa 4
2026-05-08T10:57:52Z,73.0,Versa 4
2026-05-08T10:57:53Z,71.0,Versa 4
2026-05-08T10:57:55Z,70.0,Versa 4
2026-05-08T10:57:57Z,71.0,Versa 4
2026-05-08T10:57:59Z,70.0,Versa 4
2026-05-08T10:58:02Z,70.0,Versa 4
2026-05-08T10:58:05Z,70.0,Versa 4
2026-05-08T10:58:08Z,70.0,Versa 4
2026-05-08T10:58:09Z,69.0,Versa 4
2026-05-08T10:58:11Z,68.0,Versa 4
2026-05-08T10:58:14Z,68.0,Versa 4
2026-05-08T10:58:16Z,69.0,Versa 4
2026-05-08T10:58:18Z,70.0,Versa 4
2026-05-08T10:58:21Z,70.0,Versa 4
2026-05-08T10:58:24Z,68.0,Versa 4
2026-05-08T10:58:27Z,68.0,Versa 4
2026-05-08T10:58:28Z,67.0,Versa 4
2026-05-08T10:58:31Z,67.0,Versa 4
2026-05-08T10:58:32Z,66.0,Versa 4
2026-05-08T10:58:34Z,66.0,Versa 4
2026-05-08T10:58:37Z,66.0,Versa 4
2026-05-08T10:58:39Z,68.0,Versa 4
2026-05-08T10:58:41Z,70.0,Versa 4
2026-05-08T10:58:43Z,70.0,Versa 4
2026-05-08T10:58:45Z,69.0,Versa 4
2026-05-08T10:58:47Z,67.0,Versa 4
2026-05-08T10:58:50Z,67.0,Versa 4
2026-05-08T10:58:51Z,68.0,Versa 4
2026-05-08T10:58:53Z,69.0,Versa 4
2026-05-08T10:58:55Z,70.0,Versa 4
2026-05-08T10:58:57Z,71.0,Versa 4
2026-05-08T10:58:59Z,70.0,Versa 4
2026-05-08T10:59:00Z,70.0,Versa 4
2026-05-08T10:59:03Z,70.0,Versa 4
2026-05-08T10:59:06Z,70.0,Versa 4
2026-05-08T10:59:09Z,70.0,Versa 4
2026-05-08T10:59:10Z,68.0,Versa 4
2026-05-08T10:59:12Z,67.0,Versa 4
2026-05-08T10:59:14Z,66.0,Versa 4
2026-05-08T10:59:16Z,66.0,Versa 4
2026-05-08T10:59:19Z,66.0,Versa 4
2026-05-08T10:59:22Z,66.0,Versa 4
2026-05-08T10:59:24Z,67.0,Versa 4
2026-05-08T10:59:25Z,69.0,Versa 4
2026-05-08T10:59:27Z,70.0,Versa 4
2026-05-08T10:59:29Z,68.0,Versa 4
2026-05-08T10:59:31Z,69.0,Versa 4
2026-05-08T10:59:33Z,68.0,Versa 4
2026-05-08T10:59:36Z,68.0,Versa 4
2026-05-08T10:59:37Z,67.0,Versa 4
2026-05-08T10:59:39Z,67.0,Versa 4
2026-05-08T10:59:41Z,66.0,Versa 4
2026-05-08T10:59:43Z,66.0,Versa 4
2026-05-08T10:59:46Z,66.0,Versa 4
2026-05-08T10:59:49Z,66.0,Versa 4
2026-05-08T10:59:50Z,68.0,Versa 4
2026-05-08T10:59:53Z,68.0,Versa 4
2026-05-08T10:59:56Z,67.0,Versa 4
2026-05-08T10:59:58Z,66.0,Versa 4
2026-05-08T11:00:01Z,66.0,Versa 4
2026-05-08T11:00:04Z,66.0,Versa 4
2026-05-08T11:00:06Z,68.0,Versa 4
2026-05-08T11:00:09Z,68.0,Versa 4
2026-05-08T11:00:12Z,68.0,Versa 4
2026-05-08T11:00:13Z,66.0,Versa 4
2026-05-08T11:00:16Z,66.0,Versa 4
2026-05-08T11:00:17Z,68.0,Versa 4
2026-05-08T11:00:20Z,68.0,Versa 4
2026-05-08T11:00:21Z,69.0,Versa 4
2026-05-08T11:00:23Z,70.0,Versa 4
2026-05-08T11:00:26Z,70.0,Versa 4
2026-05-08T11:00:27Z,71.0,Versa 4
2026-05-08T11:00:30Z,71.0,Versa 4
2026-05-08T11:00:33Z,71.0,Versa 4
2026-05-08T11:00:36Z,71.0,Versa 4
2026-05-08T11:00:38Z,72.0,Versa 4
2026-05-08T11:00:41Z,72.0,Versa 4
2026-05-08T11:00:42Z,71.0,Versa 4
2026-05-08T11:00:45Z,71.0,Versa 4
2026-05-08T11:00:46Z,70.0,Versa 4
2026-05-08T11:00:48Z,69.0,Versa 4
2026-05-08T11:00:50Z,67.0,Versa 4
2026-05-08T11:00:53Z,67.0,Versa 4
2026-05-08T11:00:56Z,66.0,Versa 4
2026-05-08T11:00:58Z,66.0,Versa 4
2026-05-08T11:01:01Z,66.0,Versa 4
2026-05-08T11:01:04Z,66.0,Versa 4
2026-05-08T11:01:07Z,67.0,Versa 4
2026-05-08T11:01:10Z,67.0,Versa 4
2026-05-08T11:01:11Z,68.0,Versa 4
2026-05-08T11:01:14Z,68.0,Versa 4
2026-05-08T11:01:17Z,68.0,Versa 4
2026-05-08T11:01:19Z,69.0,Versa 4
2026-05-08T11:01:21Z,70.0,Versa 4
2026-05-08T11:01:24Z,70.0,Versa 4
2026-05-08T11:01:25Z,69.0,Versa 4
2026-05-08T11:01:28Z,68.0,Versa 4
2026-05-08T11:01:30Z,68.0,Versa 4
2026-05-08T11:01:33Z,68.0,Versa 4
2026-05-08T11:01:34Z,67.0,Versa 4
2026-05-08T11:01:37Z,67.0,Versa 4
2026-05-08T11:01:38Z,68.0,Versa 4
2026-05-08T11:01:41Z,68.0,Versa 4
2026-05-08T11:01:42Z,70.0,Versa 4
2026-05-08T11:01:44Z,70.0,Versa 4
2026-05-08T11:01:46Z,72.0,Versa 4
2026-05-08T11:01:49Z,72.0,Versa 4
2026-05-08T11:01:52Z,74.0,Versa 4
2026-05-08T11:01:55Z,75.0,Versa 4
2026-05-08T11:01:57Z,76.0,Versa 4
2026-05-08T11:02:00Z,76.0,Versa 4
2026-05-08T11:02:01Z,74.0,Versa 4
2026-05-08T11:02:03Z,76.0,Versa 4
2026-05-08T11:02:06Z,76.0,Versa 4
2026-05-08T11:02:07Z,74.0,Versa 4
2026-05-08T11:02:09Z,73.0,Versa 4
2026-05-08T11:02:11Z,72.0,Versa 4
2026-05-08T11:02:13Z,71.0,Versa 4
2026-05-08T11:02:15Z,70.0,Versa 4
2026-05-08T11:02:18Z,70.0,Versa 4
