start time,end time,data source
2026-05-10T05:49:00Z,2026-05-10T07:11:00Z,Fitbit App
2026-05-10T08:34:00Z,2026-05-10T09:04:00Z,Fitbit App
2026-05-10T09:18:00Z,2026-05-10T09:32:00Z,Fitbit App
2026-05-10T10:30:00Z,2026-05-10T10:43:00Z,Fitbit App
2026-05-10T11:11:00Z,2026-05-10T11:29:00Z,Fitbit App
2026-05-10T11:41:00Z,2026-05-10T13:07:00Z,Fitbit App
2026-05-10T13:28:00Z,2026-05-10T13:48:00Z,Fitbit App
2026-05-10T13:49:00Z,2026-05-10T14:25:00Z,Fitbit App
2026-05-10T14:38:00Z,2026-05-10T15:25:00Z,Fitbit App
2026-05-10T15:36:00Z,2026-05-10T16:01:00Z,Fitbit App
2026-05-10T16:05:00Z,2026-05-10T16:32:00Z,Fitbit App
2026-05-10T16:35:00Z,2026-05-10T16:55:00Z,Fitbit App
2026-05-10T17:18:00Z,2026-05-10T17:52:00Z,Fitbit App
2026-05-10T19:08:00Z,2026-05-10T19:40:00Z,Fitbit App
2026-05-10T19:42:00Z,2026-05-10T19:57:00Z,Fitbit App
2026-05-10T20:27:00Z,2026-05-10T20:38:00Z,Fitbit App
2026-05-10T20:49:00Z,2026-05-10T20:59:00Z,Fitbit App
2026-05-10T21:09:00Z,2026-05-10T21:24:00Z,Fitbit App
2026-05-10T21:25:00Z,2026-05-10T21:36:00Z,Fitbit App
2026-05-10T21:37:00Z,2026-05-10T21:54:00Z,Fitbit App
2026-05-10T22:00:00Z,2026-05-10T22:15:00Z,Fitbit App
2026-05-10T22:27:00Z,2026-05-10T23:02:00Z,Fitbit App
