date,average_heart_rate,min_heart_rate,max_heart_rate,measurements,total_steps,sleep_score,calories_burned,start,end,phone_last_used,last_food_time,last_food
2026-05-06,91.05,58.0,165.0,9880,7555,,0,16:32,18:13,,,
2026-05-07,94.11,66.0,178.0,20502,17324,,53.22,,,,,
2026-05-08,83.62,52.0,179.0,21831,6959,,287.91,,,,,
2026-05-09,100.64,66.0,179.0,22593,11913,79,832.47,22:51,07:21,00:59,21:59,Snack
2026-05-10,81.2,55.0,133.0,14006,4641,89,233.86,22:28,07:26,,,
2026-05-11,94.12,56.0,187.0,16900,10412,82,125.28,21:15,04:55,03:00,21:59,Maaltijd - mager
2026-05-12,95.32,56.0,156.0,27741,8866,88,287.2,20:58,06:26,,,
2026-05-13,90.07,61.0,147.0,18596,5774,77,361.41,23:23,06:32,03:00,09:59,Snack
2026-05-14,93.55,73.0,122.0,13765,3359,,248.78,,,,,
2026-05-15,87.14,68.0,137.0,18726,2007,92,151.06,21:21,07:09,23:29,20:00,Snack
2026-05-16,97.98,61.0,167.0,22744,9159,,975.66,,,,,
2026-05-17,88.88,66.0,151.0,17761,8774,81,460.21,22:16,07:25,23:29,20:00,Snack
2026-05-18,92.85,58.0,171.0,27050,15324,70,1045.46,00:48,07:39,02:29,00:59,Snack
2026-05-19,81.53,58.0,117.0,7960,672,84,45.34,00:45,10:29,03:00,21:59,Maaltijd - mager
