date,average_heart_rate,min_heart_rate,max_heart_rate,measurements,total_steps,sleep_score,calories_burned,start,end,phone_last_used,last_food_time,last_food
2026-05-06,94.52,59.0,147.0,5924,690,,0,,,,,
2026-05-07,94.56,68.0,168.0,23781,5958,,0,11:24,13:01,21:59,21:00,Maatlijd - vol vet
2026-05-08,94.05,63.0,151.0,30750,13417,77,1016.21,21:52,05:40,,,
2026-05-09,95.05,66.0,154.0,23514,8838,83,830.12,00:21,10:12,00:59,21:00,Maatlijd - vol vet
2026-05-10,86.24,58.0,139.0,17986,4166,85,329.64,01:00,09:13,00:59,21:59,Snack
2026-05-11,69.7,56.0,107.0,4180,106,,8.48,02:45,05:16,00:00,21:00,Maatlijd - vol vet
2026-05-12,90.94,56.0,144.0,25568,9248,65,801.8,03:17,08:45,02:00,23:00,Maaltijd - mager
2026-05-13,79.52,60.0,135.0,14406,938,65,68.34,21:49,03:17,00:59,23:29,Maatlijd - vol vet
2026-05-14,86.79,64.0,155.0,25646,5589,72,468.26,03:44,11:22,00:59,21:59,Maaltijd - mager
2026-05-15,87.58,62.0,140.0,7688,1302,85,140.46,23:32,09:03,00:59,21:59,Maaltijd - mager
2026-05-16,92.74,66.0,163.0,17671,8035,,641.51,,,03:59,02:00,Maaltijd - mager
2026-05-17,89.6,62.0,147.0,18720,3855,84,417.36,03:37,12:21,03:59,21:59,Maaltijd - mager
2026-05-18,82.78,66.0,137.0,20837,3199,73,212.58,14:45,17:29,03:00,21:59,Snack
2026-05-19,89.35,64.0,148.0,23391,5764,74,540.04,03:42,11:05,02:29,20:00,Snack
2026-05-20,77.91,60.0,135.0,6884,1837,64,105.83,11:07,14:33,21:30,23:00,Maaltijd - mager
2026-05-21,79.94,62.0,142.0,12015,970,,60.08,,,,,
