date,average_heart_rate,min_heart_rate,max_heart_rate,start,end,rem_sleep_minutes,deep_sleep_minutes,sleep_score,calories_burned,total_steps,phone_last_used,last_food_time,last_food
2026-05-08,94.05,63.0,151.0,,,193.5,132.5,77,1016.21,13417,,,
2026-05-09,95.05,66.0,154.0,02:00,09:59,258.5,191.5,83,830.12,8838,00:59,21:00,Maatlijd - vol vet
2026-05-10,86.24,58.0,139.0,02:00,11:00,214.5,239.0,85,329.64,4166,00:59,21:59,Snack
2026-05-12,90.94,56.0,144.0,03:00,11:00,173.0,224.0,65,801.8,9248,02:00,23:00,Maaltijd - mager
2026-05-13,79.52,60.0,135.0,00:59,09:00,120.0,68.0,65,68.34,938,00:59,23:29,Maatlijd - vol vet
2026-05-14,86.79,64.0,155.0,02:00,11:00,189.0,180.5,72,468.26,5589,00:59,21:59,Maaltijd - mager
2026-05-15,87.58,62.0,140.0,02:00,11:00,217.0,175.0,85,140.46,1302,00:59,21:59,Maaltijd - mager
2026-05-17,89.6,62.0,147.0,05:00,11:00,243.5,214.0,84,417.36,3855,03:59,21:59,Maaltijd - mager
2026-05-18,82.78,66.0,137.0,03:59,11:00,204.5,219.0,73,212.58,3199,03:00,21:59,Snack
2026-05-19,89.35,64.0,148.0,02:29,12:00,182.5,148.0,74,540.04,5764,02:29,20:00,Snack
2026-05-20,77.91,60.0,135.0,01:15,07:44,133.0,212.5,64,105.83,1837,21:30,23:00,Maaltijd - mager
