timestamp,Infrared to Red Signal Ratio
05/19/26 00:56:02,0
05/19/26 00:57:02,0
05/19/26 00:58:02,0
05/19/26 00:59:02,0
05/19/26 01:00:02,0
05/19/26 06:08:31,0
05/19/26 06:09:31,0
05/19/26 06:10:31,28
05/19/26 06:11:31,8
05/19/26 06:12:32,60
05/19/26 06:13:32,-3
05/19/26 06:14:32,-26
05/19/26 06:15:32,-27
05/19/26 06:16:32,4
05/19/26 06:17:32,30
05/19/26 06:18:32,0
05/19/26 06:19:32,-11
05/19/26 06:20:32,0
05/19/26 06:21:32,0
05/19/26 06:22:32,35
05/19/26 06:23:32,-4
05/19/26 06:24:32,-4
05/19/26 06:25:32,0
05/19/26 06:26:32,0
05/19/26 06:27:32,7
05/19/26 06:28:31,-25
05/19/26 06:29:31,0
05/19/26 06:30:31,0
05/19/26 06:31:31,0
05/19/26 06:32:31,0
05/19/26 06:33:31,34
05/19/26 06:34:31,-4
05/19/26 06:35:31,28
05/19/26 06:36:31,3
05/19/26 06:37:31,0
05/19/26 06:38:31,0
05/19/26 06:39:31,-54
05/19/26 06:40:31,5
05/19/26 06:41:31,0
05/19/26 06:42:31,0
05/19/26 06:43:32,30
05/19/26 06:44:32,-11
05/19/26 06:45:32,-9
05/19/26 06:46:32,-6
05/19/26 06:47:32,1
05/19/26 06:48:32,0
05/19/26 06:49:32,0
05/19/26 06:50:32,2
05/19/26 06:51:32,1
05/19/26 06:52:32,0
05/19/26 06:53:32,35
05/19/26 06:54:32,0
05/19/26 06:55:32,-7
05/19/26 06:56:32,-26
05/19/26 06:57:32,-2
05/19/26 06:58:32,-2
05/19/26 06:59:32,0
05/19/26 07:00:32,5
05/19/26 07:01:32,-33
05/19/26 07:02:32,-14
05/19/26 07:03:32,4
05/19/26 07:04:32,4
05/19/26 07:05:32,-4
05/19/26 07:06:32,3
05/19/26 07:07:32,0
05/19/26 07:08:32,22
05/19/26 07:09:32,-9
05/19/26 07:10:32,5
05/19/26 07:11:32,-7
05/19/26 07:12:32,3
05/19/26 07:13:31,-62
05/19/26 07:14:31,-73
05/19/26 07:15:31,-8
05/19/26 07:16:31,-2
05/19/26 07:17:31,-4
05/19/26 07:18:31,13
05/19/26 07:19:31,-8
05/19/26 07:20:31,-5
05/19/26 07:21:31,0
05/19/26 07:22:31,4
05/19/26 07:23:31,-11
05/19/26 07:24:31,-10
05/19/26 07:25:31,9
05/19/26 07:26:31,0
05/19/26 07:27:31,3
05/19/26 07:28:32,17
05/19/26 07:29:32,-7
05/19/26 07:30:32,0
05/19/26 07:31:32,2
05/19/26 07:32:32,-11
05/19/26 07:33:32,-6
05/19/26 07:34:32,-1
05/19/26 07:35:32,20
05/19/26 07:36:32,0
05/19/26 07:37:32,3
05/19/26 07:38:32,-2
05/19/26 07:39:32,0
05/19/26 07:40:32,3
05/19/26 07:41:32,0
05/19/26 07:42:32,0
05/19/26 07:43:31,0
05/19/26 07:44:31,14
05/19/26 07:45:31,-16
05/19/26 07:46:31,-1
05/19/26 07:47:31,7
05/19/26 07:48:31,-2
05/19/26 07:49:31,36
05/19/26 07:50:31,0
05/19/26 07:51:31,5
05/19/26 07:52:31,-13
05/19/26 07:53:31,-8
05/19/26 07:54:31,11
05/19/26 07:55:31,37
05/19/26 07:56:31,21
05/19/26 07:57:31,4
05/19/26 07:58:32,0
05/19/26 07:59:32,-3
05/19/26 08:00:32,-4
05/19/26 08:01:32,-8
05/19/26 08:02:32,23
05/19/26 08:03:32,0
05/19/26 08:04:32,8
05/19/26 08:05:32,-12
05/19/26 08:06:32,-8
05/19/26 08:07:32,-7
05/19/26 08:08:32,9
05/19/26 08:09:32,-1
05/19/26 08:10:32,0
05/19/26 08:11:32,6
05/19/26 08:12:32,2
05/19/26 08:13:32,-13
05/19/26 08:14:32,1
05/19/26 08:15:32,12
05/19/26 08:16:32,0
05/19/26 08:17:32,1
05/19/26 08:18:32,-39
05/19/26 08:19:32,0
05/19/26 08:20:32,0
05/19/26 08:21:32,-2
05/19/26 08:22:32,13
05/19/26 08:23:32,-6
05/19/26 08:24:32,8
05/19/26 08:25:32,0
05/19/26 08:26:32,5
05/19/26 08:27:32,10
05/19/26 08:28:32,4
05/19/26 08:29:32,4
05/19/26 08:30:32,-28
05/19/26 08:31:32,24
05/19/26 08:32:32,-9
05/19/26 08:33:32,26
05/19/26 08:34:32,0
05/19/26 08:35:32,0
05/19/26 08:36:32,-26
05/19/26 08:37:32,3
05/19/26 08:38:32,44
05/19/26 08:39:32,8
05/19/26 08:40:32,-11
05/19/26 08:41:32,21
05/19/26 08:42:32,-22
05/19/26 08:43:32,0
05/19/26 08:44:32,0
05/19/26 08:45:32,0
05/19/26 08:46:32,0
05/19/26 08:47:32,0
05/19/26 08:48:32,-13
05/19/26 08:49:32,1
05/19/26 08:50:32,-7
05/19/26 08:51:32,-8
05/19/26 08:52:32,0
05/19/26 08:53:32,0
05/19/26 08:54:32,0
05/19/26 08:55:32,-3
05/19/26 08:56:32,-25
05/19/26 08:57:32,0
05/19/26 08:58:32,-9
05/19/26 08:59:31,-7
05/19/26 09:00:31,8
05/19/26 09:01:31,15
05/19/26 09:02:31,9
05/19/26 09:03:31,-1
05/19/26 09:04:31,-7
05/19/26 09:05:31,-2
05/19/26 09:06:31,-4
05/19/26 09:07:31,-48
05/19/26 09:08:31,0
05/19/26 09:09:31,0
05/19/26 09:10:31,53
05/19/26 09:11:31,49
05/19/26 09:12:31,0
05/19/26 09:13:31,-4
05/19/26 09:14:32,17
05/19/26 09:15:32,0
05/19/26 09:16:32,60
05/19/26 09:17:32,0
05/19/26 09:18:32,25
05/19/26 09:19:32,35
05/19/26 09:20:32,0
05/19/26 09:21:32,14
05/19/26 09:22:33,4
05/19/26 09:23:33,0
05/19/26 09:24:33,0
05/19/26 09:25:33,14
05/19/26 09:26:33,-8
05/19/26 09:27:33,0
05/19/26 09:28:33,0
05/19/26 09:29:33,0
05/19/26 09:30:33,-31
05/19/26 09:31:33,0
05/19/26 09:32:33,0
05/19/26 09:33:33,-10
05/19/26 09:34:33,0
05/19/26 09:35:33,0
05/19/26 09:36:33,0
05/19/26 09:37:33,0
05/19/26 09:38:33,12
05/19/26 09:39:33,4
05/19/26 09:40:33,-53
05/19/26 09:41:33,-47
05/19/26 09:42:33,0
05/19/26 09:43:33,66
05/19/26 09:44:33,29
05/19/26 09:45:33,45
05/19/26 09:46:33,-2
05/19/26 09:47:33,2
05/19/26 09:48:33,6
05/19/26 09:49:33,0
05/19/26 09:50:33,-36
05/19/26 09:51:33,8
05/19/26 09:52:33,0
05/19/26 09:53:33,0
05/19/26 09:54:33,0
05/19/26 09:55:33,-32
05/19/26 09:56:33,-11
05/19/26 09:57:33,-8
05/19/26 09:58:33,-21
05/19/26 09:59:32,1
05/19/26 10:00:32,0
05/19/26 10:01:32,0
05/19/26 10:02:32,-1
05/19/26 10:03:32,-6
05/19/26 10:04:32,24
05/19/26 10:05:32,37
05/19/26 10:06:32,0
05/19/26 10:07:32,0
05/19/26 10:08:32,-1
05/19/26 10:09:32,-3
05/19/26 10:10:32,4
05/19/26 10:11:32,-20
05/19/26 10:12:32,-17
05/19/26 10:13:32,-4
05/19/26 10:14:32,-1
05/19/26 10:15:32,3
05/19/26 10:16:32,4
05/19/26 10:17:32,4
05/19/26 10:18:32,-15
05/19/26 10:19:32,-43
05/19/26 10:20:32,-71
05/19/26 10:21:32,-3
05/19/26 10:22:32,-1
05/19/26 10:23:32,1
05/19/26 10:24:32,-17
05/19/26 10:25:32,19
05/19/26 10:26:32,7
05/19/26 10:27:32,-19
05/19/26 10:28:32,0
05/19/26 10:29:33,0
05/19/26 10:30:33,0
05/19/26 10:31:33,13
05/19/26 10:32:33,8
05/19/26 10:33:33,49
05/19/26 10:34:33,-13
05/19/26 10:35:33,-8
05/19/26 10:36:33,0
05/19/26 10:37:33,8
05/19/26 10:38:33,-8
05/19/26 10:39:33,-23
05/19/26 10:40:33,45
05/19/26 10:41:33,0
05/19/26 10:42:33,5
05/19/26 10:43:33,0
05/19/26 10:44:32,26
05/19/26 10:45:32,-9
05/19/26 10:46:32,-1
05/19/26 10:47:32,0
05/19/26 10:48:32,4
05/19/26 10:49:32,2
05/19/26 10:50:32,-3
05/19/26 10:51:32,0
05/19/26 10:52:32,0
05/19/26 10:53:32,-2
05/19/26 10:54:32,14
05/19/26 10:55:32,0
05/19/26 10:56:32,15
05/19/26 10:57:32,-53
05/19/26 10:58:32,20
05/19/26 10:59:31,0
05/19/26 11:00:31,-4
05/19/26 11:01:31,34
05/19/26 11:02:31,25
05/19/26 11:03:31,-7
05/19/26 11:04:31,0
05/19/26 11:05:31,-15
05/19/26 11:06:31,5
05/19/26 11:07:31,-3
05/19/26 11:08:31,-17
05/19/26 11:09:31,15
05/19/26 11:10:31,0
05/19/26 11:11:31,-7
05/19/26 11:12:31,0
05/19/26 11:13:31,0
05/19/26 11:14:32,-13
05/19/26 11:15:32,25
05/19/26 11:16:32,4
05/19/26 11:17:32,0
05/19/26 11:18:32,3
05/19/26 11:19:32,-10
05/19/26 11:20:32,0
05/19/26 11:21:32,21
05/19/26 11:22:32,0
05/19/26 11:23:32,0
05/19/26 11:24:32,0
05/19/26 11:25:32,-29
05/19/26 11:26:32,0
05/19/26 11:27:32,-4
05/19/26 11:28:32,8
05/19/26 11:29:32,60
05/19/26 11:30:32,-6
05/19/26 11:31:32,13
05/19/26 11:32:32,0
05/19/26 11:33:32,2
05/19/26 11:34:32,-1
05/19/26 11:35:32,-3
05/19/26 11:36:32,-36
05/19/26 11:37:32,-6
05/19/26 11:38:32,-50
05/19/26 11:39:32,1
05/19/26 11:40:32,-9
05/19/26 11:41:32,55
05/19/26 11:42:32,17
05/19/26 11:43:32,7
05/19/26 11:44:32,1
05/19/26 11:45:33,0
05/19/26 11:46:33,13
05/19/26 11:47:33,17
05/19/26 11:48:33,3
05/19/26 11:49:33,0
05/19/26 11:50:33,0
05/19/26 11:51:33,2
05/19/26 11:52:33,18
05/19/26 11:53:33,-1
05/19/26 11:54:33,1
05/19/26 11:55:33,-3
05/19/26 11:56:33,0
05/19/26 11:57:33,-39
05/19/26 11:58:33,0
05/19/26 11:59:33,-15
05/19/26 12:00:33,-14
05/19/26 12:01:33,50
05/19/26 12:02:33,-3
05/19/26 12:03:33,0
05/19/26 12:04:33,-1
05/19/26 12:05:33,-24
05/19/26 12:06:33,0
05/19/26 12:07:33,34
05/19/26 12:08:33,8
05/19/26 12:09:33,-8
05/19/26 12:10:33,4
05/19/26 12:11:33,-24
05/19/26 12:12:33,0
05/19/26 12:13:33,4
05/19/26 12:14:33,1
05/19/26 12:15:32,-2
05/19/26 12:16:32,19
05/19/26 12:17:32,-43
05/19/26 12:18:32,-3
05/19/26 12:19:32,-15
05/19/26 12:20:32,-10
05/19/26 12:21:32,0
05/19/26 12:22:32,-1
05/19/26 12:23:32,0
05/19/26 12:24:32,0
05/19/26 12:25:32,0
05/19/26 12:26:32,0
