timestamp,temperature celsius,data source
2026-04-06T09:49:00Z,27.6,Versa 4
2026-04-06T09:50:00Z,27.0,Versa 4
2026-04-06T09:51:00Z,26.7,Versa 4
2026-04-06T09:52:00Z,26.3,Versa 4
2026-04-06T09:53:00Z,25.8,Versa 4
2026-04-06T09:54:00Z,25.5,Versa 4
2026-04-06T09:55:00Z,25.2,Versa 4
2026-04-06T09:56:00Z,24.9,Versa 4
2026-04-06T09:57:00Z,24.7,Versa 4
2026-04-06T09:58:00Z,24.5,Versa 4
2026-04-06T09:59:00Z,24.3,Versa 4
2026-04-06T10:00:00Z,24.1,Versa 4
2026-04-06T10:01:00Z,23.9,Versa 4
2026-04-06T10:02:00Z,23.8,Versa 4
2026-04-06T10:03:00Z,23.6,Versa 4
