timestamp,distance,data source
2026-05-06T12:49:00Z,8.50,Versa 4
2026-05-06T13:55:00Z,10.70,Versa 4
2026-05-06T14:00:00Z,7.80,Versa 4
2026-05-06T14:01:00Z,84.30,Versa 4
2026-05-06T14:02:00Z,87.80,Versa 4
2026-05-06T14:03:00Z,102.10,Versa 4
2026-05-06T14:04:00Z,161.10,Versa 4
2026-05-06T14:05:00Z,110.90,Versa 4
2026-05-06T14:06:00Z,2.90,Versa 4
2026-05-06T14:34:00Z,2.80,Versa 4
2026-05-06T14:35:00Z,7.80,Versa 4
2026-05-06T14:54:00Z,10.70,Versa 4
2026-05-07T05:53:00Z,6.40,Versa 4
2026-05-07T05:54:00Z,7.80,Versa 4
2026-05-07T05:55:00Z,17.80,Versa 4
2026-05-07T05:56:00Z,14.90,Versa 4
2026-05-07T06:24:00Z,77.80,Versa 4
2026-05-07T06:25:00Z,92.80,Versa 4
2026-05-07T06:26:00Z,117.90,Versa 4
2026-05-07T06:27:00Z,105.30,Versa 4
2026-05-07T06:28:00Z,85.80,Versa 4
2026-05-07T06:29:00Z,37.30,Versa 4
2026-05-07T06:57:00Z,4.20,Versa 4
2026-05-07T07:53:00Z,6.40,Versa 4
2026-05-07T07:55:00Z,32.80,Versa 4
2026-05-07T07:56:00Z,26.40,Versa 4
2026-05-07T08:02:00Z,21.40,Versa 4
2026-05-07T08:03:00Z,4.90,Versa 4
2026-05-07T08:26:00Z,25.60,Versa 4
2026-05-07T08:47:00Z,12.10,Versa 4
2026-05-07T09:06:00Z,9.20,Versa 4
2026-05-07T09:15:00Z,6.40,Versa 4
2026-05-07T09:16:00Z,24.20,Versa 4
2026-05-07T09:17:00Z,4.20,Versa 4
2026-05-07T09:18:00Z,7.80,Versa 4
2026-05-07T09:23:00Z,14.20,Versa 4
2026-05-07T09:29:00Z,12.10,Versa 4
2026-05-07T09:37:00Z,22.80,Versa 4
2026-05-07T09:38:00Z,80.00,Versa 4
2026-05-07T09:39:00Z,66.90,Versa 4
2026-05-07T09:40:00Z,82.80,Versa 4
2026-05-07T09:41:00Z,83.60,Versa 4
2026-05-07T09:42:00Z,80.50,Versa 4
2026-05-07T09:43:00Z,17.70,Versa 4
2026-05-07T09:52:00Z,14.20,Versa 4
2026-05-07T10:00:00Z,7.10,Versa 4
2026-05-07T10:04:00Z,32.10,Versa 4
2026-05-07T10:05:00Z,37.10,Versa 4
2026-05-07T10:06:00Z,53.50,Versa 4
2026-05-07T10:07:00Z,37.10,Versa 4
2026-05-07T10:08:00Z,8.50,Versa 4
2026-05-07T10:13:00Z,20.60,Versa 4
2026-05-07T10:14:00Z,4.20,Versa 4
2026-05-07T10:17:00Z,8.50,Versa 4
2026-05-07T10:25:00Z,24.90,Versa 4
2026-05-07T10:27:00Z,16.40,Versa 4
2026-05-07T10:50:00Z,5.00,Versa 4
2026-05-07T10:53:00Z,18.50,Versa 4
2026-05-07T11:18:00Z,5.70,Versa 4
2026-05-07T13:01:00Z,2.80,Versa 4
2026-05-07T13:02:00Z,17.80,Versa 4
2026-05-07T13:03:00Z,5.00,Versa 4
2026-05-07T13:04:00Z,42.80,Versa 4
2026-05-07T13:05:00Z,4.20,Versa 4
2026-05-07T13:18:00Z,19.20,Versa 4
2026-05-07T13:19:00Z,14.20,Versa 4
2026-05-07T13:32:00Z,5.00,Versa 4
2026-05-07T13:33:00Z,2.80,Versa 4
2026-05-07T13:46:00Z,2.80,Versa 4
2026-05-07T13:47:00Z,22.10,Versa 4
2026-05-07T13:49:00Z,9.20,Versa 4
2026-05-07T13:50:00Z,15.70,Versa 4
2026-05-07T13:56:00Z,4.90,Versa 4
2026-05-07T13:57:00Z,8.50,Versa 4
2026-05-07T14:00:00Z,22.10,Versa 4
2026-05-07T14:01:00Z,36.30,Versa 4
2026-05-07T14:02:00Z,68.50,Versa 4
2026-05-07T14:03:00Z,74.20,Versa 4
2026-05-07T14:04:00Z,69.90,Versa 4
2026-05-07T14:05:00Z,67.80,Versa 4
2026-05-07T14:06:00Z,59.90,Versa 4
2026-05-07T14:07:00Z,52.80,Versa 4
2026-05-07T14:08:00Z,66.30,Versa 4
2026-05-07T14:09:00Z,68.50,Versa 4
2026-05-07T14:10:00Z,57.50,Versa 4
2026-05-07T14:11:00Z,50.30,Versa 4
2026-05-07T14:12:00Z,42.50,Versa 4
2026-05-07T14:13:00Z,24.60,Versa 4
2026-05-07T14:14:00Z,18.50,Versa 4
2026-05-07T14:15:00Z,5.60,Versa 4
2026-05-07T14:16:00Z,60.10,Versa 4
2026-05-07T14:17:00Z,44.70,Versa 4
2026-05-07T14:18:00Z,12.20,Versa 4
2026-05-07T14:23:00Z,5.70,Versa 4
2026-05-07T14:24:00Z,19.90,Versa 4
2026-05-07T14:25:00Z,12.10,Versa 4
2026-05-07T14:26:00Z,4.90,Versa 4
2026-05-07T14:29:00Z,15.70,Versa 4
2026-05-07T14:30:00Z,2.80,Versa 4
2026-05-07T14:31:00Z,22.10,Versa 4
2026-05-07T14:32:00Z,24.90,Versa 4
2026-05-07T14:33:00Z,74.90,Versa 4
2026-05-07T14:34:00Z,4.20,Versa 4
2026-05-07T14:37:00Z,13.50,Versa 4
2026-05-07T14:41:00Z,11.40,Versa 4
2026-05-07T14:42:00Z,19.20,Versa 4
2026-05-07T14:47:00Z,21.40,Versa 4
2026-05-07T14:48:00Z,4.20,Versa 4
2026-05-07T14:53:00Z,4.90,Versa 4
2026-05-07T14:54:00Z,13.50,Versa 4
2026-05-07T14:55:00Z,5.70,Versa 4
2026-05-07T14:57:00Z,2.80,Versa 4
2026-05-07T14:59:00Z,8.50,Versa 4
2026-05-07T15:00:00Z,6.40,Versa 4
2026-05-07T15:04:00Z,5.70,Versa 4
2026-05-07T15:05:00Z,5.00,Versa 4
2026-05-07T15:06:00Z,7.80,Versa 4
2026-05-07T15:07:00Z,22.10,Versa 4
2026-05-07T15:09:00Z,4.90,Versa 4
2026-05-07T15:11:00Z,7.80,Versa 4
2026-05-07T15:13:00Z,2.80,Versa 4
2026-05-07T15:15:00Z,10.00,Versa 4
2026-05-07T15:16:00Z,4.20,Versa 4
2026-05-07T15:17:00Z,12.10,Versa 4
2026-05-07T15:20:00Z,4.90,Versa 4
2026-05-07T15:22:00Z,17.80,Versa 4
2026-05-07T15:23:00Z,15.70,Versa 4
2026-05-07T15:24:00Z,17.80,Versa 4
2026-05-07T15:29:00Z,13.50,Versa 4
2026-05-07T15:30:00Z,5.00,Versa 4
2026-05-07T15:31:00Z,14.90,Versa 4
2026-05-07T15:32:00Z,13.50,Versa 4
2026-05-07T15:51:00Z,6.40,Versa 4
2026-05-07T15:55:00Z,19.20,Versa 4
2026-05-07T15:57:00Z,52.80,Versa 4
2026-05-07T15:59:00Z,5.00,Versa 4
2026-05-07T16:18:00Z,13.50,Versa 4
2026-05-07T16:23:00Z,6.40,Versa 4
2026-05-07T16:24:00Z,15.70,Versa 4
2026-05-07T16:32:00Z,3.50,Versa 4
2026-05-07T16:33:00Z,9.90,Versa 4
2026-05-07T16:36:00Z,5.70,Versa 4
2026-05-07T16:42:00Z,2.80,Versa 4
2026-05-07T16:43:00Z,5.70,Versa 4
2026-05-07T16:45:00Z,7.10,Versa 4
2026-05-07T16:48:00Z,6.40,Versa 4
2026-05-07T16:49:00Z,5.00,Versa 4
2026-05-07T16:50:00Z,6.40,Versa 4
2026-05-07T16:52:00Z,2.80,Versa 4
2026-05-07T16:54:00Z,7.10,Versa 4
2026-05-07T17:07:00Z,42.80,Versa 4
2026-05-07T17:08:00Z,17.10,Versa 4
2026-05-07T17:21:00Z,5.00,Versa 4
2026-05-07T17:25:00Z,23.50,Versa 4
2026-05-07T17:30:00Z,24.20,Versa 4
2026-05-07T17:31:00Z,4.20,Versa 4
2026-05-07T17:37:00Z,39.90,Versa 4
2026-05-07T17:41:00Z,24.20,Versa 4
2026-05-07T17:42:00Z,37.10,Versa 4
2026-05-07T17:43:00Z,9.90,Versa 4
2026-05-07T17:45:00Z,6.40,Versa 4
2026-05-07T18:11:00Z,8.50,Versa 4
2026-05-07T18:12:00Z,12.10,Versa 4
