timestamp,beats per minute,data source
2026-05-15T00:00:02Z,59.0,Versa 4
2026-05-15T00:00:04Z,60.0,Versa 4
2026-05-15T00:00:07Z,60.0,Versa 4
2026-05-15T00:00:08Z,59.0,Versa 4
2026-05-15T00:00:11Z,59.0,Versa 4
2026-05-15T00:00:14Z,59.0,Versa 4
2026-05-15T00:00:17Z,59.0,Versa 4
2026-05-15T00:00:20Z,59.0,Versa 4
2026-05-15T00:00:23Z,59.0,Versa 4
2026-05-15T00:00:26Z,59.0,Versa 4
2026-05-15T00:00:29Z,59.0,Versa 4
2026-05-15T00:00:32Z,59.0,Versa 4
2026-05-15T00:00:35Z,58.0,Versa 4
2026-05-15T00:00:38Z,58.0,Versa 4
2026-05-15T00:00:41Z,58.0,Versa 4
2026-05-15T00:00:44Z,58.0,Versa 4
2026-05-15T00:00:47Z,58.0,Versa 4
2026-05-15T00:00:50Z,59.0,Versa 4
2026-05-15T00:00:53Z,59.0,Versa 4
2026-05-15T00:00:56Z,59.0,Versa 4
2026-05-15T00:00:58Z,60.0,Versa 4
2026-05-15T00:01:01Z,60.0,Versa 4
2026-05-15T00:01:04Z,60.0,Versa 4
2026-05-15T00:01:06Z,59.0,Versa 4
2026-05-15T00:01:09Z,59.0,Versa 4
2026-05-15T00:01:12Z,59.0,Versa 4
2026-05-15T00:01:15Z,59.0,Versa 4
2026-05-15T00:01:17Z,58.0,Versa 4
2026-05-15T00:01:19Z,58.0,Versa 4
2026-05-15T00:01:22Z,58.0,Versa 4
2026-05-15T00:01:25Z,58.0,Versa 4
2026-05-15T00:01:28Z,58.0,Versa 4
2026-05-15T00:01:31Z,58.0,Versa 4
2026-05-15T00:01:34Z,58.0,Versa 4
2026-05-15T00:01:36Z,59.0,Versa 4
2026-05-15T00:01:39Z,59.0,Versa 4
2026-05-15T00:01:42Z,59.0,Versa 4
2026-05-15T00:01:45Z,59.0,Versa 4
2026-05-15T00:01:46Z,60.0,Versa 4
2026-05-15T00:01:49Z,60.0,Versa 4
2026-05-15T00:01:50Z,59.0,Versa 4
2026-05-15T00:01:53Z,59.0,Versa 4
2026-05-15T00:01:56Z,59.0,Versa 4
2026-05-15T00:01:59Z,58.0,Versa 4
2026-05-15T00:02:02Z,58.0,Versa 4
2026-05-15T00:02:05Z,58.0,Versa 4
2026-05-15T00:02:08Z,58.0,Versa 4
2026-05-15T00:02:11Z,59.0,Versa 4
2026-05-15T00:02:14Z,59.0,Versa 4
2026-05-15T00:02:17Z,59.0,Versa 4
2026-05-15T00:02:20Z,59.0,Versa 4
2026-05-15T00:02:22Z,58.0,Versa 4
2026-05-15T00:02:25Z,58.0,Versa 4
2026-05-15T00:02:28Z,58.0,Versa 4
2026-05-15T00:02:31Z,58.0,Versa 4
2026-05-15T00:02:32Z,58.0,Versa 4
2026-05-15T00:02:35Z,58.0,Versa 4
2026-05-15T00:02:38Z,58.0,Versa 4
2026-05-15T00:02:41Z,58.0,Versa 4
2026-05-15T00:02:44Z,58.0,Versa 4
2026-05-15T00:02:47Z,58.0,Versa 4
2026-05-15T00:02:49Z,59.0,Versa 4
2026-05-15T00:02:52Z,59.0,Versa 4
2026-05-15T00:02:55Z,58.0,Versa 4
2026-05-15T00:02:57Z,59.0,Versa 4
2026-05-15T00:03:00Z,59.0,Versa 4
2026-05-15T00:03:01Z,60.0,Versa 4
2026-05-15T00:03:04Z,60.0,Versa 4
2026-05-15T00:03:05Z,59.0,Versa 4
2026-05-15T00:03:07Z,60.0,Versa 4
2026-05-15T00:03:08Z,59.0,Versa 4
2026-05-15T00:03:11Z,59.0,Versa 4
2026-05-15T00:03:13Z,60.0,Versa 4
2026-05-15T00:03:15Z,59.0,Versa 4
2026-05-15T00:03:18Z,59.0,Versa 4
2026-05-15T00:03:21Z,59.0,Versa 4
2026-05-15T00:03:23Z,60.0,Versa 4
2026-05-15T00:03:26Z,60.0,Versa 4
2026-05-15T00:03:27Z,59.0,Versa 4
2026-05-15T00:03:29Z,60.0,Versa 4
2026-05-15T00:03:30Z,59.0,Versa 4
2026-05-15T00:03:33Z,59.0,Versa 4
2026-05-15T00:03:34Z,59.0,Versa 4
2026-05-15T00:03:37Z,59.0,Versa 4
2026-05-15T00:03:40Z,59.0,Versa 4
2026-05-15T00:03:43Z,59.0,Versa 4
2026-05-15T00:03:44Z,60.0,Versa 4
2026-05-15T00:03:47Z,60.0,Versa 4
2026-05-15T00:03:48Z,59.0,Versa 4
2026-05-15T00:03:50Z,58.0,Versa 4
2026-05-15T00:03:53Z,58.0,Versa 4
2026-05-15T00:03:56Z,58.0,Versa 4
2026-05-15T00:03:59Z,58.0,Versa 4
2026-05-15T00:04:02Z,58.0,Versa 4
2026-05-15T00:04:05Z,58.0,Versa 4
2026-05-15T00:04:07Z,59.0,Versa 4
2026-05-15T00:04:10Z,59.0,Versa 4
2026-05-15T00:04:11Z,60.0,Versa 4
2026-05-15T00:04:14Z,60.0,Versa 4
2026-05-15T00:04:17Z,60.0,Versa 4
2026-05-15T00:04:20Z,60.0,Versa 4
2026-05-15T00:04:23Z,60.0,Versa 4
2026-05-15T00:04:26Z,60.0,Versa 4
2026-05-15T00:04:29Z,60.0,Versa 4
2026-05-15T00:04:32Z,60.0,Versa 4
2026-05-15T00:04:35Z,60.0,Versa 4
2026-05-15T00:04:38Z,60.0,Versa 4
2026-05-15T00:04:41Z,60.0,Versa 4
2026-05-15T00:04:44Z,60.0,Versa 4
2026-05-15T00:04:45Z,60.0,Versa 4
2026-05-15T00:04:48Z,60.0,Versa 4
2026-05-15T00:04:51Z,59.0,Versa 4
2026-05-15T00:04:53Z,60.0,Versa 4
2026-05-15T00:04:56Z,60.0,Versa 4
2026-05-15T00:04:59Z,59.0,Versa 4
2026-05-15T00:05:02Z,59.0,Versa 4
2026-05-15T00:05:05Z,60.0,Versa 4
2026-05-15T00:05:08Z,60.0,Versa 4
2026-05-15T00:05:11Z,60.0,Versa 4
2026-05-15T00:05:12Z,62.0,Versa 4
2026-05-15T00:05:14Z,64.0,Versa 4
2026-05-15T00:05:16Z,65.0,Versa 4
2026-05-15T00:05:18Z,68.0,Versa 4
2026-05-15T00:05:20Z,73.0,Versa 4
2026-05-15T00:05:23Z,73.0,Versa 4
2026-05-15T00:05:24Z,90.0,Versa 4
2026-05-15T00:05:26Z,97.0,Versa 4
2026-05-15T00:05:28Z,99.0,Versa 4
2026-05-15T00:05:29Z,97.0,Versa 4
2026-05-15T00:05:31Z,86.0,Versa 4
2026-05-15T00:05:33Z,77.0,Versa 4
2026-05-15T00:05:35Z,72.0,Versa 4
2026-05-15T00:05:37Z,70.0,Versa 4
2026-05-15T00:05:39Z,67.0,Versa 4
2026-05-15T00:05:41Z,65.0,Versa 4
2026-05-15T00:05:43Z,64.0,Versa 4
2026-05-15T00:05:45Z,63.0,Versa 4
2026-05-15T00:05:47Z,62.0,Versa 4
2026-05-15T00:05:49Z,62.0,Versa 4
2026-05-15T00:05:51Z,61.0,Versa 4
2026-05-15T00:05:53Z,60.0,Versa 4
2026-05-15T00:05:56Z,59.0,Versa 4
2026-05-15T00:05:58Z,60.0,Versa 4
2026-05-15T00:06:01Z,60.0,Versa 4
2026-05-15T00:06:04Z,60.0,Versa 4
2026-05-15T00:06:07Z,60.0,Versa 4
2026-05-15T00:06:10Z,59.0,Versa 4
2026-05-15T00:06:12Z,58.0,Versa 4
2026-05-15T00:06:15Z,58.0,Versa 4
2026-05-15T00:06:18Z,58.0,Versa 4
2026-05-15T00:06:21Z,57.0,Versa 4
2026-05-15T00:06:24Z,57.0,Versa 4
2026-05-15T00:06:25Z,58.0,Versa 4
2026-05-15T00:06:28Z,58.0,Versa 4
2026-05-15T00:06:31Z,58.0,Versa 4
2026-05-15T00:06:34Z,58.0,Versa 4
2026-05-15T00:06:35Z,57.0,Versa 4
2026-05-15T00:06:38Z,57.0,Versa 4
2026-05-15T00:06:39Z,58.0,Versa 4
2026-05-15T00:06:41Z,58.0,Versa 4
2026-05-15T00:06:44Z,58.0,Versa 4
2026-05-15T00:06:47Z,58.0,Versa 4
2026-05-15T00:06:50Z,58.0,Versa 4
2026-05-15T00:06:53Z,58.0,Versa 4
2026-05-15T00:06:56Z,58.0,Versa 4
2026-05-15T00:06:59Z,58.0,Versa 4
2026-05-15T00:07:02Z,58.0,Versa 4
2026-05-15T00:07:05Z,58.0,Versa 4
2026-05-15T00:07:08Z,58.0,Versa 4
2026-05-15T00:07:11Z,58.0,Versa 4
2026-05-15T00:07:14Z,58.0,Versa 4
2026-05-15T00:07:17Z,58.0,Versa 4
2026-05-15T00:07:19Z,57.0,Versa 4
2026-05-15T00:07:22Z,57.0,Versa 4
2026-05-15T00:07:23Z,58.0,Versa 4
2026-05-15T00:07:26Z,58.0,Versa 4
2026-05-15T00:07:29Z,57.0,Versa 4
2026-05-15T00:07:30Z,58.0,Versa 4
2026-05-15T00:07:33Z,58.0,Versa 4
2026-05-15T00:07:36Z,58.0,Versa 4
2026-05-15T00:07:39Z,58.0,Versa 4
2026-05-15T00:07:42Z,58.0,Versa 4
2026-05-15T00:07:45Z,58.0,Versa 4
2026-05-15T00:07:48Z,58.0,Versa 4
2026-05-15T00:07:51Z,58.0,Versa 4
2026-05-15T00:07:54Z,58.0,Versa 4
2026-05-15T00:07:55Z,58.0,Versa 4
2026-05-15T00:07:58Z,58.0,Versa 4
2026-05-15T00:08:01Z,58.0,Versa 4
2026-05-15T00:08:04Z,58.0,Versa 4
2026-05-15T00:08:05Z,59.0,Versa 4
2026-05-15T00:08:07Z,60.0,Versa 4
2026-05-15T00:08:10Z,60.0,Versa 4
2026-05-15T00:08:13Z,59.0,Versa 4
2026-05-15T00:08:15Z,58.0,Versa 4
2026-05-15T00:08:18Z,58.0,Versa 4
2026-05-15T00:08:21Z,58.0,Versa 4
2026-05-15T00:08:24Z,58.0,Versa 4
2026-05-15T00:08:27Z,58.0,Versa 4
2026-05-15T00:08:30Z,58.0,Versa 4
2026-05-15T00:08:33Z,58.0,Versa 4
2026-05-15T00:08:36Z,58.0,Versa 4
2026-05-15T00:08:39Z,58.0,Versa 4
2026-05-15T00:08:41Z,59.0,Versa 4
2026-05-15T00:08:44Z,59.0,Versa 4
2026-05-15T00:08:47Z,60.0,Versa 4
2026-05-15T00:08:50Z,60.0,Versa 4
2026-05-15T00:08:53Z,60.0,Versa 4
2026-05-15T00:08:56Z,60.0,Versa 4
2026-05-15T00:08:57Z,59.0,Versa 4
2026-05-15T00:08:59Z,58.0,Versa 4
2026-05-15T00:09:02Z,58.0,Versa 4
2026-05-15T00:09:05Z,58.0,Versa 4
2026-05-15T00:09:06Z,58.0,Versa 4
2026-05-15T00:09:08Z,59.0,Versa 4
2026-05-15T00:09:10Z,58.0,Versa 4
2026-05-15T00:09:13Z,58.0,Versa 4
2026-05-15T00:09:16Z,58.0,Versa 4
2026-05-15T00:09:19Z,58.0,Versa 4
2026-05-15T00:09:22Z,58.0,Versa 4
2026-05-15T00:09:25Z,58.0,Versa 4
2026-05-15T00:09:28Z,58.0,Versa 4
2026-05-15T00:09:31Z,58.0,Versa 4
2026-05-15T00:09:34Z,58.0,Versa 4
2026-05-15T00:09:37Z,58.0,Versa 4
2026-05-15T00:09:40Z,58.0,Versa 4
2026-05-15T00:09:43Z,58.0,Versa 4
2026-05-15T00:09:46Z,58.0,Versa 4
2026-05-15T00:09:49Z,58.0,Versa 4
2026-05-15T00:09:52Z,58.0,Versa 4
2026-05-15T00:09:54Z,59.0,Versa 4
2026-05-15T00:09:57Z,59.0,Versa 4
2026-05-15T00:10:00Z,59.0,Versa 4
2026-05-15T00:10:03Z,59.0,Versa 4
2026-05-15T00:10:06Z,59.0,Versa 4
2026-05-15T00:10:09Z,59.0,Versa 4
2026-05-15T00:10:12Z,58.0,Versa 4
2026-05-15T00:10:15Z,58.0,Versa 4
2026-05-15T00:10:18Z,58.0,Versa 4
2026-05-15T00:10:21Z,58.0,Versa 4
2026-05-15T00:10:23Z,58.0,Versa 4
2026-05-15T00:10:26Z,58.0,Versa 4
2026-05-15T00:10:29Z,58.0,Versa 4
2026-05-15T00:10:31Z,59.0,Versa 4
2026-05-15T00:10:34Z,59.0,Versa 4
2026-05-15T00:10:37Z,59.0,Versa 4
2026-05-15T00:10:39Z,58.0,Versa 4
2026-05-15T00:10:42Z,59.0,Versa 4
2026-05-15T00:10:44Z,60.0,Versa 4
2026-05-15T00:10:46Z,62.0,Versa 4
2026-05-15T00:10:48Z,65.0,Versa 4
2026-05-15T00:10:50Z,70.0,Versa 4
2026-05-15T00:10:52Z,73.0,Versa 4
2026-05-15T00:10:54Z,76.0,Versa 4
2026-05-15T00:10:56Z,78.0,Versa 4
2026-05-15T00:10:58Z,81.0,Versa 4
2026-05-15T00:11:01Z,81.0,Versa 4
2026-05-15T00:11:02Z,76.0,Versa 4
2026-05-15T00:11:04Z,72.0,Versa 4
2026-05-15T00:11:05Z,70.0,Versa 4
2026-05-15T00:11:07Z,69.0,Versa 4
