timestamp,steps,distance millimeters,altitude gain millimeters,data source
2026-05-08T06:24:22Z,1,0,0,Versa 4
2026-05-08T06:24:23Z,1,0,-609,Versa 4
2026-05-08T06:24:24Z,2,110,304,Versa 4
2026-05-08T06:24:25Z,2,210,-304,Versa 4
2026-05-08T06:24:26Z,2,360,0,Versa 4
2026-05-08T06:24:27Z,2,500,304,Versa 4
2026-05-08T06:24:28Z,2,660,-304,Versa 4
2026-05-08T06:24:29Z,1,750,0,Versa 4
2026-05-08T06:24:30Z,2,820,609,Versa 4
2026-05-08T06:24:31Z,2,880,-609,Versa 4
2026-05-08T06:24:32Z,2,910,0,Versa 4
2026-05-08T06:24:33Z,1,920,-304,Versa 4
2026-05-08T06:24:34Z,2,1170,304,Versa 4
2026-05-08T06:24:35Z,1,1170,-304,Versa 4
2026-05-08T06:24:36Z,1,1120,304,Versa 4
2026-05-08T06:24:37Z,3,1130,609,Versa 4
2026-05-08T06:24:38Z,2,1160,-609,Versa 4
2026-05-08T06:24:39Z,2,1190,0,Versa 4
2026-05-08T06:24:40Z,2,1250,609,Versa 4
2026-05-08T06:24:41Z,2,1330,-609,Versa 4
2026-05-08T06:24:42Z,2,1350,0,Versa 4
2026-05-08T06:24:43Z,2,1370,0,Versa 4
2026-05-08T06:24:44Z,2,1380,0,Versa 4
2026-05-08T06:24:45Z,2,1390,0,Versa 4
2026-05-08T06:24:46Z,1,1390,-304,Versa 4
2026-05-08T06:24:47Z,2,1380,0,Versa 4
2026-05-08T06:24:48Z,2,1390,304,Versa 4
2026-05-08T06:24:49Z,2,1380,0,Versa 4
2026-05-08T06:24:50Z,2,1370,0,Versa 4
2026-05-08T06:24:51Z,2,1390,0,Versa 4
2026-05-08T06:24:52Z,2,1400,-304,Versa 4
2026-05-08T06:24:53Z,1,1390,304,Versa 4
2026-05-08T06:24:54Z,1,1390,-304,Versa 4
2026-05-08T06:24:55Z,1,1290,0,Versa 4
2026-05-08T06:24:56Z,1,1180,304,Versa 4
2026-05-08T06:24:57Z,2,1100,-304,Versa 4
2026-05-08T06:24:58Z,2,1090,609,Versa 4
