start time,end time,data source
2026-05-19T01:39:00Z,2026-05-19T03:42:00Z,Fitbit App
2026-05-19T11:06:00Z,2026-05-19T11:20:00Z,Fitbit App
2026-05-19T11:23:00Z,2026-05-19T11:43:00Z,Fitbit App
2026-05-19T13:37:00Z,2026-05-19T13:56:00Z,Fitbit App
2026-05-19T14:59:00Z,2026-05-19T15:09:00Z,Fitbit App
2026-05-19T15:22:00Z,2026-05-19T15:35:00Z,Fitbit App
2026-05-19T16:04:00Z,2026-05-19T16:20:00Z,Fitbit App
2026-05-19T17:23:00Z,2026-05-19T17:33:00Z,Fitbit App
2026-05-19T19:53:00Z,2026-05-19T20:16:00Z,Fitbit App
2026-05-19T21:17:00Z,2026-05-19T21:41:00Z,Fitbit App
2026-05-19T22:22:00Z,2026-05-20T01:57:00Z,Fitbit App
