timestamp,Infrared to Red Signal Ratio
05/13/26 01:26:30,4
05/13/26 01:27:30,-30
05/13/26 01:28:30,-44
05/13/26 01:29:30,-4
05/13/26 01:30:30,0
05/13/26 01:31:30,0
05/13/26 01:32:30,4
05/13/26 01:33:30,-18
05/13/26 01:34:30,8
05/13/26 01:35:30,-5
05/13/26 01:36:30,-21
05/13/26 01:37:30,0
05/13/26 01:38:30,-4
05/13/26 01:39:30,4
05/13/26 01:40:30,0
05/13/26 01:41:30,4
05/13/26 01:42:30,0
05/13/26 01:43:30,7
05/13/26 01:44:30,-40
05/13/26 01:45:30,-7
05/13/26 01:46:30,-4
05/13/26 01:47:30,30
05/13/26 01:48:30,30
05/13/26 01:49:30,4
05/13/26 01:50:30,26
05/13/26 01:51:30,-22
05/13/26 01:52:30,0
05/13/26 01:53:30,0
05/13/26 01:54:30,43
05/13/26 01:55:30,-29
05/13/26 01:56:30,0
05/13/26 01:57:30,2
05/13/26 01:58:30,11
05/13/26 01:59:30,8
05/13/26 02:00:30,-5
05/13/26 02:01:30,-13
05/13/26 02:02:30,-9
05/13/26 02:03:30,-6
05/13/26 02:04:30,-23
05/13/26 02:05:30,-3
05/13/26 02:06:30,14
05/13/26 02:07:30,-52
05/13/26 02:08:30,-4
05/13/26 02:09:30,3
05/13/26 02:10:30,0
05/13/26 02:11:30,8
05/13/26 02:12:30,34
05/13/26 02:13:30,0
05/13/26 02:14:30,-9
05/13/26 02:15:30,-1
05/13/26 02:16:30,-2
05/13/26 02:17:30,17
05/13/26 02:18:30,15
05/13/26 02:19:30,-5
05/13/26 02:20:30,3
05/13/26 02:21:30,0
05/13/26 02:22:30,24
05/13/26 02:23:30,-8
05/13/26 02:24:30,1
05/13/26 02:25:30,-1
05/13/26 02:26:30,-47
05/13/26 02:27:30,0
05/13/26 02:28:30,-56
05/13/26 02:29:30,-3
05/13/26 02:30:30,-16
05/13/26 02:31:30,6
05/13/26 02:32:30,0
05/13/26 02:33:30,-4
05/13/26 02:34:30,-10
05/13/26 02:35:30,1
05/13/26 02:36:30,39
05/13/26 02:37:30,8
05/13/26 02:38:30,9
05/13/26 02:39:30,-26
05/13/26 02:40:30,4
05/13/26 02:41:30,8
05/13/26 02:42:30,-3
05/13/26 02:43:30,0
05/13/26 02:44:30,-1
05/13/26 02:45:30,0
05/13/26 02:46:30,-18
05/13/26 02:47:30,-19
05/13/26 02:48:30,-5
05/13/26 02:49:30,0
05/13/26 02:50:30,6
05/13/26 02:51:30,-50
05/13/26 02:52:30,-8
05/13/26 02:53:30,-26
05/13/26 02:54:30,-19
05/13/26 02:55:30,-4
05/13/26 02:56:30,-58
05/13/26 02:57:30,-9
05/13/26 02:58:30,0
05/13/26 02:59:30,0
05/13/26 03:00:30,4
05/13/26 03:01:30,22
05/13/26 03:02:30,7
05/13/26 03:03:30,0
05/13/26 03:04:30,6
05/13/26 03:05:30,0
05/13/26 03:06:30,-18
05/13/26 03:07:30,-1
05/13/26 03:08:30,2
05/13/26 03:09:30,19
05/13/26 03:10:30,1
05/13/26 03:11:30,15
05/13/26 03:12:30,7
05/13/26 03:13:30,16
05/13/26 03:14:30,16
05/13/26 03:15:30,13
05/13/26 03:16:30,3
05/13/26 03:17:30,47
05/13/26 03:18:30,30
05/13/26 03:19:30,4
05/13/26 03:20:30,14
05/13/26 03:21:30,19
05/13/26 03:22:30,33
05/13/26 03:23:30,0
05/13/26 03:24:30,0
05/13/26 03:25:30,9
05/13/26 03:26:30,1
05/13/26 03:27:30,17
05/13/26 03:28:30,-1
05/13/26 03:29:30,1
05/13/26 03:30:30,13
05/13/26 03:31:30,8
05/13/26 03:32:30,38
05/13/26 03:33:30,28
05/13/26 03:34:30,47
05/13/26 03:35:30,1
05/13/26 03:36:30,-20
05/13/26 03:37:30,-4
05/13/26 03:38:30,-18
05/13/26 03:39:30,-21
05/13/26 03:40:30,0
05/13/26 03:41:30,0
05/13/26 03:42:30,0
05/13/26 03:43:30,-1
05/13/26 03:44:30,2
05/13/26 03:45:30,18
05/13/26 03:46:30,56
05/13/26 03:47:30,65
05/13/26 03:48:30,-4
05/13/26 03:49:30,1
05/13/26 03:50:30,27
05/13/26 03:51:30,-26
05/13/26 03:52:30,-2
05/13/26 03:53:30,-1
05/13/26 03:54:30,-8
05/13/26 03:55:30,0
05/13/26 03:56:30,13
05/13/26 03:57:30,-6
05/13/26 03:58:30,10
05/13/26 03:59:30,-53
05/13/26 04:00:30,1
05/13/26 04:01:30,-17
05/13/26 04:02:30,8
05/13/26 04:03:30,1
05/13/26 04:04:30,-14
05/13/26 04:05:30,0
05/13/26 04:06:30,0
05/13/26 04:07:30,0
05/13/26 04:08:30,-50
05/13/26 04:09:30,14
05/13/26 04:10:30,4
05/13/26 04:11:30,0
05/13/26 04:12:30,21
05/13/26 04:13:30,-13
05/13/26 04:14:30,3
05/13/26 04:15:30,-5
05/13/26 04:16:30,-13
05/13/26 04:17:30,-5
05/13/26 04:18:30,-26
05/13/26 04:19:30,0
05/13/26 04:20:30,-19
05/13/26 04:21:30,0
05/13/26 04:22:30,-2
05/13/26 04:23:30,0
05/13/26 04:24:30,13
05/13/26 04:25:30,4
05/13/26 04:26:30,12
05/13/26 04:27:30,28
05/13/26 04:28:30,4
05/13/26 04:29:30,6
05/13/26 04:30:30,0
05/13/26 04:31:30,0
05/13/26 04:32:30,-24
05/13/26 04:33:30,22
05/13/26 04:34:30,-15
05/13/26 04:35:30,2
05/13/26 04:36:30,1
05/13/26 04:37:30,0
05/13/26 04:38:30,28
05/13/26 04:39:30,5
05/13/26 04:40:30,0
05/13/26 04:41:30,0
05/13/26 04:42:30,0
05/13/26 04:43:30,-39
05/13/26 04:44:30,-2
05/13/26 04:45:30,-20
05/13/26 04:46:30,0
05/13/26 04:47:30,-14
05/13/26 04:48:30,0
05/13/26 04:49:30,1
05/13/26 04:50:30,-34
05/13/26 04:51:30,1
05/13/26 04:52:30,39
05/13/26 04:53:30,2
05/13/26 04:54:30,0
05/13/26 04:55:30,55
05/13/26 04:56:30,0
05/13/26 04:57:30,-23
05/13/26 04:58:30,22
05/13/26 04:59:30,0
05/13/26 05:00:30,0
05/13/26 05:01:30,18
05/13/26 05:02:30,17
05/13/26 05:03:30,27
05/13/26 05:04:30,-4
05/13/26 05:05:30,41
05/13/26 05:06:30,19
05/13/26 05:07:30,8
05/13/26 05:08:30,10
05/13/26 05:09:30,0
05/13/26 05:10:30,-66
05/13/26 05:11:30,0
05/13/26 05:12:30,1
05/13/26 05:13:30,29
05/13/26 05:14:30,15
05/13/26 05:15:30,-7
05/13/26 05:16:30,-16
05/13/26 05:17:30,0
05/13/26 05:18:30,0
05/13/26 05:19:30,-1
05/13/26 05:20:30,0
05/13/26 05:21:30,-9
05/13/26 05:22:30,-39
05/13/26 05:23:30,-34
05/13/26 05:24:30,-1
05/13/26 05:25:30,0
05/13/26 05:26:30,44
05/13/26 05:27:30,2
05/13/26 05:28:30,42
05/13/26 05:29:30,21
05/13/26 05:30:30,28
05/13/26 05:31:30,-2
05/13/26 05:32:30,0
05/13/26 05:33:30,-4
05/13/26 05:34:30,0
05/13/26 05:35:30,-4
05/13/26 05:36:30,12
05/13/26 05:37:30,0
05/13/26 05:38:30,-7
05/13/26 05:39:30,-1
05/13/26 05:40:30,-13
05/13/26 05:41:30,-7
05/13/26 05:42:30,-17
05/13/26 05:43:30,-13
05/13/26 05:44:30,-4
05/13/26 05:45:30,-4
05/13/26 05:46:30,-3
05/13/26 05:47:30,0
05/13/26 05:48:30,-22
05/13/26 05:49:30,-8
05/13/26 05:50:30,2
05/13/26 05:51:30,7
05/13/26 05:52:30,4
05/13/26 05:53:30,0
05/13/26 05:54:30,-2
05/13/26 05:55:30,-11
05/13/26 05:56:30,0
05/13/26 05:57:30,0
05/13/26 05:58:30,0
05/13/26 05:59:30,-1
05/13/26 06:00:30,-5
05/13/26 06:01:30,-21
05/13/26 06:02:30,-3
05/13/26 06:03:30,0
05/13/26 06:04:30,-14
05/13/26 06:05:30,3
05/13/26 06:06:30,-2
05/13/26 06:07:30,0
05/13/26 06:08:30,-6
05/13/26 06:09:30,0
05/13/26 06:10:30,36
05/13/26 06:11:30,2
05/13/26 06:12:30,-73
05/13/26 06:13:30,0
05/13/26 06:14:30,-27
05/13/26 06:15:30,63
05/13/26 06:16:30,0
05/13/26 06:17:30,-3
05/13/26 06:18:30,0
05/13/26 06:19:30,19
05/13/26 06:20:30,-47
05/13/26 06:21:30,-70
05/13/26 06:22:30,-42
05/13/26 06:23:30,-58
05/13/26 06:24:30,11
05/13/26 06:25:30,-31
05/13/26 06:26:30,-12
05/13/26 06:27:30,0
05/13/26 06:28:30,0
05/13/26 06:29:30,0
05/13/26 06:30:30,0
05/13/26 06:31:30,11
05/13/26 06:32:30,-25
05/13/26 06:33:30,0
05/13/26 06:34:30,0
05/13/26 06:35:30,14
05/13/26 06:36:30,-7
05/13/26 06:37:30,0
05/13/26 06:38:30,-3
05/13/26 06:39:30,0
05/13/26 06:40:30,0
05/13/26 06:41:30,3
05/13/26 06:42:30,14
05/13/26 06:43:30,0
05/13/26 06:44:30,-4
05/13/26 06:45:30,35
05/13/26 06:46:30,0
05/13/26 06:47:30,0
05/13/26 06:48:30,-44
05/13/26 06:49:30,0
05/13/26 06:50:30,22
05/13/26 06:51:30,11
05/13/26 06:52:30,1
05/13/26 06:53:32,23
05/13/26 06:54:32,6
05/13/26 06:55:32,-25
05/13/26 06:56:32,-7
05/13/26 06:57:32,99
05/13/26 06:58:32,29
05/13/26 06:59:32,-13
05/13/26 07:00:32,-13
05/13/26 07:01:32,45
05/13/26 07:02:32,-18
05/13/26 07:03:32,-3
05/13/26 07:04:32,0
05/13/26 07:05:32,8
05/13/26 07:06:32,6
05/13/26 07:07:32,6
05/13/26 07:08:32,-2
05/13/26 07:09:32,0
05/13/26 07:10:32,-39
05/13/26 07:11:32,4
05/13/26 07:12:32,22
05/13/26 07:13:32,0
05/13/26 07:14:32,0
05/13/26 07:15:32,-9
05/13/26 07:16:32,0
05/13/26 07:17:32,-2
05/13/26 07:18:32,4
05/13/26 07:19:32,-4
05/13/26 07:20:32,0
05/13/26 07:21:32,8
05/13/26 07:22:32,1
05/13/26 07:23:32,-52
05/13/26 07:24:32,11
05/13/26 07:25:32,0
05/13/26 07:26:32,-1
05/13/26 07:27:32,0
05/13/26 07:28:33,2
