timestamp,distance,data source
2026-05-06T10:12:00Z,18.60,Versa 4
2026-05-06T10:13:00Z,19.50,Versa 4
2026-05-06T10:14:00Z,4.80,Versa 4
2026-05-06T10:26:00Z,23.50,Versa 4
2026-05-06T10:27:00Z,51.10,Versa 4
2026-05-06T10:28:00Z,86.10,Versa 4
2026-05-06T10:29:00Z,80.00,Versa 4
2026-05-06T10:30:00Z,85.70,Versa 4
2026-05-06T10:31:00Z,49.60,Versa 4
2026-05-06T10:32:00Z,4.20,Versa 4
2026-05-06T11:10:00Z,8.90,Versa 4
2026-05-06T11:34:00Z,7.30,Versa 4
2026-05-06T11:38:00Z,5.60,Versa 4
2026-05-06T11:39:00Z,65.00,Versa 4
2026-05-06T11:40:00Z,22.70,Versa 4
2026-05-06T11:45:00Z,16.20,Versa 4
2026-05-06T11:46:00Z,49.50,Versa 4
2026-05-06T12:03:00Z,58.50,Versa 4
2026-05-06T12:04:00Z,80.40,Versa 4
2026-05-06T12:05:00Z,42.80,Versa 4
2026-05-06T12:06:00Z,54.90,Versa 4
2026-05-06T12:07:00Z,5.60,Versa 4
2026-05-06T12:15:00Z,5.60,Versa 4
2026-05-06T12:16:00Z,52.80,Versa 4
2026-05-06T12:17:00Z,7.30,Versa 4
2026-05-06T12:24:00Z,31.60,Versa 4
2026-05-06T12:25:00Z,56.80,Versa 4
2026-05-06T12:26:00Z,26.80,Versa 4
2026-05-06T12:27:00Z,81.20,Versa 4
2026-05-06T12:28:00Z,68.20,Versa 4
2026-05-06T12:29:00Z,18.50,Versa 4
2026-05-06T13:56:00Z,7.30,Versa 4
2026-05-06T13:57:00Z,6.50,Versa 4
2026-05-06T14:09:00Z,47.10,Versa 4
2026-05-06T14:10:00Z,86.90,Versa 4
2026-05-06T14:11:00Z,22.70,Versa 4
2026-05-06T14:21:00Z,49.50,Versa 4
2026-05-06T14:22:00Z,84.50,Versa 4
2026-05-06T14:23:00Z,70.10,Versa 4
2026-05-06T14:24:00Z,63.00,Versa 4
2026-05-06T14:25:00Z,63.70,Versa 4
2026-05-06T14:27:00Z,65.00,Versa 4
2026-05-06T14:28:00Z,78.00,Versa 4
2026-05-06T14:29:00Z,65.00,Versa 4
2026-05-06T14:30:00Z,78.00,Versa 4
2026-05-06T14:31:00Z,76.30,Versa 4
2026-05-06T14:32:00Z,67.40,Versa 4
2026-05-06T14:33:00Z,39.80,Versa 4
2026-05-06T14:34:00Z,30.00,Versa 4
2026-05-06T14:35:00Z,24.30,Versa 4
2026-05-06T14:37:00Z,16.20,Versa 4
2026-05-06T14:38:00Z,38.10,Versa 4
2026-05-06T14:39:00Z,1.60,Versa 4
2026-05-06T14:42:00Z,5.60,Versa 4
2026-05-06T17:06:00Z,16.20,Versa 4
2026-05-06T17:09:00Z,7.30,Versa 4
2026-05-06T17:10:00Z,6.50,Versa 4
2026-05-06T17:11:00Z,23.50,Versa 4
2026-05-06T17:12:00Z,8.90,Versa 4
2026-05-06T17:13:00Z,21.10,Versa 4
2026-05-06T18:47:00Z,14.60,Versa 4
2026-05-06T19:25:00Z,8.10,Versa 4
2026-05-06T19:26:00Z,30.80,Versa 4
2026-05-06T19:27:00Z,32.50,Versa 4
2026-05-06T19:28:00Z,21.10,Versa 4
2026-05-06T19:29:00Z,5.60,Versa 4
2026-05-06T19:31:00Z,43.80,Versa 4
2026-05-06T19:32:00Z,39.00,Versa 4
2026-05-06T19:33:00Z,6.50,Versa 4
2026-05-06T19:35:00Z,8.90,Versa 4
2026-05-06T19:36:00Z,21.10,Versa 4
2026-05-06T20:38:00Z,20.30,Versa 4
2026-05-06T20:40:00Z,6.50,Versa 4
2026-05-06T20:41:00Z,25.10,Versa 4
2026-05-06T21:25:00Z,5.60,Versa 4
2026-05-06T22:01:00Z,4.00,Versa 4
2026-05-06T22:02:00Z,27.60,Versa 4
2026-05-06T22:14:00Z,5.60,Versa 4
2026-05-06T22:15:00Z,17.80,Versa 4
2026-05-06T22:16:00Z,33.30,Versa 4
2026-05-06T22:17:00Z,8.90,Versa 4
2026-05-06T22:33:00Z,24.30,Versa 4
2026-05-07T05:44:00Z,4.00,Versa 4
2026-05-07T05:58:00Z,8.10,Versa 4
2026-05-07T06:25:00Z,25.10,Versa 4
2026-05-07T06:26:00Z,75.50,Versa 4
2026-05-07T06:35:00Z,82.80,Versa 4
2026-05-07T06:36:00Z,91.80,Versa 4
2026-05-07T06:37:00Z,90.10,Versa 4
2026-05-07T06:38:00Z,19.50,Versa 4
2026-05-07T06:39:00Z,11.30,Versa 4
2026-05-07T06:40:00Z,2.40,Versa 4
2026-05-07T07:24:00Z,8.90,Versa 4
2026-05-07T07:25:00Z,79.60,Versa 4
2026-05-07T07:26:00Z,83.60,Versa 4
2026-05-07T07:27:00Z,28.40,Versa 4
2026-05-07T07:32:00Z,14.60,Versa 4
2026-05-07T07:33:00Z,61.70,Versa 4
2026-05-07T07:34:00Z,38.10,Versa 4
2026-05-07T07:53:00Z,15.40,Versa 4
2026-05-07T07:54:00Z,3.20,Versa 4
2026-05-07T07:55:00Z,20.30,Versa 4
2026-05-07T07:56:00Z,56.80,Versa 4
2026-05-07T07:57:00Z,71.50,Versa 4
2026-05-07T07:58:00Z,27.50,Versa 4
2026-05-07T07:59:00Z,9.90,Versa 4
2026-05-07T08:00:00Z,3.20,Versa 4
2026-05-07T08:01:00Z,2.20,Versa 4
2026-05-07T08:05:00Z,9.70,Versa 4
2026-05-07T08:06:00Z,17.00,Versa 4
2026-05-07T08:10:00Z,47.10,Versa 4
2026-05-07T08:11:00Z,25.10,Versa 4
2026-05-07T08:12:00Z,4.80,Versa 4
2026-05-07T08:16:00Z,29.20,Versa 4
2026-05-07T08:17:00Z,29.20,Versa 4
2026-05-07T08:18:00Z,73.10,Versa 4
2026-05-07T08:19:00Z,76.20,Versa 4
2026-05-07T08:20:00Z,1.90,Versa 4
2026-05-07T08:28:00Z,8.90,Versa 4
2026-05-07T08:29:00Z,43.80,Versa 4
2026-05-07T08:30:00Z,84.50,Versa 4
2026-05-07T08:31:00Z,51.00,Versa 4
2026-05-07T08:36:00Z,4.10,Versa 4
2026-05-07T08:52:00Z,4.80,Versa 4
2026-05-07T08:58:00Z,9.70,Versa 4
2026-05-07T09:07:00Z,4.00,Versa 4
2026-05-07T09:21:00Z,21.10,Versa 4
2026-05-07T09:22:00Z,8.10,Versa 4
2026-05-07T09:27:00Z,12.10,Versa 4
2026-05-07T09:36:00Z,5.60,Versa 4
2026-05-07T09:40:00Z,5.60,Versa 4
2026-05-07T09:46:00Z,5.60,Versa 4
2026-05-07T09:47:00Z,34.10,Versa 4
2026-05-07T09:48:00Z,51.10,Versa 4
2026-05-07T09:49:00Z,82.00,Versa 4
2026-05-07T09:50:00Z,79.20,Versa 4
2026-05-07T09:51:00Z,30.40,Versa 4
2026-05-07T09:52:00Z,32.50,Versa 4
2026-05-07T09:53:00Z,25.80,Versa 4
2026-05-07T09:54:00Z,8.10,Versa 4
2026-05-07T09:55:00Z,46.30,Versa 4
2026-05-07T09:56:00Z,48.70,Versa 4
2026-05-07T09:57:00Z,45.50,Versa 4
2026-05-07T09:58:00Z,60.10,Versa 4
2026-05-07T09:59:00Z,60.10,Versa 4
