timestamp,beats per minute,data source
2026-05-15T00:00:00Z,64.0,Versa 4
2026-05-15T00:00:03Z,63.0,Versa 4
2026-05-15T00:00:06Z,63.0,Versa 4
2026-05-15T00:00:08Z,65.0,Versa 4
2026-05-15T00:00:10Z,66.0,Versa 4
2026-05-15T00:00:12Z,67.0,Versa 4
2026-05-15T00:00:14Z,69.0,Versa 4
2026-05-15T00:00:16Z,71.0,Versa 4
2026-05-15T00:00:19Z,71.0,Versa 4
2026-05-15T00:00:22Z,70.0,Versa 4
2026-05-15T00:00:25Z,70.0,Versa 4
2026-05-15T00:00:26Z,67.0,Versa 4
2026-05-15T00:00:28Z,67.0,Versa 4
2026-05-15T00:00:30Z,64.0,Versa 4
2026-05-15T00:00:31Z,63.0,Versa 4
2026-05-15T00:00:33Z,62.0,Versa 4
2026-05-15T00:00:36Z,62.0,Versa 4
2026-05-15T00:00:39Z,62.0,Versa 4
2026-05-15T00:00:42Z,62.0,Versa 4
2026-05-15T00:00:45Z,62.0,Versa 4
2026-05-15T00:00:48Z,62.0,Versa 4
2026-05-15T00:00:49Z,60.0,Versa 4
2026-05-15T00:00:52Z,60.0,Versa 4
2026-05-15T00:00:55Z,60.0,Versa 4
2026-05-15T00:00:56Z,59.0,Versa 4
2026-05-15T00:00:59Z,59.0,Versa 4
2026-05-15T00:01:00Z,59.0,Versa 4
2026-05-15T00:01:03Z,59.0,Versa 4
2026-05-15T00:01:04Z,59.0,Versa 4
2026-05-15T00:01:07Z,59.0,Versa 4
2026-05-15T00:01:08Z,60.0,Versa 4
2026-05-15T00:01:11Z,60.0,Versa 4
2026-05-15T00:01:14Z,61.0,Versa 4
2026-05-15T00:01:17Z,61.0,Versa 4
2026-05-15T00:01:18Z,63.0,Versa 4
2026-05-15T00:01:19Z,65.0,Versa 4
2026-05-15T00:01:21Z,64.0,Versa 4
2026-05-15T00:01:24Z,64.0,Versa 4
2026-05-15T00:01:27Z,63.0,Versa 4
2026-05-15T00:01:30Z,63.0,Versa 4
2026-05-15T00:01:31Z,64.0,Versa 4
2026-05-15T00:01:33Z,63.0,Versa 4
2026-05-15T00:01:36Z,63.0,Versa 4
2026-05-15T00:01:39Z,63.0,Versa 4
2026-05-15T00:01:42Z,63.0,Versa 4
2026-05-15T00:01:45Z,63.0,Versa 4
2026-05-15T00:01:48Z,63.0,Versa 4
2026-05-15T00:01:51Z,63.0,Versa 4
2026-05-15T00:01:52Z,62.0,Versa 4
2026-05-15T00:01:54Z,62.0,Versa 4
