timestamp,Infrared to Red Signal Ratio
05/19/26 02:52:01,0
05/19/26 02:53:01,1
05/19/26 02:54:01,-15
05/19/26 02:55:01,0
05/19/26 02:56:01,-9
05/19/26 02:57:02,0
05/19/26 02:58:02,0
05/19/26 02:59:02,0
05/19/26 03:00:02,0
05/19/26 03:01:02,0
05/19/26 03:02:02,0
05/19/26 03:03:02,0
05/19/26 03:04:02,0
05/19/26 03:05:02,0
05/19/26 03:06:02,0
05/19/26 03:07:02,0
05/19/26 03:08:02,0
05/19/26 03:09:02,0
05/19/26 03:10:02,0
05/19/26 03:11:02,-37
05/19/26 03:12:02,-37
05/19/26 03:13:02,-34
05/19/26 03:14:02,-4
05/19/26 03:15:02,0
05/19/26 03:16:02,0
05/19/26 03:17:02,-21
05/19/26 03:18:02,-34
05/19/26 03:19:02,-1
05/19/26 03:20:02,-13
05/19/26 03:21:02,-4
05/19/26 03:22:02,-3
05/19/26 03:23:02,4
05/19/26 03:24:02,28
05/19/26 03:25:02,19
05/19/26 03:26:02,-1
05/19/26 03:27:02,-5
05/19/26 03:28:02,17
05/19/26 03:29:02,-27
05/19/26 03:30:02,21
05/19/26 03:31:02,6
05/19/26 03:32:02,3
05/19/26 03:33:02,3
05/19/26 03:34:02,12
05/19/26 03:35:02,12
05/19/26 03:36:02,24
05/19/26 03:37:02,-1
05/19/26 03:38:02,29
05/19/26 03:39:02,0
05/19/26 03:40:02,-8
05/19/26 03:41:02,-15
05/19/26 03:42:02,-22
05/19/26 03:43:02,0
05/19/26 03:44:02,-8
05/19/26 03:45:02,7
05/19/26 03:46:02,0
05/19/26 03:47:02,7
05/19/26 03:48:02,-27
05/19/26 03:49:03,8
05/19/26 03:50:03,11
05/19/26 03:51:03,-3
05/19/26 03:52:03,-2
05/19/26 03:53:03,4
05/19/26 03:54:03,0
05/19/26 03:55:03,18
05/19/26 03:56:03,0
05/19/26 03:57:03,-41
05/19/26 03:58:02,35
05/19/26 03:59:02,-16
05/19/26 04:00:02,-2
05/19/26 04:01:02,0
05/19/26 04:02:02,16
05/19/26 04:03:02,0
05/19/26 04:04:02,-4
05/19/26 04:05:02,37
05/19/26 04:06:02,35
05/19/26 04:07:02,-4
05/19/26 04:08:02,25
05/19/26 04:09:02,8
05/19/26 04:10:02,-6
05/19/26 04:11:02,9
05/19/26 04:12:02,0
05/19/26 04:13:04,0
05/19/26 04:14:04,28
05/19/26 04:15:04,-56
05/19/26 04:16:04,25
05/19/26 04:17:04,0
05/19/26 04:18:04,-3
05/19/26 04:19:04,-15
05/19/26 04:20:04,40
05/19/26 04:21:04,-11
05/19/26 04:22:04,-4
05/19/26 04:23:04,-3
05/19/26 04:24:04,3
05/19/26 04:25:04,-1
05/19/26 04:26:04,20
05/19/26 04:27:04,-8
05/19/26 04:28:02,-4
05/19/26 04:29:02,-82
05/19/26 04:30:02,-27
05/19/26 04:31:02,-28
05/19/26 04:32:02,-13
05/19/26 04:33:02,-2
05/19/26 04:34:02,-12
05/19/26 04:35:02,-10
05/19/26 04:36:02,33
05/19/26 04:37:02,-11
05/19/26 04:38:02,11
05/19/26 04:39:02,52
05/19/26 04:40:02,24
05/19/26 04:41:02,4
05/19/26 04:42:02,5
05/19/26 04:43:02,-7
05/19/26 04:44:03,13
05/19/26 04:45:03,17
05/19/26 04:46:03,-1
05/19/26 04:47:03,44
05/19/26 04:48:03,52
05/19/26 04:49:03,17
05/19/26 04:50:03,0
05/19/26 04:51:03,27
05/19/26 04:52:03,20
05/19/26 04:53:03,4
05/19/26 04:54:03,27
05/19/26 04:55:03,-17
05/19/26 04:56:03,12
05/19/26 04:57:03,-3
05/19/26 04:58:03,13
05/19/26 04:59:03,2
05/19/26 05:00:03,22
05/19/26 05:01:03,37
05/19/26 05:02:03,27
05/19/26 05:03:03,0
05/19/26 05:04:03,0
05/19/26 05:05:03,-3
05/19/26 05:06:03,21
05/19/26 05:07:03,26
05/19/26 05:08:03,-3
05/19/26 05:09:03,10
05/19/26 05:10:03,0
05/19/26 05:11:03,16
05/19/26 05:12:03,55
05/19/26 05:13:03,27
05/19/26 05:14:03,-1
05/19/26 05:15:03,11
05/19/26 05:16:03,17
05/19/26 05:17:03,0
05/19/26 05:18:03,13
05/19/26 05:19:03,0
05/19/26 05:20:03,0
05/19/26 05:21:03,18
05/19/26 05:22:03,60
05/19/26 05:23:03,44
05/19/26 05:24:03,-3
05/19/26 05:25:03,8
05/19/26 05:26:03,-19
05/19/26 05:27:03,25
05/19/26 05:28:03,39
05/19/26 05:29:02,1
05/19/26 05:30:02,-64
05/19/26 05:31:02,-5
05/19/26 05:32:02,-35
05/19/26 05:33:02,-24
05/19/26 05:34:02,-24
05/19/26 05:35:02,14
05/19/26 05:36:02,-1
05/19/26 05:37:02,0
05/19/26 05:38:02,-47
05/19/26 05:39:02,4
05/19/26 05:40:02,-8
05/19/26 05:41:02,12
05/19/26 05:42:02,0
05/19/26 05:43:02,0
05/19/26 05:44:03,-7
05/19/26 05:45:03,2
05/19/26 05:46:03,0
05/19/26 05:47:03,0
05/19/26 05:48:03,0
05/19/26 05:49:03,42
05/19/26 05:50:03,-9
05/19/26 05:51:03,-60
05/19/26 05:52:03,-1
05/19/26 05:53:03,-11
05/19/26 05:54:03,12
05/19/26 05:55:03,14
05/19/26 05:56:03,-47
05/19/26 05:57:03,-6
05/19/26 05:58:03,-22
05/19/26 05:59:03,-55
05/19/26 06:00:03,-6
05/19/26 06:01:03,-16
05/19/26 06:02:03,-47
05/19/26 06:03:03,-28
