timestamp,rmssd,coverage,low_frequency,high_frequency
2026-05-18T02:55:00,30.191,0.964,805.765,172.642
2026-05-18T03:00:00,33.151,0.933,2000.498,233.315
2026-05-18T03:05:00,38.395,0.939,3592.174,249.18
2026-05-18T03:10:00,36.93,0.942,1843.752,370.184
2026-05-18T03:15:00,35.689,0.968,1041.413,288.361
2026-05-18T03:20:00,33.614,1.002,647.36,327.802
2026-05-18T03:25:00,31.975,1.003,587.835,327.464
2026-05-18T03:30:00,28.624,1.002,581.235,279.763
2026-05-18T03:35:00,27.655,1.003,258.879,256.261
2026-05-18T03:40:00,27.044,1.004,366.367,213.519
2026-05-18T03:45:00,25.517,1.0,401.585,208.202
2026-05-18T03:50:00,27.532,1.003,462.978,238.406
2026-05-18T03:55:00,28.009,1.003,541.171,278.477
2026-05-18T04:00:00,32.879,0.969,722.246,281.481
2026-05-18T04:05:00,39.221,0.919,2008.708,438.255
2026-05-18T04:10:00,40.818,1.003,3710.086,316.441
2026-05-18T04:15:00,35.482,1.002,2090.698,293.62
2026-05-18T04:20:00,31.333,0.95,1485.598,171.3
2026-05-18T04:25:00,32.642,1.001,999.272,223.078
2026-05-18T04:30:00,35.832,0.998,543.371,411.866
2026-05-18T04:35:00,36.296,1.003,1779.994,367.11
2026-05-18T04:40:00,36.153,1.005,680.983,352.227
2026-05-18T04:45:00,34.633,0.813,648.477,208.238
2026-05-18T04:50:00,27.933,1.001,1001.549,193.274
2026-05-18T04:55:00,31.071,1.003,1197.607,261.106
2026-05-18T05:00:00,33.429,1.001,1465.059,266.071
2026-05-18T05:05:00,28.392,1.004,551.893,155.905
2026-05-18T05:10:00,29.562,1.003,911.592,201.297
2026-05-18T05:15:00,31.068,0.999,580.535,234.162
2026-05-18T05:20:00,38.938,0.824,1998.393,177.77
2026-05-18T05:25:00,24.75,1.003,2460.848,85.12
2026-05-18T05:30:00,18.574,0.974,558.326,50.271
2026-05-18T05:35:00,32.127,0.977,1409.915,222.755
2026-05-18T05:40:00,33.133,0.984,964.246,193.103
2026-05-18T05:45:00,35.895,0.968,2483.66,243.342
2026-05-18T05:50:00,33.51,0.883,1121.164,218.31
2026-05-18T05:55:00,42.05,0.95,1640.14,200.982
2026-05-18T06:00:00,36.637,0.931,2302.971,176.915
2026-05-18T06:05:00,34.855,0.928,1829.616,231.186
2026-05-18T06:10:00,39.884,0.929,3002.768,315.114
2026-05-18T06:15:00,31.123,1.003,1843.158,194.688
2026-05-18T06:20:00,32.48,1.001,652.281,299.959
2026-05-18T06:25:00,28.648,1.002,469.069,201.385
2026-05-18T06:30:00,26.949,1.002,254.583,176.815
2026-05-18T06:35:00,26.816,1.003,677.729,157.675
2026-05-18T06:40:00,26.546,1.004,337.893,178.858
2026-05-18T06:45:00,25.894,1.0,235.874,162.616
2026-05-18T06:50:00,28.495,1.004,458.235,211.932
2026-05-18T06:55:00,34.215,0.964,4275.937,189.945
2026-05-18T07:00:00,32.643,0.871,1251.161,198.24
2026-05-18T07:05:00,36.388,0.981,1095.571,84.476
2026-05-18T07:10:00,29.174,0.92,1609.848,186.869
2026-05-18T07:15:00,34.003,0.969,1432.411,167.936
2026-05-18T07:20:00,38.401,0.923,3993.88,345.86
2026-05-18T07:25:00,32.78,1.002,2094.963,344.419
2026-05-18T07:30:00,30.131,0.968,3329.111,143.03
2026-05-18T07:35:00,28.747,0.997,1647.73,175.236
2026-05-18T07:40:00,36.624,0.934,3003.891,308.332
2026-05-18T07:45:00,36.841,0.926,2786.391,260.844
2026-05-18T07:50:00,35.175,0.958,2602.113,252.519
2026-05-18T07:55:00,32.366,1.004,1717.805,235.523
2026-05-18T08:00:00,31.828,0.894,2346.313,230.413
2026-05-18T08:05:00,31.837,0.963,922.977,191.856
2026-05-18T08:10:00,31.728,0.925,2469.589,330.706
2026-05-18T08:20:00,23.405,0.875,2825.538,129.593
2026-05-18T08:25:00,33.2,0.877,2082.555,160.757
2026-05-18T08:30:00,39.781,0.932,1881.85,277.2
2026-05-18T08:35:00,36.378,1.003,1956.843,284.276
2026-05-18T08:40:00,31.943,0.942,2254.342,229.318
2026-05-18T08:45:00,32.592,0.991,1602.473,225.753
2026-05-18T08:50:00,28.464,1.005,812.983,203.184
2026-05-18T08:55:00,28.438,1.001,940.446,225.06
2026-05-18T09:00:00,25.029,0.836,568.331,144.219
2026-05-18T09:05:00,25.478,0.895,1789.801,139.787
2026-05-18T09:10:00,20.061,1.001,685.036,76.715
2026-05-18T09:15:00,22.246,0.92,1673.988,126.839
2026-05-18T09:20:00,29.599,1.002,1062.817,150.324
2026-05-18T09:25:00,23.358,0.976,1878.396,110.917
2026-05-18T09:30:00,15.693,0.881,411.683,31.763
