timestamp,temperature celsius,data source
2026-05-25T00:00:00Z,33.6,Versa 4
2026-05-25T00:01:00Z,33.5,Versa 4
2026-05-25T00:02:00Z,33.6,Versa 4
2026-05-25T00:03:00Z,33.5,Versa 4
2026-05-25T00:04:00Z,33.5,Versa 4
2026-05-25T00:05:00Z,33.6,Versa 4
2026-05-25T00:06:00Z,33.5,Versa 4
2026-05-25T00:07:00Z,33.6,Versa 4
2026-05-25T00:08:00Z,33.6,Versa 4
2026-05-25T00:09:00Z,33.6,Versa 4
2026-05-25T00:10:00Z,33.5,Versa 4
2026-05-25T00:11:00Z,33.6,Versa 4
2026-05-25T00:12:00Z,33.5,Versa 4
2026-05-25T00:13:00Z,33.6,Versa 4
2026-05-25T00:14:00Z,33.5,Versa 4
2026-05-25T00:15:00Z,33.6,Versa 4
2026-05-25T00:16:00Z,33.6,Versa 4
2026-05-25T00:17:00Z,33.6,Versa 4
2026-05-25T00:18:00Z,33.6,Versa 4
2026-05-25T00:19:00Z,33.7,Versa 4
2026-05-25T00:20:00Z,33.7,Versa 4
2026-05-25T00:21:00Z,33.7,Versa 4
2026-05-25T00:22:00Z,33.7,Versa 4
2026-05-25T00:23:00Z,33.8,Versa 4
2026-05-25T00:24:00Z,33.7,Versa 4
2026-05-25T00:25:00Z,33.7,Versa 4
2026-05-25T00:26:00Z,33.5,Versa 4
2026-05-25T00:27:00Z,33.5,Versa 4
2026-05-25T00:28:00Z,33.5,Versa 4
2026-05-25T00:29:00Z,33.5,Versa 4
2026-05-25T00:30:00Z,33.4,Versa 4
2026-05-25T00:31:00Z,33.4,Versa 4
2026-05-25T00:32:00Z,33.3,Versa 4
2026-05-25T00:33:00Z,33.3,Versa 4
2026-05-25T00:34:00Z,33.3,Versa 4
2026-05-25T00:35:00Z,33.2,Versa 4
2026-05-25T00:36:00Z,33.2,Versa 4
2026-05-25T00:37:00Z,33.2,Versa 4
2026-05-25T00:38:00Z,33.3,Versa 4
2026-05-25T00:39:00Z,33.4,Versa 4
2026-05-25T00:40:00Z,33.5,Versa 4
2026-05-25T00:41:00Z,33.7,Versa 4
2026-05-25T00:42:00Z,33.9,Versa 4
2026-05-25T00:43:00Z,34.0,Versa 4
2026-05-25T00:44:00Z,34.1,Versa 4
2026-05-25T00:45:00Z,34.2,Versa 4
2026-05-25T00:46:00Z,34.4,Versa 4
2026-05-25T00:47:00Z,34.4,Versa 4
2026-05-25T00:48:00Z,34.3,Versa 4
2026-05-25T00:49:00Z,34.2,Versa 4
2026-05-25T00:50:00Z,34.1,Versa 4
2026-05-25T00:51:00Z,33.9,Versa 4
2026-05-25T00:52:00Z,33.9,Versa 4
2026-05-25T00:53:00Z,33.7,Versa 4
2026-05-25T00:54:00Z,33.6,Versa 4
2026-05-25T00:55:00Z,33.6,Versa 4
2026-05-25T00:56:00Z,33.7,Versa 4
2026-05-25T00:57:00Z,33.7,Versa 4
2026-05-25T00:58:00Z,33.8,Versa 4
2026-05-25T00:59:00Z,33.9,Versa 4
2026-05-25T01:00:00Z,33.9,Versa 4
2026-05-25T01:01:00Z,34.0,Versa 4
2026-05-25T01:02:00Z,34.0,Versa 4
2026-05-25T01:03:00Z,34.0,Versa 4
2026-05-25T01:04:00Z,34.0,Versa 4
2026-05-25T01:05:00Z,34.0,Versa 4
2026-05-25T01:06:00Z,34.0,Versa 4
2026-05-25T01:07:00Z,33.8,Versa 4
2026-05-25T01:08:00Z,33.8,Versa 4
2026-05-25T01:09:00Z,33.7,Versa 4
2026-05-25T01:10:00Z,33.7,Versa 4
2026-05-25T01:11:00Z,33.8,Versa 4
2026-05-25T01:12:00Z,33.9,Versa 4
2026-05-25T01:13:00Z,33.9,Versa 4
2026-05-25T01:14:00Z,34.0,Versa 4
2026-05-25T01:15:00Z,34.2,Versa 4
2026-05-25T01:16:00Z,34.3,Versa 4
2026-05-25T01:17:00Z,34.4,Versa 4
2026-05-25T01:18:00Z,34.5,Versa 4
2026-05-25T01:19:00Z,34.6,Versa 4
2026-05-25T01:20:00Z,34.6,Versa 4
2026-05-25T01:21:00Z,34.7,Versa 4
2026-05-25T01:22:00Z,34.8,Versa 4
2026-05-25T01:23:00Z,34.8,Versa 4
2026-05-25T01:24:00Z,34.8,Versa 4
2026-05-25T01:25:00Z,34.8,Versa 4
2026-05-25T01:26:00Z,34.7,Versa 4
2026-05-25T01:27:00Z,34.6,Versa 4
2026-05-25T01:28:00Z,34.6,Versa 4
2026-05-25T01:29:00Z,34.5,Versa 4
2026-05-25T01:30:00Z,34.5,Versa 4
2026-05-25T01:31:00Z,34.4,Versa 4
2026-05-25T01:32:00Z,34.4,Versa 4
2026-05-25T01:33:00Z,34.4,Versa 4
2026-05-25T01:34:00Z,34.4,Versa 4
2026-05-25T01:35:00Z,34.4,Versa 4
2026-05-25T01:36:00Z,34.4,Versa 4
2026-05-25T01:37:00Z,34.4,Versa 4
2026-05-25T01:38:00Z,34.4,Versa 4
2026-05-25T01:39:00Z,34.4,Versa 4
2026-05-25T01:40:00Z,34.4,Versa 4
2026-05-25T01:41:00Z,34.5,Versa 4
2026-05-25T01:42:00Z,34.5,Versa 4
2026-05-25T01:43:00Z,34.4,Versa 4
2026-05-25T01:44:00Z,34.4,Versa 4
2026-05-25T01:45:00Z,34.3,Versa 4
2026-05-25T01:46:00Z,34.3,Versa 4
2026-05-25T01:47:00Z,34.2,Versa 4
2026-05-25T01:48:00Z,34.2,Versa 4
2026-05-25T01:49:00Z,34.2,Versa 4
2026-05-25T01:50:00Z,34.2,Versa 4
2026-05-25T01:51:00Z,34.2,Versa 4
2026-05-25T01:52:00Z,34.2,Versa 4
2026-05-25T01:53:00Z,34.3,Versa 4
2026-05-25T01:54:00Z,34.4,Versa 4
2026-05-25T01:55:00Z,34.5,Versa 4
2026-05-25T01:56:00Z,34.5,Versa 4
2026-05-25T01:57:00Z,34.3,Versa 4
2026-05-25T01:58:00Z,34.3,Versa 4
2026-05-25T01:59:00Z,34.3,Versa 4
2026-05-25T02:00:00Z,34.2,Versa 4
2026-05-25T02:01:00Z,34.2,Versa 4
2026-05-25T02:02:00Z,34.2,Versa 4
2026-05-25T02:03:00Z,34.2,Versa 4
2026-05-25T02:04:00Z,34.1,Versa 4
2026-05-25T02:05:00Z,33.9,Versa 4
2026-05-25T02:06:00Z,33.7,Versa 4
2026-05-25T02:07:00Z,33.5,Versa 4
2026-05-25T02:08:00Z,33.7,Versa 4
