timestamp,beats per minute,data source
2026-05-17T00:00:00Z,81.0,Versa 4
2026-05-17T00:00:03Z,80.0,Versa 4
2026-05-17T00:00:06Z,80.0,Versa 4
2026-05-17T00:00:09Z,80.0,Versa 4
2026-05-17T00:00:12Z,80.0,Versa 4
2026-05-17T00:00:15Z,80.0,Versa 4
2026-05-17T00:00:16Z,81.0,Versa 4
2026-05-17T00:00:18Z,82.0,Versa 4
2026-05-17T00:00:21Z,82.0,Versa 4
2026-05-17T00:00:24Z,81.0,Versa 4
2026-05-17T00:00:26Z,80.0,Versa 4
2026-05-17T00:00:29Z,80.0,Versa 4
2026-05-17T00:00:30Z,81.0,Versa 4
2026-05-17T00:00:32Z,82.0,Versa 4
2026-05-17T00:00:35Z,82.0,Versa 4
2026-05-17T00:00:38Z,82.0,Versa 4
2026-05-17T00:00:39Z,81.0,Versa 4
2026-05-17T00:00:41Z,80.0,Versa 4
2026-05-17T00:00:44Z,80.0,Versa 4
2026-05-17T00:00:47Z,80.0,Versa 4
2026-05-17T00:00:50Z,80.0,Versa 4
2026-05-17T00:00:51Z,81.0,Versa 4
2026-05-17T00:00:54Z,81.0,Versa 4
2026-05-17T00:00:55Z,81.0,Versa 4
2026-05-17T00:00:57Z,82.0,Versa 4
2026-05-17T00:01:00Z,82.0,Versa 4
2026-05-17T00:01:03Z,82.0,Versa 4
2026-05-17T00:01:04Z,83.0,Versa 4
2026-05-17T00:01:06Z,82.0,Versa 4
2026-05-17T00:01:09Z,82.0,Versa 4
2026-05-17T00:01:10Z,81.0,Versa 4
2026-05-17T00:01:13Z,81.0,Versa 4
2026-05-17T00:01:16Z,81.0,Versa 4
2026-05-17T00:01:19Z,81.0,Versa 4
2026-05-17T00:01:22Z,81.0,Versa 4
2026-05-17T00:01:24Z,82.0,Versa 4
2026-05-17T00:01:27Z,81.0,Versa 4
2026-05-17T00:01:30Z,81.0,Versa 4
2026-05-17T00:01:33Z,81.0,Versa 4
2026-05-17T00:01:36Z,81.0,Versa 4
2026-05-17T00:01:37Z,82.0,Versa 4
2026-05-17T00:01:40Z,82.0,Versa 4
2026-05-17T00:01:43Z,82.0,Versa 4
2026-05-17T00:01:46Z,82.0,Versa 4
