timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-06-02T20:50:00Z,25.0,0.0,Fitbit App
2026-06-02T20:55:00Z,24.6,0.0,Fitbit App
2026-06-02T21:00:00Z,21.7,0.0,Fitbit App
2026-06-02T21:05:00Z,24.6,0.0,Fitbit App
2026-06-02T21:10:00Z,25.3,0.0,Fitbit App
2026-06-02T21:15:00Z,21.4,0.0,Fitbit App
2026-06-02T21:20:00Z,23.0,0.0,Fitbit App
2026-06-02T21:25:00Z,23.1,0.0,Fitbit App
2026-06-02T21:30:00Z,24.8,0.0,Fitbit App
2026-06-02T21:35:00Z,23.7,0.0,Fitbit App
2026-06-02T21:40:00Z,23.7,0.0,Fitbit App
2026-06-02T21:45:00Z,22.7,0.0,Fitbit App
2026-06-02T21:50:00Z,24.3,0.0,Fitbit App
2026-06-02T21:55:00Z,25.4,0.0,Fitbit App
2026-06-02T22:00:00Z,38.0,0.0,Fitbit App
2026-06-02T22:05:00Z,33.6,0.0,Fitbit App
2026-06-02T22:10:00Z,19.8,0.0,Fitbit App
2026-06-02T22:15:00Z,19.5,0.0,Fitbit App
2026-06-02T22:20:00Z,21.3,0.0,Fitbit App
2026-06-02T22:25:00Z,22.6,0.0,Fitbit App
2026-06-02T22:30:00Z,32.1,0.0,Fitbit App
2026-06-02T22:35:00Z,27.8,0.0,Fitbit App
2026-06-02T22:40:00Z,27.4,0.0,Fitbit App
2026-06-02T22:45:00Z,32.7,0.0,Fitbit App
2026-06-02T22:50:00Z,29.5,0.0,Fitbit App
2026-06-02T22:55:00Z,36.3,0.0,Fitbit App
2026-06-02T23:00:00Z,31.3,0.0,Fitbit App
2026-06-02T23:05:00Z,29.2,0.0,Fitbit App
2026-06-02T23:10:00Z,31.7,0.0,Fitbit App
2026-06-02T23:15:00Z,33.7,0.0,Fitbit App
2026-06-02T23:20:00Z,33.1,0.0,Fitbit App
2026-06-02T23:25:00Z,37.8,0.0,Fitbit App
2026-06-02T23:30:00Z,47.5,0.0,Fitbit App
2026-06-02T23:35:00Z,43.6,0.0,Fitbit App
2026-06-02T23:40:00Z,38.3,0.0,Fitbit App
2026-06-02T23:55:00Z,54.4,0.0,Fitbit App
2026-06-03T00:00:00Z,48.0,0.0,Fitbit App
2026-06-03T00:05:00Z,42.2,0.0,Fitbit App
2026-06-03T00:10:00Z,43.2,0.0,Fitbit App
2026-06-03T00:15:00Z,35.7,0.0,Fitbit App
2026-06-03T00:20:00Z,34.5,0.0,Fitbit App
2026-06-03T00:25:00Z,40.1,0.0,Fitbit App
2026-06-03T00:30:00Z,44.5,0.0,Fitbit App
2026-06-03T00:35:00Z,43.9,0.0,Fitbit App
2026-06-03T00:40:00Z,39.1,0.0,Fitbit App
2026-06-03T00:45:00Z,39.5,0.0,Fitbit App
2026-06-03T00:50:00Z,39.4,0.0,Fitbit App
2026-06-03T00:55:00Z,50.0,0.0,Fitbit App
2026-06-03T01:00:00Z,32.4,0.0,Fitbit App
2026-06-03T01:05:00Z,29.1,0.0,Fitbit App
2026-06-03T01:10:00Z,31.2,0.0,Fitbit App
2026-06-03T01:15:00Z,34.2,0.0,Fitbit App
2026-06-03T01:20:00Z,46.8,0.0,Fitbit App
2026-06-03T01:25:00Z,42.0,0.0,Fitbit App
2026-06-03T01:30:00Z,49.0,0.0,Fitbit App
2026-06-03T01:35:00Z,37.1,0.0,Fitbit App
2026-06-03T01:40:00Z,35.4,0.0,Fitbit App
2026-06-03T01:45:00Z,45.7,0.0,Fitbit App
2026-06-03T01:50:00Z,41.8,0.0,Fitbit App
2026-06-03T01:55:00Z,40.2,0.0,Fitbit App
2026-06-03T02:00:00Z,41.9,0.0,Fitbit App
2026-06-03T02:05:00Z,40.0,0.0,Fitbit App
2026-06-03T02:10:00Z,40.1,0.0,Fitbit App
2026-06-03T02:15:00Z,36.6,0.0,Fitbit App
2026-06-03T02:20:00Z,38.1,0.0,Fitbit App
2026-06-03T02:25:00Z,38.1,0.0,Fitbit App
2026-06-03T02:30:00Z,37.3,0.0,Fitbit App
2026-06-03T02:35:00Z,36.4,0.0,Fitbit App
2026-06-03T02:40:00Z,35.0,0.0,Fitbit App
2026-06-03T02:45:00Z,40.5,0.0,Fitbit App
2026-06-03T02:50:00Z,39.2,0.0,Fitbit App
2026-06-03T02:55:00Z,45.0,0.0,Fitbit App
2026-06-03T03:00:00Z,43.3,0.0,Fitbit App
2026-06-03T03:05:00Z,35.1,0.0,Fitbit App
2026-06-03T03:10:00Z,35.3,0.0,Fitbit App
2026-06-03T03:15:00Z,38.3,0.0,Fitbit App
2026-06-03T03:20:00Z,42.5,0.0,Fitbit App
2026-06-03T03:25:00Z,41.6,0.0,Fitbit App
2026-06-03T03:30:00Z,40.3,0.0,Fitbit App
2026-06-03T03:35:00Z,37.2,0.0,Fitbit App
2026-06-03T03:40:00Z,46.0,0.0,Fitbit App
2026-06-03T03:45:00Z,49.0,0.0,Fitbit App
2026-06-03T03:50:00Z,46.6,0.0,Fitbit App
2026-06-03T03:55:00Z,55.1,0.0,Fitbit App
2026-06-03T04:00:00Z,35.5,0.0,Fitbit App
2026-06-03T04:05:00Z,37.1,0.0,Fitbit App
2026-06-03T04:10:00Z,41.6,0.0,Fitbit App
2026-06-03T04:15:00Z,39.6,0.0,Fitbit App
2026-06-03T04:20:00Z,41.5,0.0,Fitbit App
2026-06-03T04:25:00Z,45.1,0.0,Fitbit App
2026-06-03T04:30:00Z,32.8,0.0,Fitbit App
2026-06-03T21:25:00Z,25.2,0.0,Fitbit App
2026-06-03T21:30:00Z,33.0,0.0,Fitbit App
2026-06-03T21:35:00Z,28.4,0.0,Fitbit App
2026-06-03T21:40:00Z,25.6,0.0,Fitbit App
2026-06-03T21:45:00Z,26.9,0.0,Fitbit App
2026-06-03T21:50:00Z,27.7,0.0,Fitbit App
2026-06-03T21:55:00Z,30.0,0.0,Fitbit App
2026-06-03T22:00:00Z,37.1,0.0,Fitbit App
2026-06-03T22:05:00Z,38.2,0.0,Fitbit App
2026-06-03T22:10:00Z,35.4,0.0,Fitbit App
2026-06-03T22:15:00Z,36.3,0.0,Fitbit App
2026-06-03T22:20:00Z,31.5,0.0,Fitbit App
2026-06-03T22:25:00Z,34.1,0.0,Fitbit App
2026-06-03T22:30:00Z,35.4,0.0,Fitbit App
2026-06-03T22:35:00Z,39.7,0.0,Fitbit App
2026-06-03T22:40:00Z,28.8,0.0,Fitbit App
2026-06-03T22:45:00Z,37.6,0.0,Fitbit App
2026-06-03T22:50:00Z,33.1,0.0,Fitbit App
2026-06-03T22:55:00Z,36.0,0.0,Fitbit App
2026-06-03T23:00:00Z,39.4,0.0,Fitbit App
2026-06-03T23:05:00Z,36.0,0.0,Fitbit App
2026-06-03T23:10:00Z,35.6,0.0,Fitbit App
2026-06-03T23:15:00Z,37.0,0.0,Fitbit App
2026-06-03T23:20:00Z,33.8,0.0,Fitbit App
2026-06-03T23:25:00Z,33.2,0.0,Fitbit App
2026-06-03T23:35:00Z,36.7,0.0,Fitbit App
2026-06-03T23:40:00Z,46.2,0.0,Fitbit App
2026-06-03T23:45:00Z,44.2,0.0,Fitbit App
