timestamp,steps,distance millimeters,altitude gain millimeters,data source
2026-05-24T13:42:11Z,0,0,0,Versa 4
2026-05-24T13:42:12Z,0,0,0,Versa 4
2026-05-24T13:42:13Z,0,0,-609,Versa 4
2026-05-24T13:42:14Z,0,0,0,Versa 4
2026-05-24T13:42:15Z,0,0,0,Versa 4
2026-05-24T13:42:16Z,0,0,-304,Versa 4
2026-05-24T13:42:17Z,0,0,0,Versa 4
2026-05-24T13:42:18Z,0,0,0,Versa 4
2026-05-24T13:42:19Z,0,0,0,Versa 4
2026-05-24T13:42:20Z,0,0,609,Versa 4
2026-05-24T13:42:21Z,0,0,-609,Versa 4
2026-05-24T13:42:22Z,0,0,304,Versa 4
2026-05-24T13:42:23Z,0,0,-304,Versa 4
2026-05-24T13:42:24Z,0,0,0,Versa 4
2026-05-24T13:42:25Z,0,0,609,Versa 4
2026-05-24T13:42:26Z,0,0,-304,Versa 4
2026-05-24T13:42:27Z,0,0,304,Versa 4
2026-05-24T13:42:28Z,0,0,-304,Versa 4
2026-05-24T13:42:29Z,0,0,0,Versa 4
2026-05-24T13:42:30Z,0,0,-304,Versa 4
2026-05-24T13:42:31Z,0,0,609,Versa 4
2026-05-24T13:42:32Z,0,0,-304,Versa 4
2026-05-24T13:42:33Z,0,0,0,Versa 4
2026-05-24T13:42:34Z,2,0,0,Versa 4
2026-05-24T13:42:35Z,2,0,0,Versa 4
2026-05-24T13:42:36Z,0,0,304,Versa 4
2026-05-24T13:42:37Z,0,0,-304,Versa 4
2026-05-24T13:42:38Z,0,0,0,Versa 4
2026-05-24T13:42:39Z,0,0,-304,Versa 4
2026-05-24T13:42:40Z,0,0,304,Versa 4
2026-05-24T13:42:41Z,0,0,0,Versa 4
2026-05-24T13:42:42Z,0,0,304,Versa 4
2026-05-24T13:42:43Z,0,0,0,Versa 4
2026-05-24T13:42:44Z,0,0,304,Versa 4
2026-05-24T13:42:45Z,0,0,-304,Versa 4
2026-05-24T13:42:46Z,0,0,0,Versa 4
2026-05-24T13:42:47Z,0,0,0,Versa 4
2026-05-24T13:42:48Z,0,0,304,Versa 4
2026-05-24T13:42:49Z,0,0,0,Versa 4
2026-05-24T13:42:50Z,0,0,304,Versa 4
2026-05-24T13:42:51Z,0,0,0,Versa 4
2026-05-24T13:42:52Z,0,0,-304,Versa 4
2026-05-24T13:42:53Z,0,0,0,Versa 4
2026-05-24T13:42:54Z,0,0,-609,Versa 4
2026-05-24T13:42:55Z,0,0,304,Versa 4
2026-05-24T13:42:56Z,0,0,609,Versa 4
2026-05-24T13:42:57Z,0,0,0,Versa 4
2026-05-24T13:42:58Z,0,0,0,Versa 4
2026-05-24T13:42:59Z,0,0,-609,Versa 4
2026-05-24T13:43:00Z,0,0,609,Versa 4
2026-05-24T13:43:01Z,0,0,-609,Versa 4
2026-05-24T13:43:02Z,0,0,0,Versa 4
2026-05-24T13:43:03Z,0,0,0,Versa 4
2026-05-24T13:43:04Z,0,0,304,Versa 4
2026-05-24T13:43:05Z,0,0,0,Versa 4
2026-05-24T13:43:06Z,0,0,0,Versa 4
2026-05-24T13:43:07Z,0,0,0,Versa 4
2026-05-24T13:43:08Z,0,0,0,Versa 4
2026-05-24T13:43:09Z,0,0,-304,Versa 4
2026-05-24T13:43:10Z,0,0,0,Versa 4
2026-05-24T13:43:11Z,0,0,304,Versa 4
2026-05-24T13:43:12Z,0,0,0,Versa 4
2026-05-24T13:43:13Z,0,0,0,Versa 4
2026-05-24T13:43:14Z,0,0,0,Versa 4
2026-05-24T13:43:15Z,0,0,0,Versa 4
2026-05-24T13:43:16Z,0,0,0,Versa 4
2026-05-24T13:43:17Z,0,0,0,Versa 4
2026-05-24T13:43:18Z,0,0,0,Versa 4
2026-05-24T13:43:19Z,0,0,-304,Versa 4
2026-05-24T13:43:20Z,0,0,304,Versa 4
2026-05-24T13:43:21Z,0,0,0,Versa 4
2026-05-24T13:43:22Z,0,0,0,Versa 4
2026-05-24T13:43:23Z,0,0,0,Versa 4
2026-05-24T13:43:24Z,0,0,0,Versa 4
