timestamp,oxygen saturation percentage,data source
2026-05-06T15:22:03Z,50.0,Versa 4
2026-05-06T15:23:03Z,50.0,Versa 4
2026-05-06T15:24:03Z,50.0,Versa 4
2026-05-06T15:25:03Z,50.0,Versa 4
2026-05-06T15:26:03Z,50.0,Versa 4
2026-05-06T15:27:03Z,50.0,Versa 4
2026-05-06T16:37:03Z,82.5,Versa 4
2026-05-06T16:38:03Z,82.6,Versa 4
2026-05-06T16:39:03Z,82.8,Versa 4
2026-05-06T16:40:03Z,82.9,Versa 4
2026-05-06T16:41:03Z,82.9,Versa 4
2026-05-06T16:42:03Z,83.0,Versa 4
2026-05-06T16:43:03Z,83.0,Versa 4
2026-05-06T16:44:03Z,83.0,Versa 4
2026-05-06T16:45:03Z,83.0,Versa 4
2026-05-06T16:46:03Z,83.0,Versa 4
2026-05-06T16:47:03Z,82.9,Versa 4
2026-05-06T16:48:03Z,82.9,Versa 4
2026-05-06T16:49:03Z,82.9,Versa 4
2026-05-06T16:50:03Z,83.0,Versa 4
2026-05-06T16:51:03Z,83.0,Versa 4
2026-05-06T16:52:03Z,83.0,Versa 4
2026-05-06T16:53:03Z,83.0,Versa 4
2026-05-06T16:54:03Z,83.0,Versa 4
2026-05-06T16:55:03Z,82.9,Versa 4
2026-05-06T16:56:03Z,83.0,Versa 4
2026-05-06T16:57:03Z,82.9,Versa 4
2026-05-06T16:58:03Z,82.9,Versa 4
2026-05-06T16:59:03Z,83.0,Versa 4
2026-05-06T17:00:03Z,83.0,Versa 4
2026-05-06T17:01:03Z,83.0,Versa 4
2026-05-06T17:02:03Z,83.0,Versa 4
2026-05-06T17:03:03Z,83.0,Versa 4
2026-05-06T17:04:03Z,83.0,Versa 4
2026-05-06T17:05:03Z,83.0,Versa 4
2026-05-06T17:06:03Z,83.0,Versa 4
2026-05-06T17:07:03Z,83.0,Versa 4
2026-05-06T17:08:03Z,83.0,Versa 4
2026-05-06T17:09:03Z,83.0,Versa 4
2026-05-06T17:10:03Z,82.9,Versa 4
