start time,end time,data source
2026-05-11T05:09:00Z,2026-05-11T05:37:00Z,Fitbit App
2026-05-11T06:04:00Z,2026-05-11T06:22:00Z,Fitbit App
2026-05-11T06:32:00Z,2026-05-11T06:50:00Z,Fitbit App
2026-05-11T06:51:00Z,2026-05-11T08:08:00Z,Fitbit App
2026-05-11T08:24:00Z,2026-05-11T08:40:00Z,Fitbit App
2026-05-11T08:44:00Z,2026-05-11T08:56:00Z,Fitbit App
2026-05-11T09:13:00Z,2026-05-11T09:23:00Z,Fitbit App
2026-05-11T09:24:00Z,2026-05-11T09:52:00Z,Fitbit App
2026-05-11T10:02:00Z,2026-05-11T10:23:00Z,Fitbit App
2026-05-11T10:36:00Z,2026-05-11T11:19:00Z,Fitbit App
2026-05-11T11:24:00Z,2026-05-11T11:50:00Z,Fitbit App
2026-05-11T14:04:00Z,2026-05-11T14:57:00Z,Fitbit App
