DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2026-05-06T00:00:00,2026-05-06T20:26:10.79,0,0,0,0,0,0,0,NO_DATA,true
2026-05-09T00:00:00,2026-05-09T07:44:48.358,0,0,0,0,0,0,0,NO_DATA,true
2026-05-10T00:00:00,2026-05-10T07:52:20.256,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-11T00:00:00,2026-05-11T05:48:22.57,77,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-12T00:00:00,2026-05-14T15:47:00.196,83,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-13T00:00:00,2026-05-14T15:46:59.972,68,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-15T00:00:00,2026-05-15T07:29:21.978,0,0,0,0,0,0,0,NO_DATA,true
2026-05-17T00:00:00,2026-05-17T07:52:12.229,0,0,0,0,0,0,0,NO_DATA,true
2026-05-18T00:00:00,2026-05-18T08:00:21.932,76,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-19T00:00:00,2026-05-19T15:08:02.693,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
