timestamp,Infrared to Red Signal Ratio
05/15/26 01:53:01,1
05/15/26 01:54:01,0
05/15/26 01:55:01,4
05/15/26 01:56:01,2
05/15/26 01:57:01,11
05/15/26 01:58:01,-6
05/15/26 01:59:01,0
05/15/26 02:00:01,0
05/15/26 02:01:01,1
05/15/26 02:02:01,-2
05/15/26 02:03:01,0
05/15/26 02:04:00,0
05/15/26 02:05:00,0
05/15/26 02:06:00,0
05/15/26 02:07:00,0
05/15/26 02:08:00,0
05/15/26 02:09:00,0
05/15/26 02:10:00,0
05/15/26 02:11:00,-6
05/15/26 02:12:00,0
05/15/26 02:13:00,-1
05/15/26 02:14:00,-1
05/15/26 02:15:00,-1
05/15/26 02:16:00,0
05/15/26 02:17:00,-1
05/15/26 02:18:00,0
05/15/26 02:19:01,0
05/15/26 02:20:01,13
05/15/26 02:21:01,-20
05/15/26 02:22:01,-3
05/15/26 02:23:01,3
05/15/26 02:24:01,-1
05/15/26 02:25:01,0
05/15/26 02:26:01,7
05/15/26 02:27:01,3
05/15/26 02:28:01,56
05/15/26 02:29:01,0
05/15/26 02:30:01,0
05/15/26 02:31:01,0
05/15/26 02:32:01,35
05/15/26 02:33:01,31
05/15/26 02:34:01,39
05/15/26 02:35:01,3
05/15/26 02:36:01,-13
05/15/26 02:37:01,24
05/15/26 02:38:01,29
05/15/26 02:39:01,-2
05/15/26 02:40:01,0
05/15/26 02:41:01,0
05/15/26 02:42:01,0
05/15/26 02:43:01,56
05/15/26 02:44:01,-5
05/15/26 02:45:01,15
05/15/26 02:46:01,0
05/15/26 02:47:01,8
05/15/26 02:48:01,-2
05/15/26 02:49:00,16
05/15/26 02:50:00,10
05/15/26 02:51:00,-27
05/15/26 02:52:00,-8
05/15/26 02:53:00,24
05/15/26 02:54:00,-1
05/15/26 02:55:00,-7
05/15/26 02:56:00,37
05/15/26 02:57:00,0
05/15/26 02:58:00,0
05/15/26 02:59:00,23
05/15/26 03:00:00,-1
05/15/26 03:01:00,16
05/15/26 03:02:00,7
05/15/26 03:03:01,-7
05/15/26 03:04:01,-5
05/15/26 03:05:01,0
05/15/26 03:06:01,61
05/15/26 03:07:01,-17
05/15/26 03:08:01,4
05/15/26 03:09:01,-15
05/15/26 03:10:01,-1
05/15/26 03:11:01,38
05/15/26 03:12:01,6
05/15/26 03:13:01,-13
05/15/26 03:14:01,7
05/15/26 03:15:01,0
05/15/26 03:16:01,0
05/15/26 03:17:01,4
05/15/26 03:18:01,37
05/15/26 03:19:01,4
05/15/26 03:20:01,17
05/15/26 03:21:01,2
05/15/26 03:22:01,9
05/15/26 03:23:01,-6
05/15/26 03:24:01,4
05/15/26 03:25:01,4
05/15/26 03:26:01,21
05/15/26 03:27:01,4
05/15/26 03:28:01,-1
05/15/26 03:29:01,6
05/15/26 03:30:01,5
05/15/26 03:31:01,1
05/15/26 03:32:01,48
05/15/26 03:33:01,-14
05/15/26 03:34:02,0
05/15/26 03:35:02,22
05/15/26 03:36:02,0
05/15/26 03:37:02,3
05/15/26 03:38:02,34
05/15/26 03:39:02,60
05/15/26 03:40:02,-17
05/15/26 03:41:02,0
05/15/26 03:42:02,0
05/15/26 03:43:02,0
05/15/26 03:44:02,-9
05/15/26 03:45:02,4
05/15/26 03:46:02,-2
05/15/26 03:47:59,-2
05/15/26 03:48:59,-1
05/15/26 03:49:59,0
05/15/26 03:50:59,9
05/15/26 03:51:59,0
05/15/26 03:52:59,-3
05/15/26 03:53:59,5
05/15/26 03:54:59,2
05/15/26 03:55:59,-1
05/15/26 03:56:59,0
05/15/26 03:57:59,-14
05/15/26 03:58:59,8
05/15/26 03:59:59,-1
05/15/26 04:00:59,9
05/15/26 04:01:56,0
05/15/26 04:02:56,-8
05/15/26 04:03:56,0
05/15/26 04:04:56,22
05/15/26 04:05:56,17
05/15/26 04:06:56,0
05/15/26 04:07:56,3
05/15/26 04:08:56,0
05/15/26 04:09:56,0
05/15/26 04:10:56,0
05/15/26 04:11:56,0
05/15/26 04:12:56,0
05/15/26 04:13:56,0
05/15/26 04:14:56,38
