value_time,setting_name,setting_value
2026-05-06 09:39:17+0000,activity state,sedentary
2026-05-06 09:39:17+0000,auto run enabled,true
2026-05-06 09:39:17+0000,auto stride enabled,true
2026-05-06 09:39:17+0000,body constitution,regular
2026-05-06 09:39:17+0000,is nursing,false
2026-05-06 09:39:17+0000,pregnant state,not pregnant
2026-05-06 09:39:17+0000,sleep proc algorithm,composite
2026-05-06 09:39:17+0000,stride length running,0
2026-05-06 09:39:17+0000,stride length walking,0
2026-06-06 12:50:26+0000,hr scaling sleep rest,"[2026-06-06] Current: 0.81, [2026-06-05] Previous: 0.81"
2026-06-06 22:14:46+0000,sedentary prune time,2026-06-07T00:00:00.0Z
