timestamp,rmssd,coverage,low_frequency,high_frequency
2026-05-20T04:00:00,34.081,0.954,774.272,206.298
2026-05-20T04:05:00,33.782,0.851,244.479,139.095
2026-05-20T04:10:00,39.436,0.925,1697.759,293.867
2026-05-20T04:15:00,38.534,0.978,292.834,315.588
2026-05-20T04:20:00,35.635,0.983,157.339,247.254
2026-05-20T04:25:00,41.295,0.947,4556.258,484.641
2026-05-20T04:30:00,39.492,0.999,209.867,341.195
2026-05-20T04:35:00,39.408,1.003,148.686,326.902
2026-05-20T04:40:00,39.023,1.001,111.603,339.278
2026-05-20T04:45:00,47.297,0.882,1347.685,311.761
2026-05-20T04:50:00,46.335,0.99,956.401,438.791
2026-05-20T04:55:00,30.707,0.932,385.156,207.705
2026-05-20T05:00:00,29.833,0.94,2045.657,217.594
2026-05-20T05:05:00,34.57,1.004,1397.848,210.014
2026-05-20T05:10:00,34.033,0.951,1108.1,230.29
2026-05-20T05:15:00,41.15,0.971,1538.816,370.191
2026-05-20T05:20:00,41.038,1.003,118.974,412.166
2026-05-20T05:25:00,41.694,1.001,219.622,446.312
2026-05-20T05:30:00,43.898,1.003,170.281,433.641
2026-05-20T05:35:00,42.996,1.003,171.59,451.076
2026-05-20T05:40:00,44.124,0.997,302.394,516.314
2026-05-20T05:45:00,45.037,0.936,237.398,384.56
2026-05-20T05:50:00,46.067,0.999,244.485,472.48
2026-05-20T05:55:00,42.879,1.006,146.263,389.165
2026-05-20T06:00:00,41.981,0.919,178.723,384.495
2026-05-20T06:05:00,52.629,0.832,3425.753,345.993
2026-05-20T06:10:00,45.933,0.881,3649.306,352.715
2026-05-20T06:15:00,43.489,1.002,2867.018,413.243
2026-05-20T06:20:00,45.677,0.962,2742.849,450.478
2026-05-20T06:25:00,35.105,0.986,529.047,258.436
2026-05-20T06:30:00,40.746,0.92,1204.128,294.481
2026-05-20T06:35:00,39.457,0.952,1813.52,309.467
2026-05-20T06:40:00,48.552,0.898,3080.28,303.646
2026-05-20T06:45:00,42.022,1.003,368.095,353.58
2026-05-20T06:50:00,49.986,0.859,814.492,420.595
2026-05-20T07:00:00,54.738,0.954,2216.506,622.193
2026-05-20T07:05:00,43.709,0.979,351.377,426.981
2026-05-20T07:10:00,44.599,0.941,3652.835,201.203
2026-05-20T07:15:00,41.744,0.971,2667.967,349.518
2026-05-20T07:20:00,56.239,0.832,2136.425,423.583
2026-05-20T07:25:00,44.856,0.997,2062.269,435.16
2026-05-20T07:30:00,46.107,0.906,3728.022,376.529
2026-05-20T07:35:00,41.485,1.002,2093.676,303.725
2026-05-20T07:40:00,42.415,0.979,2632.413,403.623
2026-05-20T07:45:00,38.539,0.755,1403.1,175.97
2026-05-20T13:05:00,25.197,0.918,285.63,125.94
2026-05-20T13:10:00,29.285,0.897,579.776,209.52
2026-05-20T13:15:00,31.576,1.002,690.487,241.124
2026-05-20T13:20:00,28.622,0.987,192.988,199.94
2026-05-20T13:25:00,29.101,1.001,133.184,231.864
2026-05-20T13:30:00,29.582,1.005,303.334,242.663
2026-05-20T13:35:00,27.642,0.988,191.254,183.554
2026-05-20T13:40:00,27.095,0.999,116.95,201.347
2026-05-20T13:45:00,26.202,1.002,107.817,202.737
2026-05-20T13:50:00,27.637,0.987,223.178,212.811
2026-05-20T13:55:00,32.863,0.89,3311.287,233.234
2026-05-20T14:00:00,20.785,0.922,1313.636,130.217
2026-05-20T14:05:00,28.863,0.961,1747.005,208.665
2026-05-20T14:10:00,31.125,0.916,1826.801,170.372
2026-05-20T14:15:00,24.821,1.003,405.657,155.529
2026-05-20T14:20:00,19.556,1.004,243.984,84.24
2026-05-20T14:25:00,24.008,0.965,1737.207,153.773
2026-05-20T14:30:00,31.93,0.965,1944.715,190.585
2026-05-20T14:35:00,35.325,0.943,1989.396,177.419
2026-05-20T14:40:00,28.611,0.967,3077.227,144.472
2026-05-20T14:45:00,30.173,1.004,2276.528,181.579
2026-05-20T14:50:00,24.129,0.974,450.901,100.267
2026-05-20T14:55:00,18.152,0.971,481.724,50.987
2026-05-20T15:00:00,22.769,0.968,979.186,119.428
2026-05-20T15:05:00,19.3,0.976,1361.656,115.473
2026-05-20T15:10:00,15.194,0.979,894.774,61.598
2026-05-20T15:15:00,19.327,0.951,1492.344,73.523
2026-05-20T15:20:00,22.547,1.005,435.871,76.273
2026-05-20T15:25:00,21.476,0.96,1815.951,92.701
2026-05-20T15:30:00,27.669,0.976,414.787,138.566
2026-05-20T15:35:00,24.271,1.002,106.74,117.706
2026-05-20T15:40:00,24.48,0.999,78.613,143.654
2026-05-20T15:45:00,26.908,1.001,195.18,156.795
2026-05-20T15:50:00,31.196,0.946,2142.902,236.073
2026-05-20T15:55:00,29.93,0.954,2105.356,115.094
2026-05-20T16:00:00,30.852,0.939,1928.207,126.17
2026-05-20T16:05:00,31.228,1.003,3065.345,237.321
2026-05-20T16:10:00,26.127,0.989,1651.882,136.797
2026-05-20T16:15:00,27.559,0.956,1287.13,113.355
2026-05-20T16:20:00,32.713,0.954,2837.34,127.082
2026-05-20T16:25:00,29.722,1.002,1690.912,274.742
