timestamp,bucket_values
2026-05-08T07:40:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.011, 0.016, 0.03, 0.076, 0.139, 0.174, 0.183, 0.126, 0.105, 0.093, 0.036, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-09T12:12:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.006, 0.01, 0.025, 0.089, 0.168, 0.184, 0.183, 0.155, 0.115, 0.049, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-10T11:17:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.002, 0.006, 0.018, 0.036, 0.053, 0.132, 0.203, 0.307, 0.184, 0.046, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-12T10:49:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.003, 0.008, 0.03, 0.093, 0.14, 0.14, 0.25, 0.261, 0.062, 0.009, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-13T05:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.012, 0.034, 0.056, 0.068, 0.12, 0.228, 0.226, 0.129, 0.08, 0.035, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-14T12:38:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.002, 0.015, 0.024, 0.068, 0.208, 0.384, 0.24, 0.047, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-15T11:09:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.006, 0.017, 0.032, 0.043, 0.073, 0.194, 0.304, 0.217, 0.085, 0.02, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-17T14:28:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.002, 0.005, 0.015, 0.053, 0.081, 0.228, 0.442, 0.159, 0.011, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-18T11:12:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.006, 0.015, 0.027, 0.091, 0.183, 0.338, 0.256, 0.065, 0.012, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-19T12:49:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.005, 0.011, 0.018, 0.058, 0.149, 0.279, 0.409, 0.066, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-20T07:51:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.003, 0.004, 0.01, 0.014, 0.041, 0.066, 0.129, 0.295, 0.315, 0.098, 0.018, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-20T16:31:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
