timestamp,beats per minute,data source
2026-05-11T00:00:02Z,72.0,Versa 4
2026-05-11T00:00:05Z,72.0,Versa 4
2026-05-11T00:00:08Z,72.0,Versa 4
2026-05-11T00:00:11Z,72.0,Versa 4
2026-05-11T00:00:14Z,72.0,Versa 4
2026-05-11T00:00:17Z,72.0,Versa 4
2026-05-11T00:00:20Z,72.0,Versa 4
2026-05-11T00:00:22Z,73.0,Versa 4
2026-05-11T00:00:24Z,74.0,Versa 4
2026-05-11T00:00:26Z,75.0,Versa 4
2026-05-11T00:00:28Z,78.0,Versa 4
2026-05-11T00:00:30Z,80.0,Versa 4
2026-05-11T00:00:33Z,80.0,Versa 4
2026-05-11T00:00:34Z,81.0,Versa 4
2026-05-11T00:00:36Z,82.0,Versa 4
2026-05-11T00:00:37Z,84.0,Versa 4
2026-05-11T00:00:39Z,86.0,Versa 4
2026-05-11T00:00:42Z,86.0,Versa 4
2026-05-11T00:00:43Z,88.0,Versa 4
2026-05-11T00:00:46Z,88.0,Versa 4
2026-05-11T00:00:47Z,87.0,Versa 4
2026-05-11T00:00:49Z,86.0,Versa 4
2026-05-11T00:00:51Z,84.0,Versa 4
2026-05-11T00:00:53Z,83.0,Versa 4
2026-05-11T00:00:55Z,82.0,Versa 4
2026-05-11T00:00:57Z,80.0,Versa 4
2026-05-11T00:00:59Z,79.0,Versa 4
2026-05-11T00:01:01Z,78.0,Versa 4
2026-05-11T00:01:02Z,77.0,Versa 4
2026-05-11T00:01:04Z,76.0,Versa 4
2026-05-11T00:01:06Z,75.0,Versa 4
2026-05-11T00:01:09Z,75.0,Versa 4
2026-05-11T00:01:10Z,74.0,Versa 4
2026-05-11T00:01:13Z,74.0,Versa 4
2026-05-11T00:01:14Z,74.0,Versa 4
2026-05-11T00:01:17Z,74.0,Versa 4
2026-05-11T00:01:18Z,74.0,Versa 4
2026-05-11T00:01:21Z,74.0,Versa 4
2026-05-11T00:01:22Z,73.0,Versa 4
2026-05-11T00:01:24Z,74.0,Versa 4
2026-05-11T00:01:25Z,77.0,Versa 4
2026-05-11T00:01:27Z,82.0,Versa 4
2026-05-11T00:01:29Z,85.0,Versa 4
2026-05-11T00:01:31Z,90.0,Versa 4
2026-05-11T00:01:33Z,91.0,Versa 4
2026-05-11T00:01:35Z,90.0,Versa 4
2026-05-11T00:01:37Z,88.0,Versa 4
2026-05-11T00:01:39Z,87.0,Versa 4
2026-05-11T00:01:41Z,85.0,Versa 4
2026-05-11T00:01:43Z,84.0,Versa 4
2026-05-11T00:01:46Z,84.0,Versa 4
2026-05-11T00:01:47Z,83.0,Versa 4
2026-05-11T00:01:49Z,82.0,Versa 4
2026-05-11T00:01:50Z,80.0,Versa 4
2026-05-11T00:01:52Z,78.0,Versa 4
2026-05-11T00:01:54Z,77.0,Versa 4
2026-05-11T00:01:56Z,76.0,Versa 4
2026-05-11T00:01:59Z,76.0,Versa 4
2026-05-11T00:02:00Z,75.0,Versa 4
2026-05-11T00:02:02Z,74.0,Versa 4
2026-05-11T00:02:05Z,74.0,Versa 4
2026-05-11T00:02:06Z,73.0,Versa 4
2026-05-11T00:02:08Z,74.0,Versa 4
2026-05-11T00:02:11Z,74.0,Versa 4
2026-05-11T00:02:13Z,76.0,Versa 4
2026-05-11T00:02:16Z,76.0,Versa 4
2026-05-11T00:02:17Z,76.0,Versa 4
2026-05-11T00:02:20Z,76.0,Versa 4
2026-05-11T00:02:21Z,75.0,Versa 4
2026-05-11T00:02:23Z,74.0,Versa 4
2026-05-11T00:02:26Z,74.0,Versa 4
2026-05-11T00:02:29Z,74.0,Versa 4
2026-05-11T00:02:32Z,74.0,Versa 4
2026-05-11T00:02:33Z,73.0,Versa 4
2026-05-11T00:02:35Z,72.0,Versa 4
2026-05-11T00:02:38Z,72.0,Versa 4
2026-05-11T00:02:40Z,72.0,Versa 4
2026-05-11T00:02:43Z,72.0,Versa 4
2026-05-11T00:02:46Z,72.0,Versa 4
2026-05-11T00:02:48Z,72.0,Versa 4
2026-05-11T00:02:50Z,72.0,Versa 4
2026-05-11T00:02:53Z,72.0,Versa 4
2026-05-11T00:02:56Z,72.0,Versa 4
2026-05-11T00:02:59Z,72.0,Versa 4
2026-05-11T00:03:01Z,72.0,Versa 4
2026-05-11T00:03:03Z,73.0,Versa 4
2026-05-11T00:03:05Z,74.0,Versa 4
2026-05-11T00:03:08Z,74.0,Versa 4
2026-05-11T00:03:11Z,73.0,Versa 4
2026-05-11T00:03:14Z,73.0,Versa 4
2026-05-11T00:03:15Z,75.0,Versa 4
2026-05-11T00:03:17Z,78.0,Versa 4
2026-05-11T00:03:19Z,81.0,Versa 4
2026-05-11T00:03:21Z,82.0,Versa 4
2026-05-11T00:03:24Z,82.0,Versa 4
2026-05-11T00:03:26Z,82.0,Versa 4
2026-05-11T00:03:28Z,81.0,Versa 4
2026-05-11T00:03:30Z,80.0,Versa 4
2026-05-11T00:03:32Z,79.0,Versa 4
2026-05-11T00:03:34Z,78.0,Versa 4
2026-05-11T00:03:36Z,76.0,Versa 4
2026-05-11T00:03:39Z,76.0,Versa 4
2026-05-11T00:03:40Z,75.0,Versa 4
2026-05-11T00:03:42Z,74.0,Versa 4
2026-05-11T00:03:44Z,73.0,Versa 4
2026-05-11T00:03:46Z,72.0,Versa 4
2026-05-11T00:03:48Z,75.0,Versa 4
2026-05-11T00:03:49Z,77.0,Versa 4
2026-05-11T00:03:52Z,77.0,Versa 4
2026-05-11T00:03:53Z,77.0,Versa 4
2026-05-11T00:03:55Z,76.0,Versa 4
2026-05-11T00:03:58Z,76.0,Versa 4
2026-05-11T00:04:01Z,75.0,Versa 4
2026-05-11T00:04:03Z,74.0,Versa 4
2026-05-11T00:04:06Z,74.0,Versa 4
2026-05-11T00:04:09Z,74.0,Versa 4
2026-05-11T00:04:11Z,73.0,Versa 4
2026-05-11T00:04:13Z,73.0,Versa 4
2026-05-11T00:04:14Z,72.0,Versa 4
2026-05-11T00:04:16Z,73.0,Versa 4
2026-05-11T00:04:19Z,73.0,Versa 4
2026-05-11T00:04:20Z,74.0,Versa 4
2026-05-11T00:04:22Z,73.0,Versa 4
2026-05-11T00:04:24Z,73.0,Versa 4
2026-05-11T00:04:26Z,72.0,Versa 4
2026-05-11T00:04:29Z,72.0,Versa 4
2026-05-11T00:04:30Z,72.0,Versa 4
2026-05-11T00:04:33Z,72.0,Versa 4
2026-05-11T00:04:36Z,72.0,Versa 4
2026-05-11T00:04:39Z,72.0,Versa 4
2026-05-11T00:04:42Z,72.0,Versa 4
2026-05-11T00:04:45Z,74.0,Versa 4
2026-05-11T00:04:47Z,75.0,Versa 4
2026-05-11T00:04:50Z,75.0,Versa 4
2026-05-11T00:04:51Z,74.0,Versa 4
2026-05-11T00:04:53Z,73.0,Versa 4
2026-05-11T00:04:55Z,72.0,Versa 4
2026-05-11T00:04:58Z,72.0,Versa 4
2026-05-11T00:04:59Z,72.0,Versa 4
2026-05-11T00:05:02Z,72.0,Versa 4
2026-05-11T00:05:04Z,72.0,Versa 4
2026-05-11T00:05:07Z,72.0,Versa 4
2026-05-11T00:05:10Z,72.0,Versa 4
2026-05-11T00:05:13Z,72.0,Versa 4
2026-05-11T00:05:14Z,72.0,Versa 4
2026-05-11T00:05:16Z,73.0,Versa 4
2026-05-11T00:05:18Z,73.0,Versa 4
2026-05-11T00:05:20Z,72.0,Versa 4
2026-05-11T00:05:22Z,72.0,Versa 4
2026-05-11T00:05:25Z,72.0,Versa 4
2026-05-11T00:05:28Z,72.0,Versa 4
2026-05-11T00:05:31Z,72.0,Versa 4
2026-05-11T00:05:34Z,72.0,Versa 4
2026-05-11T00:05:35Z,71.0,Versa 4
2026-05-11T00:05:38Z,71.0,Versa 4
2026-05-11T00:05:39Z,70.0,Versa 4
2026-05-11T00:05:42Z,70.0,Versa 4
2026-05-11T00:05:45Z,70.0,Versa 4
2026-05-11T00:05:48Z,70.0,Versa 4
2026-05-11T00:05:51Z,70.0,Versa 4
2026-05-11T00:05:52Z,70.0,Versa 4
2026-05-11T00:05:54Z,70.0,Versa 4
2026-05-11T00:05:56Z,69.0,Versa 4
2026-05-11T00:05:59Z,69.0,Versa 4
2026-05-11T00:06:02Z,68.0,Versa 4
2026-05-11T00:06:05Z,68.0,Versa 4
2026-05-11T00:06:06Z,69.0,Versa 4
2026-05-11T00:06:08Z,70.0,Versa 4
2026-05-11T00:06:10Z,71.0,Versa 4
2026-05-11T00:06:12Z,71.0,Versa 4
2026-05-11T00:06:15Z,70.0,Versa 4
2026-05-11T00:06:18Z,70.0,Versa 4
2026-05-11T00:06:19Z,69.0,Versa 4
2026-05-11T00:06:21Z,70.0,Versa 4
2026-05-11T00:06:24Z,70.0,Versa 4
2026-05-11T00:06:25Z,69.0,Versa 4
2026-05-11T00:06:28Z,69.0,Versa 4
2026-05-11T00:06:29Z,68.0,Versa 4
2026-05-11T00:06:32Z,68.0,Versa 4
2026-05-11T00:06:33Z,69.0,Versa 4
2026-05-11T00:06:35Z,69.0,Versa 4
2026-05-11T00:06:37Z,72.0,Versa 4
2026-05-11T00:06:38Z,77.0,Versa 4
