timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-05-07T21:55:00Z,24.3,0.0,Fitbit App
2026-05-07T22:00:00Z,30.1,0.0,Fitbit App
2026-05-07T22:05:00Z,28.0,0.0,Fitbit App
2026-05-07T22:10:00Z,30.5,0.0,Fitbit App
2026-05-07T22:15:00Z,28.8,0.0,Fitbit App
2026-05-07T22:20:00Z,29.8,0.0,Fitbit App
2026-05-07T22:25:00Z,26.5,0.0,Fitbit App
2026-05-07T22:30:00Z,28.3,0.0,Fitbit App
2026-05-07T22:35:00Z,40.8,0.0,Fitbit App
2026-05-07T22:40:00Z,32.3,0.0,Fitbit App
2026-05-07T22:45:00Z,28.9,0.0,Fitbit App
2026-05-07T22:50:00Z,29.7,0.0,Fitbit App
2026-05-07T22:55:00Z,39.9,0.0,Fitbit App
2026-05-07T23:00:00Z,36.3,0.0,Fitbit App
2026-05-07T23:05:00Z,24.1,0.0,Fitbit App
2026-05-07T23:10:00Z,20.0,0.0,Fitbit App
2026-05-07T23:15:00Z,23.9,0.0,Fitbit App
2026-05-07T23:20:00Z,37.0,0.0,Fitbit App
2026-05-07T23:25:00Z,38.5,0.0,Fitbit App
2026-05-07T23:30:00Z,38.2,0.0,Fitbit App
2026-05-07T23:35:00Z,36.7,0.0,Fitbit App
2026-05-07T23:40:00Z,40.3,0.0,Fitbit App
2026-05-07T23:45:00Z,40.5,0.0,Fitbit App
2026-05-07T23:50:00Z,40.5,0.0,Fitbit App
2026-05-07T23:55:00Z,45.4,0.0,Fitbit App
2026-05-08T00:00:00Z,38.4,0.0,Fitbit App
2026-05-08T00:05:00Z,38.8,0.0,Fitbit App
2026-05-08T00:10:00Z,32.2,0.0,Fitbit App
2026-05-08T00:15:00Z,19.0,0.0,Fitbit App
2026-05-08T00:20:00Z,19.0,0.0,Fitbit App
2026-05-08T00:25:00Z,24.2,0.0,Fitbit App
2026-05-08T00:30:00Z,21.7,0.0,Fitbit App
2026-05-08T00:35:00Z,30.8,0.0,Fitbit App
2026-05-08T00:40:00Z,39.0,0.0,Fitbit App
2026-05-08T00:45:00Z,34.3,0.0,Fitbit App
2026-05-08T00:50:00Z,42.0,0.0,Fitbit App
2026-05-08T00:55:00Z,42.1,0.0,Fitbit App
2026-05-08T01:00:00Z,42.5,0.0,Fitbit App
2026-05-08T01:05:00Z,43.1,0.0,Fitbit App
2026-05-08T01:10:00Z,41.9,0.0,Fitbit App
2026-05-08T01:15:00Z,47.0,0.0,Fitbit App
2026-05-08T01:20:00Z,39.0,0.0,Fitbit App
2026-05-08T01:25:00Z,29.3,0.0,Fitbit App
2026-05-08T01:30:00Z,30.3,0.0,Fitbit App
2026-05-08T01:35:00Z,29.7,0.0,Fitbit App
2026-05-08T01:40:00Z,38.0,0.0,Fitbit App
2026-05-08T01:45:00Z,37.3,0.0,Fitbit App
