timestamp,steps,distance millimeters,altitude gain millimeters,data source
2026-05-14T14:04:07Z,2,0,0,Versa 4
2026-05-14T14:04:08Z,2,0,-609,Versa 4
2026-05-14T14:04:09Z,2,110,-609,Versa 4
2026-05-14T14:04:10Z,2,230,-304,Versa 4
2026-05-14T14:04:11Z,2,390,-304,Versa 4
2026-05-14T14:04:12Z,2,560,-304,Versa 4
2026-05-14T14:04:13Z,1,730,0,Versa 4
2026-05-14T14:04:14Z,0,740,304,Versa 4
2026-05-14T14:04:15Z,1,740,-304,Versa 4
2026-05-14T14:04:16Z,2,720,304,Versa 4
2026-05-14T14:04:17Z,0,650,304,Versa 4
2026-05-14T14:04:18Z,2,640,914,Versa 4
2026-05-14T14:04:19Z,0,630,0,Versa 4
2026-05-14T14:04:20Z,2,650,1219,Versa 4
2026-05-14T14:04:21Z,2,670,0,Versa 4
2026-05-14T14:04:22Z,1,710,0,Versa 4
2026-05-14T14:04:23Z,2,740,0,Versa 4
2026-05-14T14:04:24Z,2,980,0,Versa 4
2026-05-14T14:04:25Z,2,980,0,Versa 4
2026-05-14T14:04:26Z,1,1030,0,Versa 4
2026-05-14T14:04:27Z,2,1050,-304,Versa 4
2026-05-14T14:04:28Z,2,1110,-304,Versa 4
2026-05-14T14:04:29Z,1,1120,609,Versa 4
2026-05-14T14:04:30Z,0,1110,0,Versa 4
2026-05-14T14:04:31Z,1,1100,0,Versa 4
2026-05-14T14:04:32Z,1,1090,-304,Versa 4
2026-05-14T14:04:33Z,3,1090,304,Versa 4
2026-05-14T14:04:34Z,1,1080,0,Versa 4
2026-05-14T14:04:35Z,2,1090,-304,Versa 4
2026-05-14T14:04:36Z,2,1140,304,Versa 4
2026-05-14T14:04:37Z,1,1170,-304,Versa 4
2026-05-14T14:04:38Z,1,1180,0,Versa 4
2026-05-14T14:04:39Z,3,1190,0,Versa 4
2026-05-14T14:04:40Z,1,1200,0,Versa 4
2026-05-14T14:04:41Z,1,1180,304,Versa 4
2026-05-14T14:04:42Z,2,1190,0,Versa 4
2026-05-14T14:04:43Z,2,1210,0,Versa 4
2026-05-14T14:04:44Z,1,1210,0,Versa 4
2026-05-14T14:04:45Z,0,1110,-1219,Versa 4
2026-05-14T14:04:46Z,0,1020,609,Versa 4
2026-05-14T14:04:47Z,2,870,609,Versa 4
2026-05-14T14:04:48Z,2,0,-304,Versa 4
2026-05-14T14:04:49Z,1,0,-304,Versa 4
2026-05-14T14:04:50Z,2,290,609,Versa 4
2026-05-14T14:04:51Z,1,390,0,Versa 4
2026-05-14T14:04:52Z,2,510,0,Versa 4
2026-05-14T14:04:53Z,1,650,0,Versa 4
2026-05-14T14:04:54Z,2,810,304,Versa 4
2026-05-14T14:04:55Z,1,840,-609,Versa 4
2026-05-14T14:04:56Z,1,850,304,Versa 4
2026-05-14T14:04:57Z,4,940,-609,Versa 4
2026-05-14T14:04:58Z,2,1030,609,Versa 4
2026-05-14T14:04:59Z,0,1030,0,Versa 4
2026-05-14T14:05:00Z,1,1120,0,Versa 4
2026-05-14T14:05:01Z,3,1200,-304,Versa 4
2026-05-14T14:05:02Z,2,1200,304,Versa 4
2026-05-14T14:05:03Z,2,1190,0,Versa 4
2026-05-14T14:05:04Z,1,1220,-304,Versa 4
2026-05-14T14:05:05Z,2,1270,-609,Versa 4
2026-05-14T14:05:06Z,3,1300,0,Versa 4
2026-05-14T14:05:07Z,1,1300,-609,Versa 4
2026-05-14T14:05:08Z,2,1310,-304,Versa 4
2026-05-14T14:05:09Z,2,1340,-304,Versa 4
2026-05-14T14:05:10Z,2,1350,-304,Versa 4
2026-05-14T14:05:11Z,2,1360,-304,Versa 4
2026-05-14T14:05:12Z,2,1360,304,Versa 4
2026-05-14T14:05:13Z,2,1390,-609,Versa 4
2026-05-14T14:05:14Z,3,1430,304,Versa 4
2026-05-14T14:05:15Z,1,1430,304,Versa 4
2026-05-14T14:05:16Z,2,1430,0,Versa 4
2026-05-14T14:05:17Z,2,1420,609,Versa 4
2026-05-14T14:05:18Z,2,1430,914,Versa 4
2026-05-14T14:05:19Z,2,1430,304,Versa 4
2026-05-14T14:05:20Z,3,1460,609,Versa 4
2026-05-14T14:05:21Z,1,1460,-609,Versa 4
2026-05-14T14:05:22Z,2,1460,609,Versa 4
2026-05-14T14:05:23Z,2,1450,-609,Versa 4
2026-05-14T14:05:24Z,2,1460,304,Versa 4
2026-05-14T14:05:25Z,1,1370,304,Versa 4
2026-05-14T14:05:26Z,2,1380,0,Versa 4
2026-05-14T14:05:27Z,1,1310,-304,Versa 4
2026-05-14T14:05:28Z,2,1270,-304,Versa 4
2026-05-14T14:05:29Z,1,1200,304,Versa 4
2026-05-14T14:05:30Z,1,1150,0,Versa 4
2026-05-14T14:05:31Z,0,1040,0,Versa 4
2026-05-14T14:05:32Z,0,920,0,Versa 4
2026-05-14T14:05:33Z,1,0,304,Versa 4
2026-05-14T14:05:34Z,2,0,0,Versa 4
2026-05-14T14:05:35Z,1,0,-609,Versa 4
2026-05-14T14:05:36Z,2,0,609,Versa 4
2026-05-14T14:05:37Z,2,0,0,Versa 4
2026-05-14T14:05:38Z,1,170,304,Versa 4
2026-05-14T14:05:39Z,1,290,-609,Versa 4
2026-05-14T14:05:40Z,1,420,-609,Versa 4
2026-05-14T14:05:41Z,1,550,-304,Versa 4
2026-05-14T14:05:42Z,2,720,914,Versa 4
2026-05-14T14:05:43Z,1,740,0,Versa 4
2026-05-14T14:05:44Z,0,730,304,Versa 4
2026-05-14T14:05:45Z,1,680,-304,Versa 4
2026-05-14T14:05:46Z,1,0,304,Versa 4
2026-05-14T14:05:47Z,1,0,-304,Versa 4
2026-05-14T14:05:48Z,2,0,-304,Versa 4
2026-05-14T14:05:49Z,3,880,-914,Versa 4
2026-05-14T14:05:50Z,2,410,-304,Versa 4
2026-05-14T14:05:51Z,2,580,-304,Versa 4
2026-05-14T14:05:52Z,1,730,-609,Versa 4
2026-05-14T14:05:53Z,1,890,609,Versa 4
2026-05-14T14:05:54Z,2,940,-304,Versa 4
2026-05-14T14:05:55Z,2,980,-304,Versa 4
2026-05-14T14:05:56Z,2,1000,-304,Versa 4
2026-05-14T14:05:57Z,1,1020,0,Versa 4
2026-05-14T14:05:58Z,1,1040,0,Versa 4
2026-05-14T14:05:59Z,3,1130,304,Versa 4
2026-05-14T14:06:00Z,2,1170,0,Versa 4
2026-05-14T14:06:01Z,2,1200,-304,Versa 4
2026-05-14T14:06:02Z,2,1260,0,Versa 4
2026-05-14T14:06:03Z,0,1260,0,Versa 4
2026-05-14T14:06:04Z,1,1250,0,Versa 4
2026-05-14T14:06:05Z,2,1250,0,Versa 4
2026-05-14T14:06:06Z,2,1250,0,Versa 4
2026-05-14T14:06:07Z,3,1250,0,Versa 4
2026-05-14T14:06:08Z,1,1240,0,Versa 4
2026-05-14T14:06:09Z,1,1230,304,Versa 4
2026-05-14T14:06:10Z,0,1230,-304,Versa 4
2026-05-14T14:06:11Z,0,1100,304,Versa 4
2026-05-14T14:06:12Z,0,0,0,Versa 4
2026-05-14T14:06:13Z,0,0,0,Versa 4
2026-05-14T14:06:14Z,0,0,0,Versa 4
2026-05-14T14:06:15Z,0,0,0,Versa 4
2026-05-14T14:06:16Z,0,0,-304,Versa 4
2026-05-14T14:06:17Z,0,0,609,Versa 4
2026-05-14T14:06:18Z,0,0,-304,Versa 4
2026-05-14T14:06:19Z,0,0,0,Versa 4
2026-05-14T14:06:20Z,0,0,0,Versa 4
2026-05-14T14:06:21Z,0,0,609,Versa 4
2026-05-14T14:06:22Z,0,0,-304,Versa 4
2026-05-14T14:06:23Z,0,0,-304,Versa 4
2026-05-14T14:06:24Z,0,0,0,Versa 4
2026-05-14T14:06:25Z,0,0,609,Versa 4
2026-05-14T14:06:26Z,0,0,-609,Versa 4
2026-05-14T14:06:27Z,0,0,304,Versa 4
2026-05-14T14:06:28Z,0,0,0,Versa 4
2026-05-14T14:06:29Z,0,0,-609,Versa 4
2026-05-14T14:06:30Z,0,0,304,Versa 4
2026-05-14T14:06:31Z,0,0,-609,Versa 4
2026-05-14T14:06:32Z,0,0,304,Versa 4
2026-05-14T14:06:33Z,0,0,609,Versa 4
2026-05-14T14:06:34Z,0,0,0,Versa 4
2026-05-14T14:06:35Z,0,0,0,Versa 4
2026-05-14T14:06:36Z,1,0,304,Versa 4
2026-05-14T14:06:37Z,0,0,-304,Versa 4
2026-05-14T14:06:38Z,1,0,-609,Versa 4
2026-05-14T14:06:39Z,1,0,0,Versa 4
