timestamp,oxygen saturation percentage,data source
2026-05-06T10:04:14Z,95.7,Versa 4
2026-05-06T14:02:33Z,50.0,Versa 4
2026-05-06T14:03:33Z,50.0,Versa 4
2026-05-06T14:04:33Z,50.0,Versa 4
2026-05-06T14:05:33Z,50.0,Versa 4
2026-05-06T14:06:33Z,50.0,Versa 4
2026-05-06T14:07:33Z,50.0,Versa 4
2026-05-06T14:08:33Z,50.0,Versa 4
2026-05-06T14:09:33Z,50.0,Versa 4
2026-05-06T14:10:33Z,50.0,Versa 4
2026-05-06T14:40:33Z,95.0,Versa 4
2026-05-06T14:41:33Z,94.5,Versa 4
2026-05-06T14:42:33Z,93.9,Versa 4
2026-05-06T14:43:33Z,93.8,Versa 4
2026-05-06T14:44:33Z,93.9,Versa 4
2026-05-06T14:45:33Z,93.6,Versa 4
2026-05-06T14:46:33Z,93.2,Versa 4
2026-05-06T14:47:33Z,93.2,Versa 4
2026-05-06T14:48:33Z,93.3,Versa 4
2026-05-06T14:49:33Z,92.8,Versa 4
2026-05-06T14:50:33Z,93.0,Versa 4
2026-05-06T14:51:33Z,93.6,Versa 4
2026-05-06T14:52:33Z,93.6,Versa 4
2026-05-06T14:53:33Z,50.0,Versa 4
2026-05-06T14:54:33Z,93.1,Versa 4
2026-05-06T14:55:33Z,50.0,Versa 4
2026-05-06T14:56:33Z,50.0,Versa 4
2026-05-06T14:57:33Z,91.0,Versa 4
2026-05-06T14:58:33Z,90.6,Versa 4
2026-05-06T14:59:33Z,89.8,Versa 4
2026-05-06T15:00:33Z,88.9,Versa 4
2026-05-06T15:01:33Z,88.8,Versa 4
2026-05-06T15:02:33Z,88.7,Versa 4
2026-05-06T15:03:33Z,89.0,Versa 4
2026-05-06T15:04:33Z,88.8,Versa 4
2026-05-06T15:05:33Z,88.9,Versa 4
2026-05-06T15:06:33Z,89.1,Versa 4
2026-05-06T15:07:33Z,89.6,Versa 4
2026-05-06T15:08:33Z,89.3,Versa 4
2026-05-06T15:09:33Z,89.5,Versa 4
2026-05-06T15:10:33Z,89.5,Versa 4
2026-05-06T15:11:33Z,89.2,Versa 4
2026-05-06T15:12:33Z,89.1,Versa 4
2026-05-06T15:13:33Z,88.6,Versa 4
2026-05-06T15:14:33Z,88.5,Versa 4
2026-05-06T15:15:33Z,88.4,Versa 4
2026-05-06T15:16:33Z,88.4,Versa 4
2026-05-06T15:17:33Z,89.0,Versa 4
2026-05-06T15:18:33Z,89.0,Versa 4
2026-05-06T15:19:33Z,89.9,Versa 4
2026-05-06T15:20:33Z,90.5,Versa 4
2026-05-06T15:21:33Z,90.9,Versa 4
2026-05-06T15:22:33Z,90.7,Versa 4
2026-05-06T15:23:33Z,90.5,Versa 4
2026-05-06T15:24:33Z,90.0,Versa 4
2026-05-06T15:25:33Z,89.6,Versa 4
