timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise,data source
2026-05-08T05:40:30Z,15.2,1.5,9.5,15.0,1.7,11.2,13.4,0.7,2.9,15.2,1.5,9.5,Fitbit App
2026-05-09T10:12:30Z,14.6,0.6,4.8,14.8,1.2,16.2,14.6,1.7,4.0,14.6,0.6,4.8,Fitbit App
2026-05-10T09:17:00Z,16.0,1.1,7.4,15.6,1.1,7.9,17.2,2.0,4.6,16.0,1.1,7.4,Fitbit App
2026-05-12T08:57:00Z,16.0,0.9,7.8,15.4,1.6,5.5,16.0,1.9,3.3,16.0,0.9,7.8,Fitbit App
2026-05-13T03:22:30Z,15.6,2.0,6.0,14.4,0.7,6.0,13.4,0.5,2.6,15.6,2.0,6.0,Fitbit App
2026-05-14T11:22:30Z,15.6,1.1,8.8,15.0,1.4,9.9,18.0,0.6,3.9,15.6,1.1,8.8,Fitbit App
2026-05-15T09:09:30Z,15.2,2.1,10.1,14.4,1.2,9.3,17.4,1.6,6.9,15.2,2.1,10.1,Fitbit App
2026-05-17T12:28:00Z,15.4,1.5,9.2,14.6,1.2,14.1,14.6,1.1,2.7,15.4,1.5,9.2,Fitbit App
2026-05-18T09:22:00Z,15.6,0.9,7.2,15.4,1.2,5.9,14.6,1.8,3.1,15.6,0.9,7.2,Fitbit App
2026-05-18T18:03:30Z,17.2,0.8,6.9,16.2,1.7,6.5,0.0,0.0,0.0,17.2,0.8,6.9,Fitbit App
2026-05-19T11:05:30Z,16.2,1.6,7.8,15.0,1.5,8.9,17.6,2.4,3.7,16.2,1.6,7.8,Fitbit App
2026-05-20T06:04:30Z,15.8,1.2,10.4,15.4,1.6,8.5,15.6,1.7,4.8,15.8,1.2,10.4,Fitbit App
2026-05-20T14:35:30Z,16.2,1.2,5.5,16.2,1.8,8.4,14.6,0.8,3.3,16.2,1.2,5.5,Fitbit App
2026-05-21T13:50:30Z,17.2,1.1,5.7,16.8,1.2,4.6,0.0,0.0,0.0,17.2,1.1,5.7,Fitbit App
2026-05-22T05:35:30Z,15.6,1.5,5.7,15.0,0.9,8.8,15.8,0.9,2.6,15.6,1.5,5.7,Fitbit App
2026-05-24T10:19:30Z,16.2,1.3,12.5,15.6,1.5,13.7,16.0,1.1,3.1,16.2,1.3,12.5,Fitbit App
2026-05-26T05:24:30Z,15.8,0.9,8.2,15.0,1.3,11.0,17.2,2.4,4.0,15.8,0.9,8.2,Fitbit App
2026-05-28T10:23:30Z,15.4,1.2,10.4,15.6,1.3,9.1,16.2,1.3,4.3,15.4,1.2,10.4,Fitbit App
2026-05-29T09:17:30Z,15.6,1.3,8.4,15.4,1.6,16.3,17.2,1.7,6.9,15.6,1.3,8.4,Fitbit App
2026-05-31T09:51:00Z,15.4,1.3,7.2,15.0,1.1,8.2,16.8,2.8,5.0,15.4,1.3,7.2,Fitbit App
