start time,end time,data source
2026-05-28T00:08:00Z,2026-05-28T00:33:00Z,Fitbit App
2026-05-28T00:37:00Z,2026-05-28T02:39:00Z,Fitbit App
2026-05-28T10:24:00Z,2026-05-28T10:39:00Z,Fitbit App
2026-05-28T10:54:00Z,2026-05-28T11:07:00Z,Fitbit App
2026-05-28T11:19:00Z,2026-05-28T11:30:00Z,Fitbit App
2026-05-28T11:31:00Z,2026-05-28T11:52:00Z,Fitbit App
2026-05-28T11:58:00Z,2026-05-28T12:27:00Z,Fitbit App
2026-05-28T12:31:00Z,2026-05-28T13:20:00Z,Fitbit App
2026-05-28T14:18:00Z,2026-05-28T14:29:00Z,Fitbit App
2026-05-28T15:12:00Z,2026-05-28T15:27:00Z,Fitbit App
2026-05-28T15:32:00Z,2026-05-28T16:08:00Z,Fitbit App
2026-05-28T19:45:00Z,2026-05-28T20:04:00Z,Fitbit App
2026-05-28T20:30:00Z,2026-05-28T20:43:00Z,Fitbit App
2026-05-28T21:23:00Z,2026-05-28T21:33:00Z,Fitbit App
2026-05-28T22:18:00Z,2026-05-28T22:33:00Z,Fitbit App
2026-05-28T22:39:00Z,2026-05-28T23:23:00Z,Fitbit App
2026-05-28T23:32:00Z,2026-05-28T23:59:00Z,Fitbit App
