name,objectives,schedule,status,update_time,meta,title,subtitle,rationale,domain,progress_start_time,progress_end_time,progress
daily-active-minutes,"MEASURE: active-minutes, TARGET: AT_LEAST(30)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-azm,"MEASURE: active-zone-minutes, TARGET: AT_LEAST(22)",DAILY,ENABLED,1970-01-01 00:00:00+0000,,,,,GOALS,,,
daily-bedtime,"MEASURE: bedtime, TARGET: <UNKNOWN>",DAILY,DISABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-distance,"MEASURE: steps-distance, TARGET: AT_LEAST(8046720)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-energy-burned,"MEASURE: energy-burned, TARGET: AT_LEAST(2628)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-floors,"MEASURE: floors-count, TARGET: AT_LEAST(10)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-sleep-duration,"MEASURE: sleep-duration, TARGET: AT_LEAST(28800)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-steps,"MEASURE: steps-count, TARGET: AT_LEAST(10000)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-steps-streak,"MEASURE: , TARGET: <UNKNOWN>",ON_EDIT,ENABLED,2026-05-28 13:40:38+0000,,,,,STREAKS,2026-05-18 22:00:00+0000,2026-05-25 22:00:00+0000,"VALUE: 7.00, TEXT: "
daily-steps-streak,"MEASURE: , TARGET: <UNKNOWN>",ON_EDIT,ENABLED,2026-05-28 13:40:38+0000,,,,,STREAKS,2026-05-26 22:00:00+0000,2026-05-27 22:00:00+0000,"VALUE: 1.00, TEXT: "
daily-steps-streak,"MEASURE: , TARGET: <UNKNOWN>",ON_EDIT,ENABLED,2026-05-28 13:40:38+0000,,,,,STREAKS,2026-05-28 22:00:00+0000,2026-05-29 22:00:00+0000,"VALUE: 1.00, TEXT: "
daily-steps-streak,"MEASURE: , TARGET: <UNKNOWN>",ON_EDIT,ENABLED,2026-05-28 13:40:38+0000,,,,,STREAKS,2026-05-30 22:00:00+0000,2026-06-01 22:00:00+0000,"VALUE: 2.00, TEXT: "
daily-steps-streak,"MEASURE: , TARGET: <UNKNOWN>",ON_EDIT,ENABLED,2026-05-28 13:40:38+0000,,,,,STREAKS,2026-06-04 22:00:00+0000,2026-06-07 22:00:00+0000,"VALUE: 3.00, TEXT: "
daily-wake-time,"MEASURE: wake-time, TARGET: <UNKNOWN>",DAILY,DISABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
daily-water-consumed,"MEASURE: water-consumed-ml, TARGET: AT_LEAST(1893)",DAILY,ENABLED,2026-05-06 09:46:38+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 14)",2026-05-13 00:00:00 - 2026-05-14 00:00:00,ENABLED,2026-05-15 00:12:58+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 21)",2026-05-21 00:00:00 - 2026-05-22 00:00:00,ENABLED,2026-05-21 07:52:38+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(16, 35)",2026-06-01 00:00:00 - 2026-06-02 00:00:00,ENABLED,2026-06-02 14:41:57+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(19, 39)",2026-06-03 00:00:00 - 2026-06-04 00:00:00,ENABLED,2026-06-02 22:17:53+0000,,,,,GOALS,,,
