timestamp,average_value,lower_bound,upper_bound
2026-05-07T00:00:00Z,96.6,94.4,99.1
2026-05-09T00:00:00Z,96.0,92.8,100.0
2026-05-10T00:00:00Z,97.1,94.5,99.0
2026-05-11T00:00:00Z,96.5,94.8,98.4
2026-05-12T00:00:00Z,98.6,95.5,99.9
2026-05-13T00:00:00Z,95.3,91.0,98.7
2026-05-14T00:00:00Z,99.2,98.3,100.0
2026-05-15T00:00:00Z,96.3,94.7,98.6
2026-05-19T00:00:00Z,96.1,94.8,98.7
2026-05-20T00:00:00Z,97.2,95.5,99.1
2026-05-21T00:00:00Z,96.7,96.0,98.0
2026-05-22T00:00:00Z,97.5,91.4,100.0
2026-05-23T00:00:00Z,96.5,94.0,99.8
2026-05-24T00:00:00Z,96.9,92.9,99.9
2026-05-25T00:00:00Z,96.4,95.6,97.6
2026-05-26T00:00:00Z,96.0,94.8,97.7
2026-05-27T00:00:00Z,97.4,94.9,99.4
2026-05-28T00:00:00Z,98.2,96.6,100.0
2026-05-29T00:00:00Z,97.6,95.8,100.0
2026-05-30T00:00:00Z,97.9,96.4,100.0
2026-05-31T00:00:00Z,96.4,93.1,99.1
2026-06-01T00:00:00Z,97.8,95.2,100.0
2026-06-02T00:00:00Z,98.1,96.2,99.5
2026-06-03T00:00:00Z,95.4,92.5,98.4
2026-06-04T00:00:00Z,96.9,95.4,98.5
2026-06-05T00:00:00Z,96.4,95.6,98.5
2026-06-06T00:00:00Z,97.1,95.6,99.4
2026-06-07T00:00:00Z,97.1,95.2,100.0
2026-06-08T00:00:00Z,97.4,95.2,99.4
