timestamp,steps,distance millimeters,altitude gain millimeters,data source
2026-05-07T07:58:15Z,1,0,0,Versa 4
2026-05-07T07:58:16Z,1,0,0,Versa 4
2026-05-07T07:58:17Z,1,0,-304,Versa 4
2026-05-07T07:58:18Z,0,0,-609,Versa 4
2026-05-07T07:58:19Z,0,0,304,Versa 4
2026-05-07T07:58:20Z,3,0,-304,Versa 4
2026-05-07T07:58:21Z,2,0,-304,Versa 4
2026-05-07T07:58:22Z,2,250,0,Versa 4
2026-05-07T07:58:23Z,1,360,609,Versa 4
2026-05-07T07:58:24Z,2,490,0,Versa 4
2026-05-07T07:58:25Z,1,630,-609,Versa 4
2026-05-07T07:58:26Z,2,810,609,Versa 4
2026-05-07T07:58:27Z,1,830,0,Versa 4
2026-05-07T07:58:28Z,1,870,-304,Versa 4
2026-05-07T07:58:29Z,2,880,304,Versa 4
2026-05-07T07:58:30Z,1,910,0,Versa 4
2026-05-07T07:58:31Z,0,850,0,Versa 4
2026-05-07T07:58:32Z,0,1750,-914,Versa 4
2026-05-07T07:58:33Z,0,0,0,Versa 4
2026-05-07T07:58:34Z,0,0,0,Versa 4
2026-05-07T07:58:35Z,0,0,304,Versa 4
2026-05-07T07:58:36Z,0,0,-609,Versa 4
2026-05-07T07:58:37Z,0,0,0,Versa 4
2026-05-07T07:58:38Z,0,0,304,Versa 4
2026-05-07T07:58:39Z,0,0,0,Versa 4
2026-05-07T07:58:40Z,0,0,-609,Versa 4
2026-05-07T07:58:41Z,0,0,304,Versa 4
2026-05-07T07:58:42Z,0,0,0,Versa 4
2026-05-07T07:58:43Z,0,0,0,Versa 4
2026-05-07T07:58:44Z,0,0,914,Versa 4
2026-05-07T07:58:45Z,1,0,0,Versa 4
2026-05-07T07:58:46Z,1,0,0,Versa 4
2026-05-07T07:58:47Z,1,0,-304,Versa 4
2026-05-07T07:58:48Z,2,0,0,Versa 4
2026-05-07T07:58:49Z,0,0,304,Versa 4
2026-05-07T07:58:50Z,1,0,0,Versa 4
2026-05-07T07:58:51Z,2,0,-914,Versa 4
2026-05-07T07:58:52Z,0,0,0,Versa 4
2026-05-07T07:58:53Z,2,0,609,Versa 4
2026-05-07T07:58:54Z,1,0,-609,Versa 4
2026-05-07T07:58:55Z,0,0,304,Versa 4
2026-05-07T07:58:56Z,2,140,0,Versa 4
2026-05-07T07:58:57Z,2,330,0,Versa 4
2026-05-07T07:58:58Z,1,500,0,Versa 4
2026-05-07T07:58:59Z,2,710,609,Versa 4
2026-05-07T07:59:00Z,2,940,0,Versa 4
2026-05-07T07:59:01Z,1,1000,0,Versa 4
2026-05-07T07:59:02Z,0,970,-304,Versa 4
2026-05-07T07:59:03Z,2,990,0,Versa 4
2026-05-07T07:59:04Z,0,930,304,Versa 4
2026-05-07T07:59:05Z,1,850,-304,Versa 4
2026-05-07T07:59:06Z,1,780,0,Versa 4
2026-05-07T07:59:07Z,1,770,0,Versa 4
2026-05-07T07:59:08Z,1,730,304,Versa 4
2026-05-07T07:59:09Z,2,770,-609,Versa 4
2026-05-07T07:59:10Z,0,770,0,Versa 4
2026-05-07T07:59:11Z,0,730,304,Versa 4
2026-05-07T07:59:12Z,0,650,0,Versa 4
2026-05-07T07:59:13Z,0,0,0,Versa 4
2026-05-07T07:59:14Z,0,0,0,Versa 4
2026-05-07T07:59:15Z,0,0,0,Versa 4
2026-05-07T07:59:16Z,0,0,0,Versa 4
