start time,end time,data source
2026-05-29T05:45:00Z,2026-05-29T06:03:00Z,Fitbit App
2026-05-29T06:49:00Z,2026-05-29T07:25:00Z,Fitbit App
2026-05-29T08:08:00Z,2026-05-29T08:20:00Z,Fitbit App
2026-05-29T08:46:00Z,2026-05-29T09:16:00Z,Fitbit App
2026-05-29T09:18:00Z,2026-05-29T09:30:00Z,Fitbit App
2026-05-29T10:26:00Z,2026-05-29T11:25:00Z,Fitbit App
2026-05-29T12:03:00Z,2026-05-29T12:18:00Z,Fitbit App
2026-05-29T12:36:00Z,2026-05-29T12:56:00Z,Fitbit App
2026-05-29T12:58:00Z,2026-05-29T13:37:00Z,Fitbit App
2026-05-29T13:44:00Z,2026-05-29T14:01:00Z,Fitbit App
2026-05-29T14:18:00Z,2026-05-29T15:15:00Z,Fitbit App
2026-05-29T15:49:00Z,2026-05-29T16:02:00Z,Fitbit App
2026-05-29T16:14:00Z,2026-05-29T16:46:00Z,Fitbit App
2026-05-29T19:00:00Z,2026-05-29T19:11:00Z,Fitbit App
2026-05-29T20:07:00Z,2026-05-29T20:28:00Z,Fitbit App
2026-05-29T20:29:00Z,2026-05-29T21:06:00Z,Fitbit App
2026-05-29T21:16:00Z,2026-05-29T21:43:00Z,Fitbit App
2026-05-29T22:03:00Z,2026-05-29T22:45:00Z,Fitbit App
