timestamp,beats per minute,data source
2026-05-23T07:12:13Z,114.0,Versa 4
2026-05-23T07:12:15Z,113.0,Versa 4
2026-05-23T07:12:18Z,115.0,Versa 4
2026-05-23T07:12:20Z,117.0,Versa 4
2026-05-23T07:12:22Z,115.0,Versa 4
2026-05-23T07:12:24Z,117.0,Versa 4
2026-05-23T07:12:26Z,115.0,Versa 4
2026-05-23T07:12:28Z,116.0,Versa 4
2026-05-23T07:12:30Z,115.0,Versa 4
2026-05-23T07:12:32Z,116.0,Versa 4
2026-05-23T07:12:34Z,114.0,Versa 4
2026-05-23T07:12:36Z,113.0,Versa 4
2026-05-23T07:12:38Z,111.0,Versa 4
2026-05-23T07:12:41Z,111.0,Versa 4
2026-05-23T07:12:43Z,108.0,Versa 4
2026-05-23T07:12:45Z,106.0,Versa 4
2026-05-23T07:12:48Z,106.0,Versa 4
2026-05-23T07:12:49Z,104.0,Versa 4
2026-05-23T07:12:51Z,100.0,Versa 4
2026-05-23T07:12:53Z,94.0,Versa 4
2026-05-23T07:12:55Z,91.0,Versa 4
2026-05-23T07:12:57Z,90.0,Versa 4
2026-05-23T07:12:59Z,88.0,Versa 4
2026-05-23T07:13:02Z,88.0,Versa 4
2026-05-23T07:13:05Z,88.0,Versa 4
2026-05-23T07:13:06Z,87.0,Versa 4
2026-05-23T07:13:08Z,86.0,Versa 4
2026-05-23T07:13:10Z,84.0,Versa 4
2026-05-23T07:13:12Z,82.0,Versa 4
2026-05-23T07:13:14Z,81.0,Versa 4
2026-05-23T07:13:16Z,80.0,Versa 4
2026-05-23T07:13:18Z,80.0,Versa 4
2026-05-23T07:13:21Z,80.0,Versa 4
2026-05-23T07:13:22Z,82.0,Versa 4
2026-05-23T07:13:25Z,82.0,Versa 4
2026-05-23T07:13:26Z,82.0,Versa 4
2026-05-23T07:13:27Z,82.0,Versa 4
2026-05-23T07:13:29Z,83.0,Versa 4
2026-05-23T07:13:31Z,82.0,Versa 4
2026-05-23T07:13:33Z,81.0,Versa 4
2026-05-23T07:13:36Z,81.0,Versa 4
2026-05-23T07:13:37Z,82.0,Versa 4
2026-05-23T07:13:39Z,83.0,Versa 4
2026-05-23T07:13:41Z,86.0,Versa 4
2026-05-23T07:13:43Z,87.0,Versa 4
2026-05-23T07:13:45Z,85.0,Versa 4
2026-05-23T07:13:47Z,83.0,Versa 4
2026-05-23T07:13:49Z,79.0,Versa 4
2026-05-23T07:13:51Z,77.0,Versa 4
2026-05-23T07:13:52Z,76.0,Versa 4
2026-05-23T07:13:54Z,75.0,Versa 4
2026-05-23T07:13:56Z,74.0,Versa 4
2026-05-23T07:13:58Z,73.0,Versa 4
2026-05-23T07:14:00Z,73.0,Versa 4
2026-05-23T07:14:02Z,74.0,Versa 4
2026-05-23T07:14:05Z,74.0,Versa 4
2026-05-23T07:14:06Z,73.0,Versa 4
2026-05-23T07:14:08Z,72.0,Versa 4
2026-05-23T07:14:11Z,72.0,Versa 4
2026-05-23T07:14:12Z,72.0,Versa 4
2026-05-23T07:14:14Z,73.0,Versa 4
2026-05-23T07:14:17Z,75.0,Versa 4
2026-05-23T07:14:19Z,76.0,Versa 4
2026-05-23T07:14:21Z,76.0,Versa 4
2026-05-23T07:14:23Z,74.0,Versa 4
2026-05-23T07:14:25Z,73.0,Versa 4
2026-05-23T07:14:27Z,72.0,Versa 4
2026-05-23T07:14:29Z,70.0,Versa 4
2026-05-23T07:14:32Z,70.0,Versa 4
2026-05-23T07:14:33Z,68.0,Versa 4
2026-05-23T07:14:36Z,68.0,Versa 4
2026-05-23T07:14:39Z,68.0,Versa 4
2026-05-23T07:14:40Z,67.0,Versa 4
2026-05-23T07:14:43Z,67.0,Versa 4
2026-05-23T07:14:44Z,66.0,Versa 4
2026-05-23T07:14:47Z,66.0,Versa 4
2026-05-23T07:14:50Z,67.0,Versa 4
2026-05-23T07:14:53Z,67.0,Versa 4
2026-05-23T07:14:56Z,66.0,Versa 4
2026-05-23T07:14:59Z,66.0,Versa 4
2026-05-23T07:15:00Z,67.0,Versa 4
2026-05-23T07:15:02Z,68.0,Versa 4
2026-05-23T07:15:03Z,72.0,Versa 4
2026-05-23T07:15:05Z,75.0,Versa 4
2026-05-23T07:15:07Z,76.0,Versa 4
2026-05-23T07:15:09Z,75.0,Versa 4
2026-05-23T07:15:11Z,74.0,Versa 4
2026-05-23T07:15:13Z,73.0,Versa 4
2026-05-23T07:15:15Z,72.0,Versa 4
2026-05-23T07:15:18Z,72.0,Versa 4
2026-05-23T07:15:21Z,72.0,Versa 4
