timestamp,steps,data source
2026-06-01T00:30:00Z,6,Versa 4
2026-06-01T01:11:00Z,15,Versa 4
2026-06-01T01:18:00Z,8,Versa 4
2026-06-01T02:55:00Z,4,Versa 4
2026-06-01T03:47:00Z,10,Versa 4
2026-06-01T04:08:00Z,10,Versa 4
2026-06-01T04:23:00Z,10,Versa 4
2026-06-01T04:24:00Z,2,Versa 4
2026-06-01T04:59:00Z,9,Versa 4
2026-06-01T06:03:00Z,25,Versa 4
2026-06-01T08:05:00Z,4,Versa 4
2026-06-01T08:20:00Z,7,Versa 4
2026-06-01T09:13:00Z,8,Versa 4
2026-06-01T09:14:00Z,40,Versa 4
2026-06-01T09:15:00Z,23,Versa 4
2026-06-01T09:16:00Z,9,Versa 4
2026-06-01T09:22:00Z,6,Versa 4
2026-06-01T09:25:00Z,8,Versa 4
2026-06-01T09:57:00Z,7,Versa 4
2026-06-01T09:58:00Z,39,Versa 4
2026-06-01T09:59:00Z,80,Versa 4
2026-06-01T10:00:00Z,74,Versa 4
2026-06-01T10:01:00Z,35,Versa 4
2026-06-01T10:02:00Z,38,Versa 4
2026-06-01T10:03:00Z,36,Versa 4
2026-06-01T10:04:00Z,12,Versa 4
2026-06-01T10:06:00Z,20,Versa 4
2026-06-01T10:11:00Z,11,Versa 4
2026-06-01T10:13:00Z,6,Versa 4
2026-06-01T10:14:00Z,18,Versa 4
2026-06-01T10:16:00Z,11,Versa 4
2026-06-01T10:17:00Z,43,Versa 4
2026-06-01T10:34:00Z,32,Versa 4
2026-06-01T10:35:00Z,128,Versa 4
2026-06-01T10:36:00Z,124,Versa 4
2026-06-01T10:37:00Z,120,Versa 4
2026-06-01T10:38:00Z,123,Versa 4
2026-06-01T10:39:00Z,49,Versa 4
2026-06-01T11:14:00Z,6,Versa 4
2026-06-01T11:44:00Z,8,Versa 4
2026-06-01T11:54:00Z,7,Versa 4
2026-06-01T11:56:00Z,10,Versa 4
2026-06-01T11:57:00Z,19,Versa 4
2026-06-01T11:58:00Z,53,Versa 4
2026-06-01T11:59:00Z,117,Versa 4
2026-06-01T12:00:00Z,118,Versa 4
2026-06-01T12:01:00Z,126,Versa 4
2026-06-01T12:02:00Z,129,Versa 4
2026-06-01T12:03:00Z,102,Versa 4
2026-06-01T12:04:00Z,22,Versa 4
2026-06-01T12:09:00Z,7,Versa 4
2026-06-01T12:13:00Z,4,Versa 4
2026-06-01T12:14:00Z,16,Versa 4
2026-06-01T12:23:00Z,9,Versa 4
2026-06-01T12:25:00Z,24,Versa 4
2026-06-01T12:26:00Z,7,Versa 4
2026-06-01T12:29:00Z,21,Versa 4
2026-06-01T12:30:00Z,18,Versa 4
2026-06-02T22:10:00Z,20,Versa 4
2026-06-02T22:11:00Z,33,Versa 4
2026-06-02T23:19:00Z,12,Versa 4
2026-06-02T23:41:00Z,7,Versa 4
2026-06-03T00:02:00Z,10,Versa 4
2026-06-03T00:14:00Z,8,Versa 4
2026-06-03T00:24:00Z,4,Versa 4
2026-06-03T00:29:00Z,4,Versa 4
2026-06-03T00:49:00Z,11,Versa 4
2026-06-03T01:19:00Z,6,Versa 4
2026-06-03T01:29:00Z,9,Versa 4
2026-06-03T01:30:00Z,16,Versa 4
2026-06-03T01:35:00Z,9,Versa 4
2026-06-03T01:37:00Z,8,Versa 4
2026-06-03T01:56:00Z,31,Versa 4
2026-06-03T22:03:00Z,7,Versa 4
2026-06-03T22:16:00Z,8,Versa 4
2026-06-03T22:17:00Z,11,Versa 4
2026-06-03T22:46:00Z,8,Versa 4
2026-06-03T23:02:00Z,49,Versa 4
2026-06-03T23:03:00Z,13,Versa 4
2026-06-03T23:04:00Z,21,Versa 4
2026-06-03T23:06:00Z,16,Versa 4
2026-06-03T23:12:00Z,19,Versa 4
2026-06-03T23:14:00Z,8,Versa 4
2026-06-03T23:19:00Z,6,Versa 4
2026-06-03T23:21:00Z,8,Versa 4
2026-06-03T23:22:00Z,8,Versa 4
2026-06-03T23:23:00Z,9,Versa 4
2026-06-03T23:29:00Z,4,Versa 4
2026-06-03T23:31:00Z,13,Versa 4
2026-06-03T23:32:00Z,10,Versa 4
2026-06-03T23:33:00Z,23,Versa 4
2026-06-03T23:40:00Z,12,Versa 4
2026-06-03T23:41:00Z,9,Versa 4
2026-06-03T23:42:00Z,6,Versa 4
2026-06-03T23:46:00Z,10,Versa 4
2026-06-03T23:47:00Z,11,Versa 4
2026-06-03T23:52:00Z,8,Versa 4
2026-06-03T23:57:00Z,7,Versa 4
2026-06-04T00:01:00Z,8,Versa 4
2026-06-04T00:02:00Z,11,Versa 4
2026-06-04T00:03:00Z,7,Versa 4
2026-06-04T00:29:00Z,8,Versa 4
2026-06-04T03:50:00Z,15,Versa 4
2026-06-04T03:51:00Z,9,Versa 4
2026-06-04T03:54:00Z,15,Versa 4
2026-06-04T04:30:00Z,6,Versa 4
2026-06-04T05:39:00Z,7,Versa 4
2026-06-04T06:41:00Z,4,Versa 4
2026-06-04T07:12:00Z,13,Versa 4
2026-06-04T07:44:00Z,7,Versa 4
2026-06-04T09:00:00Z,8,Versa 4
2026-06-04T09:13:00Z,5,Versa 4
2026-06-04T09:14:00Z,20,Versa 4
2026-06-04T09:15:00Z,11,Versa 4
2026-06-04T09:20:00Z,13,Versa 4
2026-06-04T09:50:00Z,8,Versa 4
2026-06-04T09:55:00Z,14,Versa 4
2026-06-04T09:56:00Z,8,Versa 4
2026-06-04T10:07:00Z,9,Versa 4
2026-06-04T10:11:00Z,10,Versa 4
2026-06-04T10:18:00Z,7,Versa 4
2026-06-04T10:22:00Z,10,Versa 4
2026-06-04T10:23:00Z,7,Versa 4
2026-06-04T10:24:00Z,17,Versa 4
2026-06-04T10:25:00Z,30,Versa 4
2026-06-04T10:26:00Z,10,Versa 4
2026-06-04T10:30:00Z,4,Versa 4
2026-06-04T10:33:00Z,7,Versa 4
2026-06-04T10:35:00Z,14,Versa 4
2026-06-04T10:38:00Z,5,Versa 4
2026-06-04T10:49:00Z,15,Versa 4
2026-06-04T10:50:00Z,7,Versa 4
2026-06-04T11:10:00Z,8,Versa 4
2026-06-04T11:11:00Z,9,Versa 4
2026-06-04T11:20:00Z,23,Versa 4
2026-06-04T11:31:00Z,20,Versa 4
2026-06-04T11:33:00Z,48,Versa 4
2026-06-04T11:34:00Z,35,Versa 4
2026-06-04T11:35:00Z,65,Versa 4
2026-06-04T11:36:00Z,65,Versa 4
2026-06-04T11:37:00Z,26,Versa 4
2026-06-04T11:57:00Z,20,Versa 4
2026-06-04T11:58:00Z,53,Versa 4
2026-06-04T11:59:00Z,79,Versa 4
2026-06-04T12:00:00Z,91,Versa 4
2026-06-04T12:01:00Z,63,Versa 4
2026-06-04T12:02:00Z,32,Versa 4
2026-06-04T12:03:00Z,16,Versa 4
2026-06-04T12:04:00Z,50,Versa 4
2026-06-04T12:05:00Z,28,Versa 4
2026-06-04T12:06:00Z,26,Versa 4
2026-06-04T12:08:00Z,31,Versa 4
2026-06-04T12:09:00Z,36,Versa 4
2026-06-04T12:10:00Z,45,Versa 4
2026-06-04T12:11:00Z,45,Versa 4
2026-06-04T12:12:00Z,34,Versa 4
2026-06-04T12:13:00Z,24,Versa 4
2026-06-04T12:14:00Z,21,Versa 4
2026-06-04T12:15:00Z,58,Versa 4
2026-06-04T12:16:00Z,22,Versa 4
2026-06-04T12:17:00Z,45,Versa 4
2026-06-04T12:18:00Z,18,Versa 4
2026-06-04T12:19:00Z,7,Versa 4
2026-06-04T12:21:00Z,24,Versa 4
2026-06-04T12:22:00Z,49,Versa 4
2026-06-04T12:23:00Z,31,Versa 4
2026-06-04T12:24:00Z,22,Versa 4
2026-06-04T12:25:00Z,59,Versa 4
2026-06-04T12:26:00Z,77,Versa 4
2026-06-04T12:27:00Z,52,Versa 4
2026-06-04T12:28:00Z,78,Versa 4
2026-06-04T12:29:00Z,55,Versa 4
2026-06-04T12:30:00Z,63,Versa 4
2026-06-04T12:31:00Z,66,Versa 4
2026-06-04T12:32:00Z,45,Versa 4
2026-06-04T12:33:00Z,54,Versa 4
2026-06-04T12:34:00Z,15,Versa 4
2026-06-04T12:35:00Z,56,Versa 4
2026-06-04T12:36:00Z,20,Versa 4
2026-06-04T12:37:00Z,55,Versa 4
2026-06-04T12:38:00Z,81,Versa 4
2026-06-04T12:39:00Z,71,Versa 4
2026-06-04T12:40:00Z,78,Versa 4
2026-06-04T12:41:00Z,40,Versa 4
2026-06-04T12:42:00Z,35,Versa 4
2026-06-04T12:43:00Z,9,Versa 4
2026-06-04T12:44:00Z,21,Versa 4
2026-06-04T12:45:00Z,33,Versa 4
2026-06-04T12:46:00Z,39,Versa 4
2026-06-04T12:47:00Z,69,Versa 4
2026-06-04T12:48:00Z,32,Versa 4
2026-06-04T12:49:00Z,56,Versa 4
2026-06-04T12:50:00Z,58,Versa 4
2026-06-04T12:51:00Z,55,Versa 4
2026-06-04T12:52:00Z,42,Versa 4
2026-06-04T12:53:00Z,19,Versa 4
2026-06-04T12:55:00Z,14,Versa 4
2026-06-04T12:56:00Z,42,Versa 4
2026-06-04T12:57:00Z,59,Versa 4
2026-06-04T12:58:00Z,80,Versa 4
2026-06-04T12:59:00Z,43,Versa 4
2026-06-04T13:00:00Z,30,Versa 4
2026-06-04T13:01:00Z,37,Versa 4
2026-06-04T13:02:00Z,42,Versa 4
2026-06-04T13:03:00Z,12,Versa 4
2026-06-04T13:04:00Z,60,Versa 4
2026-06-04T13:05:00Z,45,Versa 4
2026-06-04T13:06:00Z,21,Versa 4
2026-06-04T13:07:00Z,50,Versa 4
2026-06-04T13:08:00Z,19,Versa 4
2026-06-04T13:09:00Z,25,Versa 4
2026-06-04T13:10:00Z,50,Versa 4
2026-06-04T13:11:00Z,50,Versa 4
2026-06-04T13:12:00Z,30,Versa 4
2026-06-04T13:13:00Z,46,Versa 4
2026-06-04T13:14:00Z,33,Versa 4
2026-06-04T13:15:00Z,19,Versa 4
2026-06-04T13:16:00Z,51,Versa 4
2026-06-04T13:17:00Z,73,Versa 4
2026-06-04T13:18:00Z,78,Versa 4
2026-06-04T13:19:00Z,51,Versa 4
2026-06-04T13:20:00Z,72,Versa 4
2026-06-04T13:21:00Z,70,Versa 4
2026-06-04T13:22:00Z,45,Versa 4
2026-06-04T13:23:00Z,37,Versa 4
2026-06-04T13:24:00Z,17,Versa 4
2026-06-04T13:25:00Z,31,Versa 4
2026-06-04T13:26:00Z,30,Versa 4
2026-06-04T13:27:00Z,98,Versa 4
2026-06-04T13:28:00Z,82,Versa 4
2026-06-04T13:29:00Z,70,Versa 4
2026-06-04T13:30:00Z,80,Versa 4
2026-06-04T13:31:00Z,53,Versa 4
2026-06-04T13:32:00Z,23,Versa 4
2026-06-04T13:33:00Z,19,Versa 4
2026-06-04T13:34:00Z,69,Versa 4
2026-06-04T13:35:00Z,53,Versa 4
2026-06-04T13:36:00Z,26,Versa 4
2026-06-04T13:37:00Z,55,Versa 4
2026-06-04T13:38:00Z,6,Versa 4
2026-06-04T13:39:00Z,63,Versa 4
2026-06-04T13:40:00Z,23,Versa 4
2026-06-04T13:41:00Z,26,Versa 4
2026-06-04T13:42:00Z,21,Versa 4
2026-06-04T13:43:00Z,24,Versa 4
2026-06-04T13:45:00Z,10,Versa 4
2026-06-04T13:46:00Z,33,Versa 4
2026-06-04T13:47:00Z,35,Versa 4
2026-06-04T13:48:00Z,37,Versa 4
2026-06-04T13:49:00Z,21,Versa 4
2026-06-04T13:50:00Z,51,Versa 4
2026-06-04T13:51:00Z,59,Versa 4
2026-06-04T13:52:00Z,24,Versa 4
2026-06-04T13:53:00Z,67,Versa 4
2026-06-04T13:54:00Z,66,Versa 4
2026-06-04T13:55:00Z,59,Versa 4
2026-06-04T13:56:00Z,91,Versa 4
2026-06-04T13:57:00Z,7,Versa 4
2026-06-04T13:58:00Z,73,Versa 4
2026-06-04T13:59:00Z,60,Versa 4
2026-06-04T14:00:00Z,39,Versa 4
2026-06-04T14:01:00Z,11,Versa 4
2026-06-04T14:02:00Z,27,Versa 4
2026-06-04T14:03:00Z,39,Versa 4
2026-06-04T14:04:00Z,55,Versa 4
2026-06-04T14:05:00Z,11,Versa 4
2026-06-04T14:15:00Z,47,Versa 4
2026-06-04T14:16:00Z,16,Versa 4
2026-06-04T14:17:00Z,40,Versa 4
2026-06-04T14:18:00Z,58,Versa 4
2026-06-04T14:19:00Z,57,Versa 4
2026-06-04T14:20:00Z,27,Versa 4
2026-06-04T14:21:00Z,47,Versa 4
2026-06-04T14:22:00Z,44,Versa 4
2026-06-04T14:23:00Z,21,Versa 4
2026-06-04T14:24:00Z,6,Versa 4
2026-06-04T14:25:00Z,39,Versa 4
2026-06-04T14:26:00Z,61,Versa 4
2026-06-04T14:27:00Z,52,Versa 4
2026-06-04T14:28:00Z,44,Versa 4
2026-06-04T14:29:00Z,75,Versa 4
2026-06-04T14:30:00Z,80,Versa 4
2026-06-04T14:31:00Z,53,Versa 4
2026-06-04T14:32:00Z,30,Versa 4
2026-06-04T14:33:00Z,25,Versa 4
2026-06-04T14:34:00Z,12,Versa 4
2026-06-04T14:35:00Z,81,Versa 4
2026-06-04T14:36:00Z,49,Versa 4
2026-06-04T14:37:00Z,16,Versa 4
2026-06-04T14:38:00Z,24,Versa 4
2026-06-04T14:39:00Z,41,Versa 4
2026-06-04T14:40:00Z,29,Versa 4
2026-06-04T14:41:00Z,46,Versa 4
2026-06-04T14:42:00Z,69,Versa 4
2026-06-04T14:43:00Z,76,Versa 4
2026-06-04T14:44:00Z,62,Versa 4
2026-06-04T14:45:00Z,58,Versa 4
2026-06-04T14:46:00Z,41,Versa 4
2026-06-04T14:47:00Z,27,Versa 4
2026-06-04T14:48:00Z,24,Versa 4
2026-06-04T14:49:00Z,31,Versa 4
2026-06-04T14:50:00Z,38,Versa 4
2026-06-04T14:51:00Z,46,Versa 4
2026-06-04T14:52:00Z,40,Versa 4
2026-06-04T14:53:00Z,7,Versa 4
2026-06-04T14:54:00Z,41,Versa 4
2026-06-04T14:55:00Z,43,Versa 4
2026-06-04T14:56:00Z,45,Versa 4
2026-06-04T14:57:00Z,40,Versa 4
2026-06-04T14:58:00Z,72,Versa 4
2026-06-04T14:59:00Z,41,Versa 4
2026-06-04T15:00:00Z,46,Versa 4
2026-06-04T15:01:00Z,38,Versa 4
2026-06-04T15:02:00Z,82,Versa 4
2026-06-04T15:03:00Z,22,Versa 4
2026-06-04T15:04:00Z,8,Versa 4
2026-06-04T15:06:00Z,73,Versa 4
2026-06-04T15:07:00Z,64,Versa 4
2026-06-04T15:08:00Z,59,Versa 4
2026-06-04T15:09:00Z,40,Versa 4
2026-06-04T15:10:00Z,52,Versa 4
2026-06-04T15:11:00Z,60,Versa 4
2026-06-04T15:12:00Z,54,Versa 4
2026-06-04T15:13:00Z,9,Versa 4
2026-06-04T15:14:00Z,20,Versa 4
2026-06-04T15:15:00Z,16,Versa 4
2026-06-04T15:16:00Z,45,Versa 4
2026-06-04T15:17:00Z,50,Versa 4
2026-06-04T15:18:00Z,27,Versa 4
2026-06-04T15:19:00Z,53,Versa 4
2026-06-04T15:20:00Z,34,Versa 4
2026-06-04T15:22:00Z,33,Versa 4
2026-06-04T15:23:00Z,29,Versa 4
2026-06-04T15:24:00Z,40,Versa 4
2026-06-04T15:25:00Z,47,Versa 4
2026-06-04T15:26:00Z,33,Versa 4
2026-06-04T15:27:00Z,48,Versa 4
2026-06-04T15:28:00Z,31,Versa 4
2026-06-04T15:29:00Z,40,Versa 4
2026-06-04T15:30:00Z,29,Versa 4
2026-06-04T15:31:00Z,24,Versa 4
2026-06-04T15:32:00Z,20,Versa 4
2026-06-04T15:33:00Z,28,Versa 4
2026-06-04T15:34:00Z,36,Versa 4
2026-06-04T15:35:00Z,32,Versa 4
2026-06-04T15:36:00Z,38,Versa 4
2026-06-04T15:37:00Z,50,Versa 4
2026-06-04T15:38:00Z,24,Versa 4
2026-06-04T15:39:00Z,41,Versa 4
2026-06-04T15:40:00Z,32,Versa 4
2026-06-04T15:41:00Z,45,Versa 4
2026-06-04T15:42:00Z,65,Versa 4
2026-06-04T15:43:00Z,61,Versa 4
2026-06-04T15:44:00Z,4,Versa 4
2026-06-04T15:46:00Z,29,Versa 4
2026-06-04T15:47:00Z,30,Versa 4
2026-06-04T15:48:00Z,9,Versa 4
2026-06-04T15:49:00Z,23,Versa 4
2026-06-04T15:50:00Z,45,Versa 4
2026-06-04T15:51:00Z,14,Versa 4
2026-06-04T15:52:00Z,9,Versa 4
2026-06-04T15:53:00Z,38,Versa 4
2026-06-04T15:54:00Z,36,Versa 4
2026-06-04T15:55:00Z,37,Versa 4
2026-06-04T15:56:00Z,14,Versa 4
2026-06-04T15:57:00Z,23,Versa 4
2026-06-04T15:58:00Z,54,Versa 4
2026-06-04T15:59:00Z,60,Versa 4
2026-06-04T16:00:00Z,72,Versa 4
2026-06-04T16:01:00Z,57,Versa 4
2026-06-04T16:02:00Z,44,Versa 4
2026-06-04T16:03:00Z,68,Versa 4
2026-06-04T16:04:00Z,55,Versa 4
2026-06-04T16:05:00Z,92,Versa 4
2026-06-04T16:06:00Z,104,Versa 4
2026-06-04T16:07:00Z,83,Versa 4
2026-06-04T16:08:00Z,59,Versa 4
2026-06-04T16:09:00Z,60,Versa 4
2026-06-04T16:10:00Z,33,Versa 4
2026-06-04T16:11:00Z,38,Versa 4
2026-06-04T16:12:00Z,22,Versa 4
2026-06-04T16:13:00Z,24,Versa 4
2026-06-04T16:14:00Z,31,Versa 4
2026-06-04T16:15:00Z,33,Versa 4
2026-06-04T16:16:00Z,37,Versa 4
2026-06-04T16:17:00Z,33,Versa 4
2026-06-04T16:18:00Z,47,Versa 4
2026-06-04T16:19:00Z,61,Versa 4
2026-06-04T16:20:00Z,50,Versa 4
2026-06-04T16:21:00Z,35,Versa 4
2026-06-04T16:22:00Z,59,Versa 4
2026-06-04T16:23:00Z,68,Versa 4
2026-06-04T16:24:00Z,38,Versa 4
2026-06-04T16:25:00Z,34,Versa 4
2026-06-04T16:26:00Z,56,Versa 4
2026-06-04T16:27:00Z,42,Versa 4
2026-06-04T16:28:00Z,36,Versa 4
