timestamp,lap time,stroke count,stroke type,data source
2026-06-01T09:58:02Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T09:58:32Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T09:59:00Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T09:59:42Z,00:00:30.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T10:03:21Z,00:00:26.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T10:05:02Z,00:00:33.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T10:05:50Z,00:00:53.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T10:07:41Z,00:00:27.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T10:13:16Z,00:00:43.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T10:14:17Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T10:17:13Z,00:00:21.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T10:34:22Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T12:25:56Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-01T12:26:23Z,00:00:16.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-03T01:29:25Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-03T23:36:17Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T00:01:52Z,00:00:24.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T00:03:35Z,00:00:38.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T09:14:36Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T11:34:40Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T11:35:32Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T11:37:01Z,00:00:25.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T11:57:15Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T11:57:37Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:00:31Z,00:00:31.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:01:20Z,00:00:28.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:02:07Z,00:00:32.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:04:09Z,00:00:34.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:06:38Z,00:00:26.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:07:29Z,00:00:21.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:19:47Z,00:00:21.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:20:24Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:24:02Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:26:19Z,00:00:34.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:35:00Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:35:55Z,00:00:35.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:36:50Z,00:00:36.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:38:36Z,00:00:22.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:39:10Z,00:00:22.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:40:04Z,00:00:27.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:42:33Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:44:47Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T12:49:11Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:00:28Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:02:25Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:03:46Z,00:00:40.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:04:51Z,00:00:49.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:05:54Z,00:00:52.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:09:10Z,00:00:29.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:10:31Z,00:00:25.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:13:18Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:15:30Z,00:00:36.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:16:15Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:20:18Z,00:00:29.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:31:29Z,00:00:20.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:32:21Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:34:58Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:37:30Z,00:00:26.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:38:44Z,00:00:28.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:39:36Z,00:00:34.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:42:03Z,00:00:38.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-06-04T13:43:03Z,00:00:58.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
