DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2026-05-07T00:00:00,2026-05-07T13:24:43.857,0,0,0,0,0,0,0,NO_DATA,true
2026-05-08T00:00:00,2026-05-08T05:55:12.848,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-09T00:00:00,2026-05-09T10:25:51.148,77,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-10T00:00:00,2026-05-10T09:37:24.447,84,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-11T00:00:00,2026-05-11T05:35:51.689,75,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-12T00:00:00,2026-05-12T09:21:21.847,0,0,0,0,0,0,0,NO_DATA,true
2026-05-13T00:00:00,2026-05-13T10:58:54.656,70,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-14T00:00:00,2026-05-14T11:55:03.576,76,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-15T00:00:00,2026-05-15T09:32:21.217,79,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-17T00:00:00,2026-05-17T14:08:54.063,0,0,0,0,0,0,0,NO_DATA,true
2026-05-18T00:00:00,2026-05-18T19:07:44.062,75,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-19T00:00:00,2026-05-19T11:22:24.023,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-20T00:00:00,2026-05-20T14:55:44.417,68,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-21T00:00:00,2026-05-21T14:02:58.376,0,0,0,0,0,0,0,NO_DATA,true
2026-05-22T00:00:00,2026-05-23T23:22:13.998,67,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-24T00:00:00,2026-05-24T10:40:54.587,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-26T00:00:00,2026-05-26T12:52:22.733,0,0,0,0,0,0,0,NO_DATA,true
2026-05-28T00:00:00,2026-05-28T10:43:52.776,73,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-29T00:00:00,2026-05-29T09:37:51.375,77,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-31T00:00:00,2026-06-03T10:10:40.93,0,0,0,0,0,0,0,NO_DATA,true
2026-06-01T00:00:00,2026-06-03T10:10:15.173,66,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-06-04T00:00:00,2026-06-04T09:31:13.053,0,0,0,0,0,0,0,NO_DATA,true
