timestamp,bucket_values
2026-05-09T09:11:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.002, 0.006, 0.018, 0.098, 0.254, 0.308, 0.216, 0.07, 0.019, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-10T09:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.004, 0.01, 0.074, 0.173, 0.191, 0.272, 0.19, 0.061, 0.015, 0.004, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-11T07:08:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.007, 0.016, 0.044, 0.098, 0.098, 0.235, 0.249, 0.155, 0.061, 0.022, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-12T08:26:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.006, 0.018, 0.056, 0.166, 0.297, 0.238, 0.122, 0.055, 0.022, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-13T08:45:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.005, 0.012, 0.02, 0.033, 0.11, 0.267, 0.307, 0.154, 0.055, 0.021, 0.01, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-15T08:58:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.007, 0.027, 0.086, 0.14, 0.248, 0.271, 0.148, 0.047, 0.015, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-17T09:28:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.013, 0.107, 0.298, 0.22, 0.184, 0.129, 0.038, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-18T09:36:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.002, 0.007, 0.018, 0.1, 0.284, 0.328, 0.18, 0.052, 0.016, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-19T12:24:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.004, 0.018, 0.088, 0.214, 0.354, 0.239, 0.06, 0.013, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-06-03T06:40:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.015, 0.036, 0.094, 0.121, 0.142, 0.246, 0.208, 0.093, 0.026, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-06-04T10:21:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.004, 0.014, 0.044, 0.136, 0.264, 0.293, 0.158, 0.057, 0.017, 0.004, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-06-05T07:25:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.031, 0.091, 0.12, 0.244, 0.265, 0.142, 0.061, 0.023, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
