timestamp,level,data source
2026-06-02T12:59:00Z,SEDENTARY,Fitbit App
2026-06-02T13:00:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T13:01:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T13:02:00Z,MODERATELY_ACTIVE,Fitbit App
2026-06-02T13:03:00Z,VERY_ACTIVE,Fitbit App
2026-06-02T13:04:00Z,VERY_ACTIVE,Fitbit App
2026-06-02T13:05:00Z,VERY_ACTIVE,Fitbit App
2026-06-02T13:06:00Z,VERY_ACTIVE,Fitbit App
2026-06-02T13:07:00Z,VERY_ACTIVE,Fitbit App
2026-06-02T13:08:00Z,VERY_ACTIVE,Fitbit App
2026-06-02T13:09:00Z,MODERATELY_ACTIVE,Fitbit App
2026-06-02T13:10:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T13:11:00Z,SEDENTARY,Fitbit App
2026-06-02T13:12:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T13:13:00Z,SEDENTARY,Fitbit App
2026-06-02T13:14:00Z,SEDENTARY,Fitbit App
2026-06-02T13:15:00Z,SEDENTARY,Fitbit App
2026-06-02T13:16:00Z,SEDENTARY,Fitbit App
2026-06-02T13:17:00Z,SEDENTARY,Fitbit App
2026-06-02T13:18:00Z,SEDENTARY,Fitbit App
2026-06-02T13:19:00Z,SEDENTARY,Fitbit App
2026-06-02T13:20:00Z,SEDENTARY,Fitbit App
2026-06-02T13:21:00Z,SEDENTARY,Fitbit App
2026-06-02T13:22:00Z,SEDENTARY,Fitbit App
2026-06-02T13:23:00Z,SEDENTARY,Fitbit App
2026-06-02T13:24:00Z,SEDENTARY,Fitbit App
2026-06-02T13:25:00Z,SEDENTARY,Fitbit App
2026-06-02T13:26:00Z,SEDENTARY,Fitbit App
2026-06-02T13:27:00Z,SEDENTARY,Fitbit App
2026-06-02T13:28:00Z,SEDENTARY,Fitbit App
2026-06-02T13:29:00Z,SEDENTARY,Fitbit App
2026-06-02T13:30:00Z,SEDENTARY,Fitbit App
2026-06-02T13:31:00Z,SEDENTARY,Fitbit App
2026-06-02T13:32:00Z,SEDENTARY,Fitbit App
2026-06-02T13:33:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T13:34:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T13:35:00Z,SEDENTARY,Fitbit App
2026-06-02T13:36:00Z,SEDENTARY,Fitbit App
2026-06-02T13:37:00Z,SEDENTARY,Fitbit App
2026-06-02T13:38:00Z,SEDENTARY,Fitbit App
2026-06-02T13:39:00Z,SEDENTARY,Fitbit App
2026-06-02T13:40:00Z,SEDENTARY,Fitbit App
2026-06-02T13:41:00Z,SEDENTARY,Fitbit App
2026-06-02T13:42:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-02T13:43:00Z,SEDENTARY,Fitbit App
2026-06-02T13:44:00Z,SEDENTARY,Fitbit App
2026-06-02T13:45:00Z,SEDENTARY,Fitbit App
2026-06-02T13:46:00Z,SEDENTARY,Fitbit App
2026-06-02T13:47:00Z,SEDENTARY,Fitbit App
2026-06-02T13:48:00Z,SEDENTARY,Fitbit App
2026-06-02T13:49:00Z,SEDENTARY,Fitbit App
2026-06-02T13:50:00Z,SEDENTARY,Fitbit App
2026-06-02T13:51:00Z,SEDENTARY,Fitbit App
2026-06-02T13:52:00Z,SEDENTARY,Fitbit App
2026-06-02T13:53:00Z,SEDENTARY,Fitbit App
2026-06-02T13:54:00Z,SEDENTARY,Fitbit App
2026-06-02T13:55:00Z,SEDENTARY,Fitbit App
2026-06-02T13:56:00Z,SEDENTARY,Fitbit App
2026-06-02T13:57:00Z,SEDENTARY,Fitbit App
2026-06-02T13:58:00Z,SEDENTARY,Fitbit App
2026-06-02T13:59:00Z,SEDENTARY,Fitbit App
2026-06-02T14:00:00Z,SEDENTARY,Fitbit App
2026-06-02T14:01:00Z,SEDENTARY,Fitbit App
2026-06-02T14:02:00Z,SEDENTARY,Fitbit App
2026-06-02T14:03:00Z,SEDENTARY,Fitbit App
2026-06-02T14:04:00Z,SEDENTARY,Fitbit App
2026-06-02T14:05:00Z,SEDENTARY,Fitbit App
2026-06-02T14:06:00Z,SEDENTARY,Fitbit App
2026-06-02T14:07:00Z,SEDENTARY,Fitbit App
2026-06-02T14:08:00Z,SEDENTARY,Fitbit App
2026-06-02T14:09:00Z,SEDENTARY,Fitbit App
2026-06-02T14:10:00Z,SEDENTARY,Fitbit App
2026-06-02T14:11:00Z,SEDENTARY,Fitbit App
2026-06-02T14:12:00Z,SEDENTARY,Fitbit App
2026-06-02T14:13:00Z,SEDENTARY,Fitbit App
2026-06-02T14:14:00Z,SEDENTARY,Fitbit App
2026-06-02T14:15:00Z,SEDENTARY,Fitbit App
2026-06-02T14:16:00Z,SEDENTARY,Fitbit App
2026-06-02T14:17:00Z,SEDENTARY,Fitbit App
2026-06-02T14:18:00Z,SEDENTARY,Fitbit App
