timestamp,distance,data source
2026-05-06T09:59:00Z,26.90,Versa 4
2026-05-06T10:00:00Z,76.90,Versa 4
2026-05-06T10:01:00Z,67.40,Versa 4
2026-05-06T10:02:00Z,77.20,Versa 4
2026-05-06T10:04:00Z,3.30,Versa 4
2026-05-06T10:06:00Z,0.40,Versa 4
2026-05-06T10:07:00Z,9.00,Versa 4
2026-05-06T10:08:00Z,2.90,Versa 4
2026-05-06T10:10:00Z,16.40,Versa 4
2026-05-06T10:12:00Z,38.10,Versa 4
2026-05-06T10:13:00Z,41.00,Versa 4
2026-05-06T10:14:00Z,42.50,Versa 4
2026-05-06T10:15:00Z,71.70,Versa 4
2026-05-06T10:16:00Z,35.10,Versa 4
2026-05-06T10:17:00Z,13.40,Versa 4
2026-05-06T10:20:00Z,16.40,Versa 4
2026-05-06T10:26:00Z,15.60,Versa 4
2026-05-06T10:27:00Z,53.80,Versa 4
2026-05-06T10:28:00Z,82.10,Versa 4
2026-05-06T10:29:00Z,62.70,Versa 4
2026-05-06T10:30:00Z,80.10,Versa 4
2026-05-06T10:31:00Z,3.20,Versa 4
2026-05-06T10:33:00Z,1.50,Versa 4
2026-05-06T10:34:00Z,11.10,Versa 4
2026-05-06T10:41:00Z,2.90,Versa 4
2026-05-06T11:03:00Z,11.90,Versa 4
2026-05-06T11:04:00Z,45.50,Versa 4
2026-05-06T11:08:00Z,31.40,Versa 4
2026-05-06T11:09:00Z,41.80,Versa 4
2026-05-06T11:11:00Z,6.70,Versa 4
2026-05-06T11:13:00Z,10.40,Versa 4
2026-05-06T11:14:00Z,3.70,Versa 4
2026-05-06T12:00:00Z,11.90,Versa 4
2026-05-06T12:01:00Z,43.30,Versa 4
2026-05-06T12:02:00Z,76.90,Versa 4
2026-05-06T12:03:00Z,74.60,Versa 4
2026-05-06T12:04:00Z,17.40,Versa 4
2026-05-06T12:14:00Z,6.70,Versa 4
2026-05-06T12:26:00Z,20.10,Versa 4
2026-05-06T12:27:00Z,82.10,Versa 4
2026-05-06T12:28:00Z,58.20,Versa 4
2026-05-06T13:38:00Z,5.20,Versa 4
2026-05-06T14:00:00Z,4.40,Versa 4
2026-05-06T14:01:00Z,11.90,Versa 4
2026-05-06T14:02:00Z,36.50,Versa 4
2026-05-06T14:03:00Z,82.10,Versa 4
2026-05-06T14:04:00Z,67.80,Versa 4
2026-05-06T14:05:00Z,73.00,Versa 4
2026-05-06T14:06:00Z,34.00,Versa 4
2026-05-06T14:07:00Z,8.50,Versa 4
2026-05-06T14:10:00Z,36.30,Versa 4
2026-05-06T14:11:00Z,76.90,Versa 4
2026-05-06T14:12:00Z,13.40,Versa 4
2026-05-06T14:18:00Z,23.90,Versa 4
2026-05-06T14:43:00Z,5.20,Versa 4
2026-05-06T14:44:00Z,10.40,Versa 4
2026-05-06T15:17:00Z,28.40,Versa 4
2026-05-06T15:21:00Z,61.20,Versa 4
2026-05-06T15:22:00Z,25.40,Versa 4
2026-05-06T15:23:00Z,14.90,Versa 4
2026-05-06T15:24:00Z,23.10,Versa 4
2026-05-06T15:25:00Z,6.70,Versa 4
2026-05-06T15:26:00Z,11.20,Versa 4
2026-05-06T15:27:00Z,6.70,Versa 4
2026-05-06T15:32:00Z,11.20,Versa 4
2026-05-06T15:34:00Z,5.20,Versa 4
2026-05-06T15:35:00Z,86.00,Versa 4
2026-05-06T15:36:00Z,11.90,Versa 4
2026-05-06T15:38:00Z,2.90,Versa 4
2026-05-06T15:40:00Z,4.40,Versa 4
2026-05-06T15:41:00Z,94.90,Versa 4
2026-05-06T15:42:00Z,14.90,Versa 4
2026-05-06T15:43:00Z,73.10,Versa 4
2026-05-06T15:44:00Z,78.30,Versa 4
2026-05-06T15:45:00Z,50.30,Versa 4
2026-05-06T15:46:00Z,24.40,Versa 4
2026-05-06T15:47:00Z,8.00,Versa 4
2026-05-06T15:48:00Z,3.10,Versa 4
2026-05-06T15:49:00Z,55.50,Versa 4
2026-05-06T15:50:00Z,71.90,Versa 4
2026-05-06T15:51:00Z,5.90,Versa 4
2026-05-06T15:53:00Z,6.70,Versa 4
2026-05-06T15:54:00Z,20.10,Versa 4
2026-05-06T15:55:00Z,29.10,Versa 4
2026-05-06T15:56:00Z,26.10,Versa 4
2026-05-06T15:58:00Z,11.90,Versa 4
2026-05-06T15:59:00Z,14.90,Versa 4
2026-05-06T16:00:00Z,27.60,Versa 4
