timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-05-08T22:55:00Z,35.2,0.0,Fitbit App
2026-05-08T23:00:00Z,39.8,0.0,Fitbit App
2026-05-08T23:05:00Z,34.2,0.0,Fitbit App
2026-05-08T23:10:00Z,33.1,0.0,Fitbit App
2026-05-08T23:15:00Z,31.2,0.0,Fitbit App
2026-05-08T23:20:00Z,35.4,0.0,Fitbit App
2026-05-08T23:25:00Z,35.3,0.0,Fitbit App
2026-05-08T23:30:00Z,39.7,0.0,Fitbit App
2026-05-08T23:35:00Z,40.4,0.0,Fitbit App
2026-05-08T23:40:00Z,37.0,0.0,Fitbit App
2026-05-08T23:45:00Z,37.7,0.0,Fitbit App
2026-05-08T23:50:00Z,30.9,0.0,Fitbit App
2026-05-08T23:55:00Z,39.9,0.0,Fitbit App
2026-05-09T00:00:00Z,27.3,0.0,Fitbit App
2026-05-09T00:05:00Z,26.8,0.0,Fitbit App
2026-05-09T00:10:00Z,27.9,0.0,Fitbit App
2026-05-09T00:15:00Z,29.0,0.0,Fitbit App
2026-05-09T00:20:00Z,36.3,0.0,Fitbit App
2026-05-09T00:25:00Z,34.4,0.0,Fitbit App
2026-05-09T00:30:00Z,33.4,0.0,Fitbit App
2026-05-09T00:35:00Z,41.8,0.0,Fitbit App
2026-05-09T00:40:00Z,38.6,0.0,Fitbit App
2026-05-09T00:45:00Z,37.2,0.0,Fitbit App
2026-05-09T00:50:00Z,36.3,0.0,Fitbit App
2026-05-09T00:55:00Z,39.4,0.0,Fitbit App
2026-05-09T01:00:00Z,38.7,0.0,Fitbit App
2026-05-09T01:05:00Z,39.8,0.0,Fitbit App
2026-05-09T01:10:00Z,41.6,0.0,Fitbit App
2026-05-09T01:15:00Z,34.4,0.0,Fitbit App
2026-05-09T01:20:00Z,20.9,0.0,Fitbit App
2026-05-09T01:25:00Z,36.5,0.0,Fitbit App
2026-05-09T01:30:00Z,24.1,0.0,Fitbit App
2026-05-09T01:35:00Z,23.6,0.0,Fitbit App
2026-05-09T01:40:00Z,35.8,0.0,Fitbit App
2026-05-09T01:45:00Z,28.4,0.0,Fitbit App
2026-05-09T01:50:00Z,31.2,0.0,Fitbit App
2026-05-09T01:55:00Z,26.1,0.0,Fitbit App
2026-05-09T02:00:00Z,42.7,0.0,Fitbit App
2026-05-09T02:05:00Z,39.9,0.0,Fitbit App
2026-05-09T02:10:00Z,32.5,0.0,Fitbit App
2026-05-09T02:15:00Z,33.1,0.0,Fitbit App
2026-05-09T02:20:00Z,34.4,0.0,Fitbit App
2026-05-09T02:25:00Z,40.8,0.0,Fitbit App
2026-05-09T02:30:00Z,35.8,0.0,Fitbit App
2026-05-09T02:35:00Z,37.2,0.0,Fitbit App
2026-05-09T02:40:00Z,35.8,0.0,Fitbit App
2026-05-09T02:45:00Z,45.7,0.0,Fitbit App
2026-05-09T02:50:00Z,45.3,0.0,Fitbit App
2026-05-09T02:55:00Z,47.4,0.0,Fitbit App
2026-05-09T03:00:00Z,45.0,0.0,Fitbit App
2026-05-09T03:05:00Z,47.5,0.0,Fitbit App
2026-05-09T03:10:00Z,43.9,0.0,Fitbit App
2026-05-09T03:15:00Z,45.8,0.0,Fitbit App
2026-05-09T03:20:00Z,46.4,0.0,Fitbit App
2026-05-09T03:25:00Z,37.5,0.0,Fitbit App
2026-05-09T03:30:00Z,19.7,0.0,Fitbit App
2026-05-09T03:35:00Z,27.5,0.0,Fitbit App
2026-05-09T03:40:00Z,27.0,0.0,Fitbit App
