timestamp,Infrared to Red Signal Ratio
06/07/26 01:48:31,-77
06/07/26 01:49:31,35
06/07/26 01:50:31,0
06/07/26 01:51:31,28
06/07/26 01:52:31,0
06/07/26 01:53:31,2
06/07/26 01:54:31,7
06/07/26 01:55:31,-10
06/07/26 01:56:31,0
06/07/26 01:57:31,-8
06/07/26 01:58:31,12
06/07/26 01:59:31,-4
06/07/26 02:00:31,0
06/07/26 02:01:31,0
06/07/26 02:02:31,17
06/07/26 02:03:31,0
06/07/26 02:04:31,-12
06/07/26 02:05:31,6
06/07/26 02:06:31,-11
06/07/26 02:07:31,5
06/07/26 02:08:31,-4
06/07/26 02:09:31,11
06/07/26 02:10:31,0
06/07/26 02:11:31,-5
06/07/26 02:12:31,0
06/07/26 02:13:31,-2
06/07/26 02:14:31,17
06/07/26 02:15:31,0
06/07/26 02:16:31,0
06/07/26 02:17:31,23
06/07/26 02:18:31,3
06/07/26 02:19:31,0
06/07/26 02:20:31,1
06/07/26 02:21:31,0
06/07/26 02:22:31,-50
06/07/26 02:23:31,0
06/07/26 02:24:31,13
06/07/26 02:25:31,-15
06/07/26 02:26:31,0
06/07/26 02:27:31,2
06/07/26 02:28:31,-51
06/07/26 02:29:31,0
06/07/26 02:30:31,-2
06/07/26 02:31:31,42
06/07/26 02:32:31,0
06/07/26 02:33:31,43
06/07/26 02:34:31,7
06/07/26 02:35:31,0
06/07/26 02:36:31,-16
06/07/26 02:37:31,30
06/07/26 02:38:31,-3
06/07/26 02:39:31,31
06/07/26 02:40:31,-39
06/07/26 02:41:31,24
06/07/26 02:42:31,4
06/07/26 02:43:31,0
06/07/26 02:44:31,-8
06/07/26 02:45:31,-31
06/07/26 02:46:31,-7
06/07/26 02:47:31,-8
06/07/26 02:48:31,-11
06/07/26 02:49:31,-3
06/07/26 02:50:31,-34
06/07/26 02:51:31,-19
06/07/26 02:52:31,-38
06/07/26 02:53:31,0
06/07/26 02:54:31,-11
06/07/26 02:55:31,-25
06/07/26 02:56:31,5
06/07/26 02:57:31,-8
06/07/26 02:58:31,13
06/07/26 02:59:31,0
06/07/26 03:00:31,0
06/07/26 03:01:31,-9
06/07/26 03:02:31,-5
06/07/26 03:03:31,0
06/07/26 03:04:31,2
06/07/26 03:05:31,-12
06/07/26 03:06:31,0
06/07/26 03:07:31,-8
06/07/26 03:08:31,-21
06/07/26 03:09:31,0
06/07/26 03:10:31,4
06/07/26 03:11:31,0
06/07/26 03:12:31,6
06/07/26 03:13:31,49
06/07/26 03:14:31,7
06/07/26 03:15:31,0
06/07/26 03:16:31,0
06/07/26 03:17:31,-31
06/07/26 03:18:31,-42
06/07/26 03:19:31,40
06/07/26 03:20:31,0
06/07/26 03:21:31,4
06/07/26 03:22:31,-3
06/07/26 03:23:31,0
06/07/26 03:24:31,0
06/07/26 03:25:31,42
06/07/26 03:26:31,0
06/07/26 03:27:31,-9
06/07/26 03:28:31,-4
06/07/26 03:29:31,-30
06/07/26 03:30:31,17
06/07/26 03:31:31,0
06/07/26 03:32:31,1
06/07/26 03:33:31,-8
06/07/26 03:34:31,-1
06/07/26 03:35:31,-29
06/07/26 03:36:31,-2
06/07/26 03:37:31,-17
06/07/26 03:38:31,-2
06/07/26 03:39:31,-2
06/07/26 03:40:31,-6
06/07/26 03:41:31,0
06/07/26 03:42:31,-14
06/07/26 03:43:31,13
06/07/26 03:44:31,-9
06/07/26 03:45:31,0
06/07/26 03:46:31,29
06/07/26 03:47:31,-15
06/07/26 03:48:31,0
06/07/26 03:49:31,-1
06/07/26 03:50:31,0
06/07/26 03:51:31,-12
06/07/26 03:52:31,-8
06/07/26 03:53:31,0
06/07/26 03:54:31,0
06/07/26 03:55:31,-3
06/07/26 03:56:31,-26
06/07/26 03:57:31,-15
06/07/26 03:58:31,-24
06/07/26 03:59:31,13
06/07/26 04:00:31,13
06/07/26 04:01:31,-1
06/07/26 04:02:31,-1
06/07/26 04:03:31,-2
06/07/26 04:04:31,-4
06/07/26 04:05:31,-41
06/07/26 04:06:31,0
06/07/26 04:07:31,-17
06/07/26 04:08:31,2
06/07/26 04:09:31,0
06/07/26 04:10:31,-2
06/07/26 04:11:31,4
06/07/26 04:12:31,0
06/07/26 04:13:31,-4
06/07/26 04:14:31,4
06/07/26 04:15:31,4
06/07/26 04:16:31,-8
06/07/26 04:17:31,0
06/07/26 04:18:31,20
06/07/26 04:19:31,14
06/07/26 04:20:31,11
06/07/26 04:21:31,0
06/07/26 04:22:31,17
06/07/26 04:23:31,0
06/07/26 04:24:31,24
06/07/26 04:25:31,2
06/07/26 04:26:31,13
06/07/26 04:27:31,0
06/07/26 04:28:31,-15
06/07/26 04:29:31,-19
06/07/26 04:30:31,0
06/07/26 04:31:31,-21
06/07/26 04:32:31,13
06/07/26 04:33:31,-61
06/07/26 04:34:31,5
06/07/26 04:35:31,-5
06/07/26 04:36:31,6
06/07/26 04:37:31,0
06/07/26 04:38:31,29
06/07/26 04:39:31,18
06/07/26 04:40:31,4
06/07/26 04:41:31,-25
06/07/26 04:42:31,0
06/07/26 04:43:31,-32
06/07/26 04:44:31,9
06/07/26 04:45:31,10
06/07/26 04:46:31,3
06/07/26 04:47:31,-1
06/07/26 04:48:31,6
06/07/26 04:49:31,1
06/07/26 04:50:31,0
06/07/26 04:51:31,0
06/07/26 04:52:31,0
06/07/26 04:53:31,0
06/07/26 04:54:31,0
06/07/26 04:55:31,7
06/07/26 04:56:31,-1
06/07/26 04:57:31,0
06/07/26 04:58:31,0
06/07/26 04:59:31,-4
06/07/26 05:00:31,55
06/07/26 05:01:31,0
06/07/26 05:02:31,44
06/07/26 05:03:31,4
06/07/26 05:04:31,10
06/07/26 05:05:31,0
06/07/26 05:06:31,-4
06/07/26 05:07:31,6
06/07/26 05:08:31,-3
06/07/26 05:09:31,-26
06/07/26 05:10:31,0
06/07/26 05:11:31,-4
06/07/26 05:12:31,8
06/07/26 05:13:31,-5
06/07/26 05:14:31,-4
06/07/26 05:15:31,21
06/07/26 05:16:31,5
06/07/26 05:17:31,0
06/07/26 05:18:31,25
06/07/26 05:19:31,-21
06/07/26 05:20:31,39
06/07/26 05:21:31,-3
06/07/26 05:22:31,5
06/07/26 05:23:31,26
06/07/26 05:24:31,-33
06/07/26 05:25:31,-6
06/07/26 05:26:31,11
06/07/26 05:27:31,8
06/07/26 05:28:31,39
06/07/26 05:29:31,-30
06/07/26 05:30:31,0
06/07/26 05:31:31,-4
06/07/26 05:32:31,12
06/07/26 05:33:31,8
06/07/26 05:34:31,15
06/07/26 05:35:31,0
06/07/26 05:36:31,7
06/07/26 05:37:31,-9
06/07/26 05:38:31,-22
06/07/26 05:39:31,25
06/07/26 05:40:31,0
06/07/26 05:41:31,-9
06/07/26 05:42:31,0
06/07/26 05:43:31,-3
06/07/26 05:44:31,-2
06/07/26 05:45:31,-8
06/07/26 05:46:31,-8
06/07/26 05:47:31,0
06/07/26 05:48:31,-35
06/07/26 05:49:31,3
06/07/26 05:50:31,-39
06/07/26 05:51:31,0
06/07/26 05:52:31,0
06/07/26 05:53:31,-4
06/07/26 05:54:31,19
06/07/26 05:55:31,0
06/07/26 05:56:31,0
06/07/26 05:57:31,-1
06/07/26 05:58:31,6
06/07/26 05:59:31,0
06/07/26 06:00:32,0
06/07/26 06:01:32,20
06/07/26 06:02:32,0
06/07/26 06:03:32,0
06/07/26 06:04:32,6
06/07/26 06:05:32,0
06/07/26 06:06:32,12
06/07/26 06:07:32,-2
06/07/26 06:08:32,25
06/07/26 06:09:32,-17
06/07/26 06:10:32,16
06/07/26 06:11:32,-7
06/07/26 06:12:32,-17
06/07/26 06:13:32,-4
06/07/26 06:14:32,15
06/07/26 06:15:32,0
06/07/26 06:16:32,0
06/07/26 06:17:32,7
06/07/26 06:18:32,0
06/07/26 06:19:32,21
06/07/26 06:20:32,-11
06/07/26 06:21:32,-67
06/07/26 06:22:32,-33
06/07/26 06:23:32,-13
06/07/26 06:24:32,51
06/07/26 06:25:32,0
06/07/26 06:26:32,0
06/07/26 06:27:32,0
06/07/26 06:28:32,0
06/07/26 06:29:32,0
06/07/26 06:30:32,0
06/07/26 06:31:32,0
06/07/26 06:32:32,0
06/07/26 06:33:32,0
06/07/26 06:34:32,0
06/07/26 06:35:32,0
06/07/26 06:36:32,0
06/07/26 06:37:32,0
06/07/26 06:38:32,0
06/07/26 06:39:32,0
06/07/26 06:40:32,0
06/07/26 06:41:32,0
06/07/26 06:42:32,0
06/07/26 06:43:32,0
06/07/26 06:44:32,0
06/07/26 06:45:32,0
06/07/26 06:46:32,0
06/07/26 06:47:32,0
06/07/26 06:48:32,-3
06/07/26 06:49:32,32
06/07/26 06:50:32,27
06/07/26 06:51:32,8
06/07/26 06:52:32,41
06/07/26 06:53:32,0
06/07/26 06:54:32,12
06/07/26 06:55:32,4
06/07/26 06:56:32,0
06/07/26 06:57:32,-19
06/07/26 06:58:32,0
06/07/26 06:59:32,-1
06/07/26 07:00:32,-39
06/07/26 07:01:32,-13
06/07/26 07:02:32,6
06/07/26 07:03:32,34
06/07/26 07:04:32,-28
06/07/26 07:05:32,-21
06/07/26 07:06:32,42
06/07/26 07:07:32,-43
06/07/26 07:08:32,-4
06/07/26 07:09:32,7
06/07/26 07:10:32,26
06/07/26 07:11:32,-2
06/07/26 07:12:32,-5
06/07/26 07:13:32,26
06/07/26 07:14:32,-28
06/07/26 07:15:32,2
06/07/26 07:16:32,-8
06/07/26 07:17:32,14
06/07/26 07:18:32,0
