timestamp,rmssd,coverage,low_frequency,high_frequency
2026-06-07T01:15:00,24.277,0.843,627.389,65.433
2026-06-07T01:20:00,18.561,0.798,565.933,137.745
2026-06-07T01:25:00,23.642,0.812,749.589,135.121
2026-06-07T01:30:00,30.894,0.909,692.562,220.031
2026-06-07T01:40:00,24.054,1.004,647.932,475.571
2026-06-07T01:45:00,21.103,0.92,133.094,66.595
2026-06-07T01:50:00,21.411,1.005,287.038,60.038
2026-06-07T01:55:00,25.398,0.898,521.019,127.875
2026-06-07T02:00:00,28.524,0.972,2050.303,124.131
2026-06-07T02:05:00,28.658,0.923,973.248,121.361
2026-06-07T02:10:00,29.939,0.718,823.67,166.807
2026-06-07T02:15:00,23.585,0.922,527.255,93.164
2026-06-07T02:30:00,28.7,0.859,402.24,174.376
2026-06-07T02:35:00,22.174,0.891,273.213,89.135
2026-06-07T02:40:00,31.156,0.927,2294.91,88.524
2026-06-07T02:45:00,45.633,0.944,1185.65,336.902
2026-06-07T02:50:00,43.391,1.003,636.613,282.424
2026-06-07T02:55:00,38.194,1.006,867.072,236.936
2026-06-07T03:00:00,35.907,1.004,239.647,245.088
2026-06-07T03:05:00,33.933,1.005,224.594,194.726
2026-06-07T03:10:00,34.479,1.004,421.321,236.362
2026-06-07T03:15:00,38.764,0.97,1277.316,259.635
2026-06-07T03:20:00,34.785,1.004,429.65,209.393
2026-06-07T03:25:00,31.071,1.004,343.206,135.212
2026-06-07T03:30:00,31.275,0.977,318.922,155.474
2026-06-07T03:35:00,34.425,1.006,591.707,194.241
2026-06-07T03:40:00,30.432,1.002,225.94,136.226
2026-06-07T03:45:00,36.359,1.004,666.481,200.192
2026-06-07T03:50:00,39.921,0.906,2477.052,243.676
2026-06-07T03:55:00,31.955,0.968,902.367,173.395
2026-06-07T04:00:00,26.664,0.952,149.562,125.331
2026-06-07T04:05:00,38.668,1.006,2918.187,213.824
2026-06-07T04:10:00,27.486,1.003,388.683,108.657
2026-06-07T04:15:00,22.562,1.003,120.778,76.249
2026-06-07T04:20:00,25.194,1.004,165.874,101.019
2026-06-07T04:25:00,23.391,1.006,109.281,98.419
2026-06-07T04:30:00,30.823,1.001,178.216,147.119
2026-06-07T04:35:00,38.622,1.006,578.464,258.337
2026-06-07T04:40:00,39.687,1.003,346.668,297.717
2026-06-07T04:45:00,46.65,1.003,585.001,347.241
2026-06-07T04:50:00,35.262,1.007,580.481,229.749
2026-06-07T04:55:00,28.83,1.002,321.159,139.131
2026-06-07T05:00:00,28.847,1.003,952.219,360.598
2026-06-07T05:05:00,41.308,1.006,418.936,289.135
2026-06-07T05:10:00,39.729,0.908,1328.155,145.928
