timestamp,beats per minute,data source
2026-05-22T00:00:01Z,52.0,Versa 4
2026-05-22T00:00:03Z,51.0,Versa 4
2026-05-22T00:00:06Z,51.0,Versa 4
2026-05-22T00:00:07Z,50.0,Versa 4
2026-05-22T00:00:10Z,50.0,Versa 4
2026-05-22T00:00:13Z,50.0,Versa 4
2026-05-22T00:00:16Z,51.0,Versa 4
2026-05-22T00:00:19Z,51.0,Versa 4
2026-05-22T00:00:20Z,50.0,Versa 4
2026-05-22T00:00:22Z,51.0,Versa 4
2026-05-22T00:00:25Z,51.0,Versa 4
2026-05-22T00:00:28Z,52.0,Versa 4
2026-05-22T00:00:31Z,52.0,Versa 4
2026-05-22T00:00:34Z,52.0,Versa 4
2026-05-22T00:00:37Z,52.0,Versa 4
2026-05-22T00:00:40Z,52.0,Versa 4
2026-05-22T00:00:43Z,52.0,Versa 4
2026-05-22T00:00:46Z,52.0,Versa 4
2026-05-22T00:00:49Z,52.0,Versa 4
2026-05-22T00:00:52Z,52.0,Versa 4
2026-05-22T00:00:55Z,52.0,Versa 4
2026-05-22T00:00:58Z,52.0,Versa 4
2026-05-22T00:01:01Z,52.0,Versa 4
2026-05-22T00:01:04Z,52.0,Versa 4
2026-05-22T00:01:07Z,52.0,Versa 4
2026-05-22T00:01:10Z,52.0,Versa 4
2026-05-22T00:01:13Z,52.0,Versa 4
2026-05-22T00:01:14Z,52.0,Versa 4
2026-05-22T00:01:17Z,52.0,Versa 4
2026-05-22T00:01:20Z,52.0,Versa 4
2026-05-22T00:01:23Z,52.0,Versa 4
2026-05-22T00:01:26Z,52.0,Versa 4
2026-05-22T00:01:29Z,52.0,Versa 4
2026-05-22T00:01:32Z,52.0,Versa 4
2026-05-22T00:01:35Z,52.0,Versa 4
2026-05-22T00:01:38Z,52.0,Versa 4
2026-05-22T00:01:41Z,52.0,Versa 4
2026-05-22T00:01:44Z,51.0,Versa 4
2026-05-22T00:01:47Z,51.0,Versa 4
2026-05-22T00:01:48Z,50.0,Versa 4
2026-05-22T00:01:51Z,50.0,Versa 4
2026-05-22T00:01:54Z,50.0,Versa 4
2026-05-22T00:01:57Z,50.0,Versa 4
2026-05-22T00:02:00Z,49.0,Versa 4
2026-05-22T00:02:03Z,49.0,Versa 4
2026-05-22T00:02:06Z,49.0,Versa 4
2026-05-22T00:02:09Z,49.0,Versa 4
2026-05-22T00:02:12Z,49.0,Versa 4
2026-05-22T00:02:15Z,50.0,Versa 4
2026-05-22T00:02:18Z,50.0,Versa 4
2026-05-22T00:02:21Z,50.0,Versa 4
2026-05-22T00:02:24Z,50.0,Versa 4
2026-05-22T00:02:27Z,50.0,Versa 4
2026-05-22T00:02:29Z,51.0,Versa 4
2026-05-22T00:02:31Z,51.0,Versa 4
2026-05-22T00:02:34Z,51.0,Versa 4
2026-05-22T00:02:37Z,51.0,Versa 4
2026-05-22T00:02:40Z,50.0,Versa 4
2026-05-22T00:02:43Z,50.0,Versa 4
2026-05-22T00:02:46Z,50.0,Versa 4
2026-05-22T00:02:49Z,50.0,Versa 4
2026-05-22T00:02:52Z,50.0,Versa 4
2026-05-22T00:02:55Z,50.0,Versa 4
2026-05-22T00:02:58Z,50.0,Versa 4
2026-05-22T00:03:01Z,50.0,Versa 4
2026-05-22T00:03:04Z,50.0,Versa 4
2026-05-22T00:03:05Z,51.0,Versa 4
2026-05-22T00:03:07Z,50.0,Versa 4
2026-05-22T00:03:10Z,50.0,Versa 4
2026-05-22T00:03:13Z,50.0,Versa 4
2026-05-22T00:03:16Z,50.0,Versa 4
2026-05-22T00:03:19Z,50.0,Versa 4
2026-05-22T00:03:22Z,50.0,Versa 4
2026-05-22T00:03:25Z,50.0,Versa 4
2026-05-22T00:03:28Z,50.0,Versa 4
2026-05-22T00:03:31Z,50.0,Versa 4
2026-05-22T00:03:34Z,50.0,Versa 4
2026-05-22T00:03:37Z,50.0,Versa 4
2026-05-22T00:03:40Z,50.0,Versa 4
2026-05-22T00:03:43Z,50.0,Versa 4
2026-05-22T00:03:44Z,51.0,Versa 4
2026-05-22T00:03:45Z,51.0,Versa 4
2026-05-22T00:03:47Z,52.0,Versa 4
2026-05-22T00:03:49Z,51.0,Versa 4
2026-05-22T00:03:52Z,51.0,Versa 4
2026-05-22T00:03:55Z,50.0,Versa 4
2026-05-22T00:03:58Z,50.0,Versa 4
2026-05-22T00:04:01Z,50.0,Versa 4
2026-05-22T00:04:03Z,51.0,Versa 4
2026-05-22T00:04:06Z,51.0,Versa 4
2026-05-22T00:04:09Z,51.0,Versa 4
2026-05-22T00:04:12Z,50.0,Versa 4
2026-05-22T00:04:15Z,50.0,Versa 4
2026-05-22T00:04:18Z,50.0,Versa 4
2026-05-22T00:04:21Z,50.0,Versa 4
2026-05-22T00:04:24Z,51.0,Versa 4
2026-05-22T00:04:27Z,51.0,Versa 4
2026-05-22T00:04:30Z,52.0,Versa 4
2026-05-22T00:04:33Z,51.0,Versa 4
2026-05-22T00:04:36Z,51.0,Versa 4
2026-05-22T00:04:39Z,51.0,Versa 4
2026-05-22T00:04:41Z,52.0,Versa 4
2026-05-22T00:04:44Z,52.0,Versa 4
2026-05-22T00:04:47Z,52.0,Versa 4
2026-05-22T00:04:50Z,52.0,Versa 4
2026-05-22T00:04:53Z,51.0,Versa 4
2026-05-22T00:04:56Z,50.0,Versa 4
2026-05-22T00:04:59Z,50.0,Versa 4
2026-05-22T00:05:00Z,50.0,Versa 4
2026-05-22T00:05:03Z,50.0,Versa 4
2026-05-22T00:05:06Z,50.0,Versa 4
2026-05-22T00:05:09Z,50.0,Versa 4
2026-05-22T00:05:12Z,50.0,Versa 4
2026-05-22T00:05:15Z,50.0,Versa 4
2026-05-22T00:05:18Z,50.0,Versa 4
2026-05-22T00:05:21Z,50.0,Versa 4
2026-05-22T00:05:24Z,50.0,Versa 4
2026-05-22T00:05:27Z,50.0,Versa 4
2026-05-22T00:05:30Z,50.0,Versa 4
