timestamp,steps,distance millimeters,altitude gain millimeters,data source
2026-05-06T10:29:18Z,1,0,0,Versa 4
2026-05-06T10:29:19Z,2,0,-304,Versa 4
2026-05-06T10:29:20Z,1,170,0,Versa 4
2026-05-06T10:29:21Z,2,280,304,Versa 4
2026-05-06T10:29:22Z,2,420,-609,Versa 4
2026-05-06T10:29:23Z,2,590,609,Versa 4
2026-05-06T10:29:24Z,2,740,0,Versa 4
2026-05-06T10:29:25Z,2,870,0,Versa 4
2026-05-06T10:29:26Z,2,970,0,Versa 4
2026-05-06T10:29:27Z,2,1060,-304,Versa 4
2026-05-06T10:29:28Z,1,1100,304,Versa 4
2026-05-06T10:29:29Z,2,1120,-914,Versa 4
2026-05-06T10:29:30Z,2,1410,609,Versa 4
2026-05-06T10:29:31Z,2,1420,0,Versa 4
2026-05-06T10:29:32Z,2,1430,0,Versa 4
2026-05-06T10:29:33Z,2,1480,-609,Versa 4
2026-05-06T10:29:34Z,2,1510,609,Versa 4
2026-05-06T10:29:35Z,2,1530,0,Versa 4
2026-05-06T10:29:36Z,2,1560,-304,Versa 4
2026-05-06T10:29:37Z,1,1530,-304,Versa 4
2026-05-06T10:29:38Z,2,1520,609,Versa 4
2026-05-06T10:29:39Z,2,1500,0,Versa 4
2026-05-06T10:29:40Z,2,1500,304,Versa 4
2026-05-06T10:29:41Z,2,1500,-304,Versa 4
2026-05-06T10:29:42Z,2,1530,-304,Versa 4
2026-05-06T10:29:43Z,2,1540,304,Versa 4
2026-05-06T10:29:44Z,1,1550,304,Versa 4
2026-05-06T10:29:45Z,2,1550,0,Versa 4
2026-05-06T10:29:46Z,2,1540,0,Versa 4
2026-05-06T10:29:47Z,1,1540,0,Versa 4
2026-05-06T10:29:48Z,1,1440,0,Versa 4
2026-05-06T10:29:49Z,2,1430,-304,Versa 4
2026-05-06T10:29:50Z,2,1430,0,Versa 4
2026-05-06T10:29:51Z,2,1430,0,Versa 4
2026-05-06T10:29:52Z,1,1420,0,Versa 4
2026-05-06T10:29:53Z,2,1420,304,Versa 4
2026-05-06T10:29:54Z,2,1430,0,Versa 4
2026-05-06T10:29:55Z,2,1420,0,Versa 4
2026-05-06T10:29:56Z,2,1430,-304,Versa 4
2026-05-06T10:29:57Z,2,1470,0,Versa 4
2026-05-06T10:29:58Z,1,1480,0,Versa 4
2026-05-06T10:29:59Z,2,1480,-304,Versa 4
2026-05-06T10:30:00Z,2,1470,0,Versa 4
2026-05-06T10:30:01Z,2,1480,304,Versa 4
2026-05-06T10:30:02Z,2,1480,304,Versa 4
2026-05-06T10:30:03Z,2,1470,-304,Versa 4
2026-05-06T10:30:04Z,2,1480,0,Versa 4
2026-05-06T10:30:05Z,1,1480,0,Versa 4
2026-05-06T10:30:06Z,2,1470,0,Versa 4
2026-05-06T10:30:07Z,2,1480,304,Versa 4
2026-05-06T10:30:08Z,2,1480,0,Versa 4
2026-05-06T10:30:09Z,2,1470,0,Versa 4
2026-05-06T10:30:10Z,2,1490,-304,Versa 4
2026-05-06T10:30:11Z,2,1480,609,Versa 4
2026-05-06T10:30:12Z,2,1490,0,Versa 4
2026-05-06T10:30:13Z,2,1490,304,Versa 4
2026-05-06T10:30:14Z,2,1490,914,Versa 4
2026-05-06T10:30:15Z,2,1500,0,Versa 4
2026-05-06T10:30:16Z,2,1500,304,Versa 4
2026-05-06T10:30:17Z,1,1500,304,Versa 4
2026-05-06T10:30:18Z,2,1500,609,Versa 4
2026-05-06T10:30:19Z,2,1500,0,Versa 4
2026-05-06T10:30:20Z,2,1500,304,Versa 4
2026-05-06T10:30:21Z,1,1450,0,Versa 4
2026-05-06T10:30:22Z,2,1440,304,Versa 4
2026-05-06T10:30:23Z,2,1450,-304,Versa 4
2026-05-06T10:30:24Z,2,1440,304,Versa 4
2026-05-06T10:30:25Z,2,1450,0,Versa 4
2026-05-06T10:30:26Z,1,1440,0,Versa 4
2026-05-06T10:30:27Z,3,1460,-609,Versa 4
2026-05-06T10:30:28Z,1,1450,304,Versa 4
2026-05-06T10:30:29Z,2,1450,0,Versa 4
2026-05-06T10:30:30Z,2,1450,0,Versa 4
2026-05-06T10:30:31Z,2,1450,0,Versa 4
2026-05-06T10:30:32Z,2,1460,0,Versa 4
2026-05-06T10:30:33Z,2,1450,304,Versa 4
2026-05-06T10:30:34Z,1,1450,-304,Versa 4
2026-05-06T10:30:35Z,2,1460,-304,Versa 4
2026-05-06T10:30:36Z,2,1450,304,Versa 4
2026-05-06T10:30:37Z,2,1450,0,Versa 4
2026-05-06T10:30:38Z,2,1460,0,Versa 4
2026-05-06T10:30:39Z,2,1460,0,Versa 4
2026-05-06T10:30:40Z,1,1460,0,Versa 4
2026-05-06T10:30:41Z,2,1460,0,Versa 4
2026-05-06T10:30:42Z,2,1460,609,Versa 4
2026-05-06T10:30:43Z,2,1460,-609,Versa 4
2026-05-06T10:30:44Z,2,1460,304,Versa 4
2026-05-06T10:30:45Z,1,1460,-304,Versa 4
2026-05-06T10:30:46Z,2,1460,304,Versa 4
2026-05-06T10:30:47Z,2,1470,0,Versa 4
2026-05-06T10:30:48Z,2,1460,-304,Versa 4
2026-05-06T10:30:49Z,2,1460,0,Versa 4
2026-05-06T10:30:50Z,2,1460,0,Versa 4
2026-05-06T10:30:51Z,1,1460,0,Versa 4
2026-05-06T10:30:52Z,2,1460,304,Versa 4
2026-05-06T10:30:53Z,1,1460,-609,Versa 4
2026-05-06T10:30:54Z,2,1450,304,Versa 4
2026-05-06T10:30:55Z,2,1460,304,Versa 4
2026-05-06T10:30:56Z,1,1440,-609,Versa 4
2026-05-06T10:30:57Z,1,1370,1219,Versa 4
2026-05-06T10:30:58Z,1,1310,-304,Versa 4
2026-05-06T10:30:59Z,1,1230,-1219,Versa 4
2026-05-06T10:31:00Z,3,1230,304,Versa 4
2026-05-06T10:31:01Z,1,1210,0,Versa 4
2026-05-06T10:31:02Z,1,1220,0,Versa 4
2026-05-06T10:31:03Z,3,1230,-304,Versa 4
2026-05-06T10:31:04Z,1,1230,304,Versa 4
2026-05-06T10:31:05Z,1,1220,0,Versa 4
2026-05-06T10:31:06Z,2,1230,-304,Versa 4
2026-05-06T10:31:07Z,2,1230,304,Versa 4
2026-05-06T10:31:08Z,0,1180,0,Versa 4
2026-05-06T10:31:09Z,0,1070,-304,Versa 4
2026-05-06T10:31:10Z,0,970,304,Versa 4
2026-05-06T10:31:11Z,0,0,0,Versa 4
2026-05-06T10:31:12Z,0,0,304,Versa 4
2026-05-06T10:31:13Z,0,0,-304,Versa 4
2026-05-06T10:31:14Z,0,0,0,Versa 4
2026-05-06T10:31:15Z,0,0,0,Versa 4
2026-05-06T10:31:16Z,0,0,0,Versa 4
2026-05-06T10:31:17Z,0,0,-304,Versa 4
2026-05-06T10:31:18Z,0,0,304,Versa 4
2026-05-06T10:31:19Z,2,0,0,Versa 4
2026-05-06T10:31:20Z,2,0,-609,Versa 4
2026-05-06T10:31:21Z,0,0,304,Versa 4
2026-05-06T10:31:22Z,1,0,-304,Versa 4
2026-05-06T10:31:23Z,2,0,0,Versa 4
2026-05-06T10:31:24Z,2,150,609,Versa 4
2026-05-06T10:31:25Z,1,310,-609,Versa 4
2026-05-06T10:31:26Z,2,500,609,Versa 4
2026-05-06T10:31:27Z,1,670,-304,Versa 4
2026-05-06T10:31:28Z,2,900,-304,Versa 4
2026-05-06T10:31:29Z,1,950,0,Versa 4
2026-05-06T10:31:30Z,0,940,304,Versa 4
2026-05-06T10:31:31Z,2,930,0,Versa 4
2026-05-06T10:31:32Z,2,970,0,Versa 4
2026-05-06T10:31:33Z,1,960,-304,Versa 4
2026-05-06T10:31:34Z,1,960,609,Versa 4
2026-05-06T10:31:35Z,1,980,-304,Versa 4
2026-05-06T10:31:36Z,1,1030,-304,Versa 4
2026-05-06T10:31:37Z,2,1030,304,Versa 4
2026-05-06T10:31:38Z,1,1030,304,Versa 4
2026-05-06T10:31:39Z,1,1020,0,Versa 4
2026-05-06T10:31:40Z,2,1050,-304,Versa 4
2026-05-06T10:31:41Z,2,1110,304,Versa 4
2026-05-06T10:31:42Z,2,1160,-304,Versa 4
2026-05-06T10:31:43Z,1,1200,-609,Versa 4
