timestamp,oxygen saturation percentage,data source
2026-06-01T00:47:04Z,75.6,Versa 4
2026-06-01T00:48:04Z,80.6,Versa 4
2026-06-01T00:49:04Z,86.2,Versa 4
2026-06-01T00:50:04Z,90.2,Versa 4
2026-06-01T00:51:04Z,92.9,Versa 4
2026-06-01T00:52:04Z,94.4,Versa 4
2026-06-01T00:53:04Z,95.6,Versa 4
2026-06-01T00:54:04Z,96.2,Versa 4
2026-06-01T00:55:04Z,96.7,Versa 4
2026-06-01T00:56:04Z,97.0,Versa 4
2026-06-01T00:57:04Z,97.2,Versa 4
2026-06-01T00:58:04Z,97.3,Versa 4
2026-06-01T00:59:04Z,97.5,Versa 4
2026-06-01T01:00:04Z,97.6,Versa 4
2026-06-01T01:01:04Z,97.5,Versa 4
2026-06-01T01:02:04Z,97.5,Versa 4
2026-06-01T01:03:04Z,97.4,Versa 4
2026-06-01T01:04:04Z,97.3,Versa 4
2026-06-01T01:05:04Z,97.2,Versa 4
2026-06-01T01:06:04Z,97.1,Versa 4
2026-06-01T01:07:04Z,97.1,Versa 4
2026-06-01T01:08:04Z,97.0,Versa 4
2026-06-01T01:09:04Z,96.9,Versa 4
2026-06-01T01:10:04Z,96.9,Versa 4
2026-06-01T01:11:04Z,96.9,Versa 4
2026-06-01T01:12:04Z,96.8,Versa 4
2026-06-01T01:13:04Z,96.7,Versa 4
2026-06-01T01:14:04Z,96.6,Versa 4
2026-06-01T01:15:04Z,96.6,Versa 4
2026-06-01T01:16:04Z,96.5,Versa 4
2026-06-01T01:17:04Z,96.4,Versa 4
2026-06-01T01:18:04Z,96.4,Versa 4
2026-06-01T01:19:04Z,96.4,Versa 4
2026-06-01T01:20:04Z,96.4,Versa 4
2026-06-01T01:21:04Z,96.3,Versa 4
2026-06-01T01:22:04Z,50.0,Versa 4
2026-06-01T01:23:04Z,96.3,Versa 4
2026-06-01T01:24:04Z,95.3,Versa 4
2026-06-01T01:25:04Z,94.7,Versa 4
2026-06-01T01:26:04Z,94.2,Versa 4
2026-06-01T01:27:04Z,94.0,Versa 4
2026-06-01T01:28:04Z,93.9,Versa 4
2026-06-01T01:29:04Z,93.8,Versa 4
2026-06-01T01:30:04Z,93.8,Versa 4
2026-06-01T01:31:04Z,93.9,Versa 4
2026-06-01T01:32:04Z,93.9,Versa 4
2026-06-01T01:33:04Z,93.7,Versa 4
2026-06-01T01:34:04Z,93.5,Versa 4
2026-06-01T01:35:04Z,93.4,Versa 4
2026-06-01T01:36:04Z,93.4,Versa 4
2026-06-01T01:37:04Z,93.6,Versa 4
2026-06-01T01:38:04Z,93.7,Versa 4
2026-06-01T01:39:04Z,93.9,Versa 4
2026-06-01T01:40:04Z,94.2,Versa 4
2026-06-01T01:41:04Z,94.7,Versa 4
2026-06-01T01:42:04Z,95.1,Versa 4
2026-06-01T01:43:04Z,95.4,Versa 4
