timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise,data source
2026-05-09T06:18:30Z,14.4,0.7,8.5,13.8,1.8,9.2,13.2,0.7,2.9,14.4,0.7,8.5,Fitbit App
2026-05-10T05:49:00Z,14.4,0.6,9.9,13.8,1.1,12.5,13.6,0.5,3.5,14.4,0.6,9.9,Fitbit App
2026-05-13T06:37:30Z,15.4,0.6,7.9,12.4,0.6,4.3,13.2,0.6,2.6,15.4,0.6,7.9,Fitbit App
2026-05-14T08:10:30Z,15.0,0.9,9.1,13.8,1.0,9.1,13.8,2.1,3.3,15.0,0.9,9.1,Fitbit App
2026-05-20T06:03:30Z,15.2,0.9,8.7,14.2,1.1,11.4,13.8,1.6,3.9,15.2,0.9,8.7,Fitbit App
2026-05-21T06:15:00Z,14.8,1.0,10.3,13.8,1.4,9.4,13.2,1.0,4.3,14.8,1.0,10.3,Fitbit App
2026-05-22T05:49:30Z,14.8,1.1,8.6,13.4,1.3,9.4,13.8,1.3,4.8,14.8,1.1,8.6,Fitbit App
2026-05-24T06:55:30Z,14.6,0.9,10.7,14.0,1.1,7.6,14.6,2.2,5.6,14.6,0.9,10.7,Fitbit App
2026-05-25T04:49:30Z,14.6,0.7,5.3,14.2,1.4,9.6,14.0,1.0,2.6,14.6,0.7,5.3,Fitbit App
2026-05-27T05:49:30Z,15.2,0.8,7.1,14.0,1.1,11.5,13.6,1.2,2.7,15.2,0.8,7.1,Fitbit App
2026-05-28T07:54:00Z,14.8,0.7,6.9,14.0,1.4,10.5,13.6,2.2,4.8,14.8,0.7,6.9,Fitbit App
2026-05-29T05:45:00Z,14.6,1.3,9.6,13.6,1.1,7.9,13.4,1.9,6.2,14.6,1.3,9.6,Fitbit App
