start time,end time,data source
2026-06-03T00:03:00Z,2026-06-03T02:22:00Z,Fitbit App
2026-06-03T08:51:00Z,2026-06-03T10:19:00Z,Fitbit App
2026-06-03T11:35:00Z,2026-06-03T11:45:00Z,Fitbit App
2026-06-03T11:46:00Z,2026-06-03T11:56:00Z,Fitbit App
2026-06-03T11:57:00Z,2026-06-03T12:49:00Z,Fitbit App
2026-06-03T12:50:00Z,2026-06-03T13:00:00Z,Fitbit App
2026-06-03T13:06:00Z,2026-06-03T14:47:00Z,Fitbit App
2026-06-03T14:51:00Z,2026-06-03T15:06:00Z,Fitbit App
2026-06-03T15:07:00Z,2026-06-03T15:33:00Z,Fitbit App
2026-06-03T15:35:00Z,2026-06-03T15:51:00Z,Fitbit App
2026-06-03T16:28:00Z,2026-06-03T16:38:00Z,Fitbit App
2026-06-03T17:10:00Z,2026-06-03T17:40:00Z,Fitbit App
2026-06-03T19:35:00Z,2026-06-03T20:16:00Z,Fitbit App
2026-06-03T20:31:00Z,2026-06-03T21:58:00Z,Fitbit App
2026-06-03T22:08:00Z,2026-06-03T23:15:00Z,Fitbit App
2026-06-03T23:18:00Z,2026-06-03T23:57:00Z,Fitbit App
