timestamp,lap time,stroke count,stroke type,data source
2026-05-07T08:18:02Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T10:04:30Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T12:47:46Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T12:52:19Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:37:47Z,00:00:31.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T11:31:51Z,00:00:28.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T12:37:59Z,00:00:25.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T12:42:19Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T15:52:39Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T15:53:01Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T16:15:36Z,00:00:19.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T16:17:53Z,00:00:16.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T16:18:16Z,00:00:29.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T16:29:26Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T16:41:30Z,00:00:26.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T16:43:08Z,00:00:34.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T16:45:53Z,00:00:24.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T16:46:49Z,00:00:34.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T16:58:27Z,00:00:36.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T16:59:06Z,00:00:36.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T17:00:58Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T19:26:05Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-09T06:45:20Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-09T06:49:18Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-09T17:38:58Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-09T19:53:05Z,00:00:28.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T07:18:58Z,00:00:18.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T07:42:40Z,00:00:21.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T07:44:18Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T07:47:28Z,00:00:36.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T07:49:20Z,00:00:49.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T07:50:24Z,00:00:28.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T07:59:47Z,00:00:24.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T08:02:07Z,00:00:40.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T08:04:18Z,00:00:36.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T09:39:13Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T11:04:29Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T11:31:12Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T11:35:50Z,00:00:29.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T11:37:25Z,00:00:49.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T11:38:47Z,00:00:27.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T13:10:47Z,00:00:26.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T13:11:48Z,00:00:23.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-10T13:18:46Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
