timestamp,rmssd,coverage,low_frequency,high_frequency
2026-05-14T01:40:00,18.629,0.937,283.235,85.613
2026-05-14T01:45:00,32.049,0.96,628.542,240.831
2026-05-14T01:50:00,34.623,0.976,419.051,210.24
2026-05-14T01:55:00,30.743,1.004,225.125,171.194
2026-05-14T02:00:00,32.048,1.002,126.992,191.763
2026-05-14T02:05:00,36.306,1.007,221.397,209.445
2026-05-14T02:10:00,32.884,1.004,321.401,141.964
2026-05-14T02:15:00,34.215,1.002,393.735,192.53
2026-05-14T02:20:00,32.016,0.955,1659.352,198.458
2026-05-14T02:25:00,30.381,1.0,829.128,167.291
2026-05-14T02:30:00,41.073,1.007,729.787,357.063
2026-05-14T02:35:00,38.307,0.93,567.572,224.55
2026-05-14T02:40:00,27.218,0.988,482.855,120.103
2026-05-14T02:45:00,34.62,1.005,305.791,290.671
2026-05-14T02:50:00,39.919,1.002,723.658,385.547
2026-05-14T02:55:00,36.022,1.007,352.523,276.345
2026-05-14T03:00:00,35.272,1.001,663.93,203.076
2026-05-14T03:05:00,35.473,1.006,209.566,199.753
2026-05-14T03:10:00,37.052,1.003,226.84,284.208
2026-05-14T03:15:00,42.085,0.81,952.226,233.879
2026-05-14T03:20:00,54.182,1.002,1100.442,657.069
2026-05-14T03:25:00,53.131,1.005,144.253,573.084
2026-05-14T03:30:00,54.96,1.005,372.284,658.54
2026-05-14T03:35:00,51.723,0.934,1175.636,481.781
2026-05-14T03:40:00,43.105,0.933,1404.787,272.239
2026-05-14T03:45:00,47.986,0.963,1002.218,413.096
2026-05-14T03:50:00,46.01,1.003,513.02,372.978
2026-05-14T03:55:00,46.49,0.974,564.137,377.096
2026-05-14T04:00:00,48.713,1.005,794.546,268.626
2026-05-14T04:05:00,47.264,1.003,501.867,464.961
2026-05-14T04:10:00,40.949,0.957,2063.302,299.102
2026-05-14T04:15:00,23.84,1.005,791.127,81.475
2026-05-14T04:20:00,35.744,0.932,1174.323,137.975
2026-05-14T04:25:00,43.359,1.002,261.886,448.078
2026-05-14T04:30:00,47.74,1.003,657.846,409.701
2026-05-14T04:35:00,44.821,1.005,496.546,325.09
2026-05-14T04:40:00,43.877,0.976,643.066,376.812
2026-05-14T04:45:00,45.675,1.006,1324.356,312.269
2026-05-14T04:50:00,45.727,1.004,223.168,371.771
2026-05-14T04:55:00,42.009,1.005,654.861,284.675
2026-05-14T05:00:00,43.248,1.001,270.567,312.469
2026-05-14T05:05:00,43.44,1.006,284.574,347.97
2026-05-14T05:10:00,44.873,1.003,526.995,302.979
2026-05-14T05:15:00,42.684,1.005,352.245,316.339
2026-05-14T05:20:00,45.631,1.005,450.065,365.279
2026-05-14T05:25:00,40.686,0.944,1926.23,240.212
2026-05-14T05:30:00,38.557,0.903,1877.015,143.807
2026-05-14T05:35:00,42.578,0.985,2161.789,343.205
2026-05-14T05:40:00,48.91,0.949,908.78,305.088
2026-05-14T05:45:00,50.745,0.986,1989.287,429.268
2026-05-14T05:50:00,53.574,0.981,1340.194,473.409
2026-05-14T05:55:00,51.026,1.005,1164.606,464.688
2026-05-14T06:00:00,55.178,1.004,423.745,514.444
2026-05-14T06:05:00,50.095,1.007,550.475,481.316
2026-05-14T06:10:00,48.705,1.001,306.745,389.537
2026-05-14T06:15:00,48.632,0.882,6901.523,1238.517
2026-05-14T06:20:00,45.889,1.005,1680.327,423.738
2026-05-14T06:25:00,57.066,1.005,1541.851,792.597
2026-05-14T06:30:00,50.897,1.005,468.044,572.283
2026-05-14T06:35:00,59.1,1.005,688.864,773.555
2026-05-14T06:40:00,53.929,0.954,1088.014,478.597
2026-05-14T06:50:00,50.408,0.978,2174.051,417.546
2026-05-14T06:55:00,55.301,1.004,5367.69,1865.147
2026-05-14T07:00:00,56.993,0.975,537.736,533.384
2026-05-14T07:05:00,49.68,0.968,972.916,361.166
2026-05-14T07:10:00,54.122,0.965,900.685,399.156
2026-05-14T07:15:00,38.963,0.992,1170.059,216.531
2026-05-14T07:20:00,58.432,0.944,1612.969,429.305
2026-05-14T07:25:00,55.712,0.916,769.092,569.599
2026-05-14T07:30:00,60.084,0.788,2813.597,633.463
2026-05-14T07:35:00,63.497,0.973,2773.343,563.551
2026-05-14T07:40:00,63.599,1.004,1510.344,756.505
2026-05-14T08:15:00,36.497,0.948,2130.929,246.438
2026-05-14T08:20:00,51.198,0.973,1257.47,314.484
2026-05-14T08:25:00,39.366,0.921,1618.247,238.369
2026-05-14T08:40:00,34.324,0.906,656.97,150.296
2026-05-14T08:45:00,29.339,0.814,1533.278,109.88
2026-05-14T08:55:00,53.973,0.863,1809.786,366.708
2026-05-14T09:05:00,53.846,0.946,3111.084,479.762
2026-05-14T09:10:00,50.358,0.93,3168.129,564.706
2026-05-14T09:15:00,48.416,1.006,2002.701,337.695
2026-05-14T09:20:00,53.802,0.898,1886.448,391.735
2026-05-14T09:25:00,48.157,0.948,4141.923,217.27
2026-05-14T09:30:00,58.263,0.959,3279.966,394.209
2026-05-14T09:35:00,50.908,1.004,2825.899,328.672
2026-05-14T09:40:00,60.219,0.934,1964.511,615.638
2026-05-14T09:45:00,52.564,0.96,3442.383,1031.862
2026-05-14T09:50:00,42.639,0.948,1563.592,244.094
