timestamp,level,data source
2026-05-06T10:12:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-05-06T10:13:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-05-06T10:14:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-05-06T10:15:00Z,SEDENTARY,Fitbit App
2026-05-06T10:16:00Z,SEDENTARY,Fitbit App
2026-05-06T10:17:00Z,SEDENTARY,Fitbit App
2026-05-06T10:18:00Z,SEDENTARY,Fitbit App
2026-05-06T10:19:00Z,SEDENTARY,Fitbit App
2026-05-06T10:20:00Z,SEDENTARY,Fitbit App
2026-05-06T10:21:00Z,SEDENTARY,Fitbit App
2026-05-06T10:22:00Z,SEDENTARY,Fitbit App
2026-05-06T10:23:00Z,SEDENTARY,Fitbit App
2026-05-06T10:24:00Z,SEDENTARY,Fitbit App
2026-05-06T10:25:00Z,SEDENTARY,Fitbit App
2026-05-06T10:26:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-05-06T10:27:00Z,MODERATELY_ACTIVE,Fitbit App
2026-05-06T10:28:00Z,VERY_ACTIVE,Fitbit App
2026-05-06T10:29:00Z,MODERATELY_ACTIVE,Fitbit App
2026-05-06T10:30:00Z,VERY_ACTIVE,Fitbit App
2026-05-06T10:31:00Z,MODERATELY_ACTIVE,Fitbit App
2026-05-06T10:32:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-05-06T10:33:00Z,SEDENTARY,Fitbit App
2026-05-06T10:34:00Z,SEDENTARY,Fitbit App
2026-05-06T10:35:00Z,SEDENTARY,Fitbit App
2026-05-06T10:36:00Z,SEDENTARY,Fitbit App
2026-05-06T10:37:00Z,SEDENTARY,Fitbit App
2026-05-06T10:38:00Z,SEDENTARY,Fitbit App
2026-05-06T10:39:00Z,SEDENTARY,Fitbit App
2026-05-06T10:40:00Z,SEDENTARY,Fitbit App
2026-05-06T10:41:00Z,SEDENTARY,Fitbit App
2026-05-06T10:42:00Z,SEDENTARY,Fitbit App
2026-05-06T10:43:00Z,SEDENTARY,Fitbit App
2026-05-06T10:44:00Z,SEDENTARY,Fitbit App
2026-05-06T10:45:00Z,SEDENTARY,Fitbit App
2026-05-06T10:46:00Z,SEDENTARY,Fitbit App
2026-05-06T10:47:00Z,SEDENTARY,Fitbit App
2026-05-06T10:48:00Z,SEDENTARY,Fitbit App
2026-05-06T10:49:00Z,SEDENTARY,Fitbit App
2026-05-06T10:50:00Z,SEDENTARY,Fitbit App
2026-05-06T10:51:00Z,SEDENTARY,Fitbit App
2026-05-06T10:52:00Z,SEDENTARY,Fitbit App
2026-05-06T10:53:00Z,SEDENTARY,Fitbit App
2026-05-06T10:54:00Z,SEDENTARY,Fitbit App
2026-05-06T10:55:00Z,SEDENTARY,Fitbit App
2026-05-06T10:56:00Z,SEDENTARY,Fitbit App
2026-05-06T10:57:00Z,SEDENTARY,Fitbit App
2026-05-06T10:58:00Z,SEDENTARY,Fitbit App
2026-05-06T10:59:00Z,SEDENTARY,Fitbit App
2026-05-06T11:00:00Z,SEDENTARY,Fitbit App
2026-05-06T11:01:00Z,SEDENTARY,Fitbit App
2026-05-06T11:02:00Z,SEDENTARY,Fitbit App
2026-05-06T11:03:00Z,SEDENTARY,Fitbit App
2026-05-06T11:04:00Z,SEDENTARY,Fitbit App
2026-05-06T11:05:00Z,SEDENTARY,Fitbit App
2026-05-06T11:06:00Z,SEDENTARY,Fitbit App
2026-05-06T11:07:00Z,SEDENTARY,Fitbit App
2026-05-06T11:08:00Z,SEDENTARY,Fitbit App
2026-05-06T11:09:00Z,SEDENTARY,Fitbit App
2026-05-06T11:10:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-05-06T11:11:00Z,SEDENTARY,Fitbit App
2026-05-06T11:12:00Z,SEDENTARY,Fitbit App
2026-05-06T11:13:00Z,SEDENTARY,Fitbit App
2026-05-06T11:14:00Z,SEDENTARY,Fitbit App
2026-05-06T11:15:00Z,SEDENTARY,Fitbit App
2026-05-06T11:16:00Z,SEDENTARY,Fitbit App
2026-05-06T11:17:00Z,SEDENTARY,Fitbit App
2026-05-06T11:18:00Z,SEDENTARY,Fitbit App
2026-05-06T11:19:00Z,SEDENTARY,Fitbit App
2026-05-06T11:20:00Z,SEDENTARY,Fitbit App
2026-05-06T11:21:00Z,SEDENTARY,Fitbit App
2026-05-06T11:22:00Z,SEDENTARY,Fitbit App
2026-05-06T11:23:00Z,SEDENTARY,Fitbit App
2026-05-06T11:24:00Z,SEDENTARY,Fitbit App
2026-05-06T11:25:00Z,SEDENTARY,Fitbit App
2026-05-06T11:26:00Z,SEDENTARY,Fitbit App
2026-05-06T11:27:00Z,SEDENTARY,Fitbit App
2026-05-06T11:28:00Z,SEDENTARY,Fitbit App
2026-05-06T11:29:00Z,SEDENTARY,Fitbit App
2026-05-06T11:30:00Z,SEDENTARY,Fitbit App
2026-05-06T11:31:00Z,SEDENTARY,Fitbit App
2026-05-06T11:32:00Z,SEDENTARY,Fitbit App
2026-05-06T11:33:00Z,SEDENTARY,Fitbit App
2026-05-06T11:34:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-05-06T11:35:00Z,SEDENTARY,Fitbit App
2026-05-06T11:36:00Z,SEDENTARY,Fitbit App
2026-05-06T11:37:00Z,SEDENTARY,Fitbit App
2026-05-06T11:38:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-05-06T11:39:00Z,MODERATELY_ACTIVE,Fitbit App
2026-05-06T11:40:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-05-06T11:42:00Z,SEDENTARY,Fitbit App
2026-05-06T11:43:00Z,SEDENTARY,Fitbit App
2026-05-06T11:44:00Z,SEDENTARY,Fitbit App
2026-05-06T11:45:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-05-06T11:46:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-05-06T11:47:00Z,SEDENTARY,Fitbit App
2026-05-06T11:48:00Z,SEDENTARY,Fitbit App
2026-05-06T11:49:00Z,SEDENTARY,Fitbit App
2026-05-06T11:50:00Z,SEDENTARY,Fitbit App
2026-05-06T11:51:00Z,SEDENTARY,Fitbit App
2026-05-06T11:52:00Z,SEDENTARY,Fitbit App
