start time,end time,data source
2026-05-09T06:25:00Z,2026-05-09T06:43:00Z,Fitbit App
2026-05-09T06:52:00Z,2026-05-09T08:12:00Z,Fitbit App
2026-05-09T09:08:00Z,2026-05-09T09:31:00Z,Fitbit App
2026-05-09T10:11:00Z,2026-05-09T10:37:00Z,Fitbit App
2026-05-09T11:00:00Z,2026-05-09T11:10:00Z,Fitbit App
2026-05-09T11:39:00Z,2026-05-09T11:59:00Z,Fitbit App
2026-05-09T12:06:00Z,2026-05-09T12:42:00Z,Fitbit App
2026-05-09T12:50:00Z,2026-05-09T13:09:00Z,Fitbit App
2026-05-09T13:47:00Z,2026-05-09T15:06:00Z,Fitbit App
2026-05-09T15:51:00Z,2026-05-09T16:18:00Z,Fitbit App
2026-05-09T17:25:00Z,2026-05-09T17:35:00Z,Fitbit App
2026-05-09T17:41:00Z,2026-05-09T17:59:00Z,Fitbit App
2026-05-09T18:41:00Z,2026-05-09T18:58:00Z,Fitbit App
2026-05-09T19:11:00Z,2026-05-09T20:06:00Z,Fitbit App
2026-05-09T20:10:00Z,2026-05-09T20:36:00Z,Fitbit App
2026-05-09T20:57:00Z,2026-05-09T21:28:00Z,Fitbit App
2026-05-09T21:32:00Z,2026-05-09T22:00:00Z,Fitbit App
